pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      10.1212  3.22096e-07
      10.0012  4.09368e-07
      9.88107  5.20034e-07
      9.76099  6.60291e-07
      9.64091  8.37956e-07
      9.52083  1.06288e-06
      9.40074  1.34748e-06
      9.28066  1.70738e-06
      9.16058  2.16222e-06
       9.0405  2.73671e-06
      8.92041  3.46187e-06
      8.80033  4.37661e-06
      8.68025  5.52973e-06
      8.56017  6.98236e-06
      8.44008  8.81101e-06
         8.32  1.11114e-05
      8.19992   1.4003e-05
      8.07984  1.76351e-05
      7.95975  2.21939e-05
      7.83967  2.79114e-05
      7.71959  3.50761e-05
      7.59951  4.40471e-05
      7.47942  5.52705e-05
      7.35934  6.92994e-05
      7.23926  8.68199e-05
      7.11918  0.000108681
      6.99909  0.000135933
      6.87901  0.000169872
      6.75893    0.0002121
      6.63885   0.00026459
      6.51876  0.000329771
      6.39868  0.000410629
       6.2786  0.000510832
      6.15852  0.000634876
      6.03843  0.000788269
      5.91835  0.000977743
      5.79827   0.00121152
      5.67819   0.00149961
       5.5581   0.00185421
      5.43802   0.00229012
      5.31794   0.00282527
      5.19786   0.00348135
      5.07777   0.00428451
      4.95769   0.00526623
      4.83761   0.00646433
      4.71753   0.00792407
      4.59744   0.00969945
      4.47736    0.0118547
      4.35728    0.0144659
       4.2372    0.0176228
      4.11711    0.0214311
      3.99703    0.0260143
      3.87695     0.031516
      3.75687    0.0381022
      3.63678     0.045963
       3.5167    0.0553148
      3.39662    0.0664022
      3.27654    0.0794988
      3.15645    0.0949083
      3.03637     0.112963
      2.91629     0.134021
      2.79621     0.158462
      2.67612     0.186674
      2.55604     0.219049
      2.43596      0.25596
      2.31588     0.297738
      2.19579     0.344644
      2.07571     0.396828
      1.95563     0.454276
      1.83555     0.516749
      1.71546     0.583695
      1.59538     0.654149
       1.4753     0.726597
      1.35522     0.798809
      1.23513     0.867609
      1.11505     0.928562
     0.994969     0.975526
     0.874887            1
     0.754804     0.990228
     0.634722      0.93036
     0.514639     0.801571
     0.394557     0.591933
     0.274474     0.328123
     0.154392     0.110411
    0.0343093    0.0308049
   -0.0857732    0.0181702
    -0.205856    0.0110687
    -0.325938   0.00681572
    -0.446021   0.00424086
    -0.566103   0.00266041
    -0.686186   0.00167548
    -0.806268   0.00105289
    -0.926351   0.00065627
     -1.04643  0.000404017
     -1.16652  0.000245113
      -1.2866  0.000146432
     -1.40668  8.61115e-05
     -1.52676  4.97889e-05
     -1.64685    2.829e-05
     -1.76693  1.57782e-05
     -1.88701  8.62142e-06
     -2.00709  4.60566e-06
     -2.12718  2.39592e-06
     -2.24726  1.21022e-06
     -2.36734  5.90746e-07
     -2.48742    2.771e-07
     -2.60751   1.2386e-07
     -2.72759  5.20826e-08
     -2.84767  2.03205e-08
     -2.96775  7.15922e-09
     -3.08784  2.17533e-09
     -3.20792   5.0929e-10
       -3.328  5.42418e-11
     -3.44808 -2.33843e-11
     -3.56817 -1.64031e-11
     -3.68825  -4.9276e-12
     -3.80833 -5.23261e-13

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225  6.76055e-16  1.05094e-18
      11.8024  -6.1603e-16  -9.4733e-19
      11.6823  2.11428e-15  3.21622e-18
      11.5622  2.01682e-15  3.03466e-18
      11.4421 -7.95457e-16 -1.18386e-18
      11.3221 -2.95134e-16 -4.34426e-19
       11.202  1.58505e-15  2.30743e-18
      11.0819  -1.7713e-15 -2.54999e-18
