Pressure (atm),Temperature (K),B1_Frequencies_1_P0->P1,B1_Energy_1_P0->P1,P1_Energy_1_P0->P1,colrel_Epsilons_P0->P1,B0_SymmetryFactor_1_P0->P1,W0_Frequencies_1_P0->P1,W0_Energy_1_P0->P1,colrel_PowerOne_P0->P1,colrel_FactorOne_P0->P1,P1_SymmetryFactor_1_P0->P1,P0_SymmetryFactor_1_P0->P1,W0_SymmetryFactor_1_P0->P1,B1_SymmetryFactor_1_P0->P1,P1_Frequencies_1_P0->P1,B0_Frequencies_1_P0->P1,P0_Frequencies_1_P0->P1,P0_Energy_1_P0->P1,B0_Energy_1_P0->P1,colrel_Sigmas_P0->P1
0.1,370.0,-2.1710211116659517,-0.9815549279545465,0.0,1.4949072868653931e-05,-0.2031406471850078,-0.0002819930391055047,-4.297018502790244e-05,2.2797265213559836e-05,0.00013094085169252577,0.0,1.0000013398902377,-8.514816488666119e-05,-0.810669248784658,0.0,-0.01720246916391253,0.08357975282135603,1.360055334139127,-0.42150042387876047,7.299543460746479e-05
0.1,380.0,-2.2002086481222776,-0.9654853610073397,0.0,1.3633831182072581e-05,-0.2021207341615985,-0.0002593859577720928,-3.804781728704526e-05,2.5740058055036904e-05,0.00012195170550555305,0.0,1.0000021248394477,-7.579018581888601e-05,-0.8117461592364557,0.0,-0.018801828908482494,0.09378826913870143,1.3242656558991281,-0.39977371695728625,6.746747709401227e-05
0.1,390.0,-2.2283427698345553,-0.9495818994694294,0.0,1.2511099992512233e-05,-0.2013791647543028,-0.0002386231707152811,-3.366145601990262e-05,2.8357510753680807e-05,0.00011378404770762802,0.0,1.0000028939636543,-6.702707271909685e-05,-0.8125433595634326,0.0,-0.021113856784700874,0.10463086603086091,1.2903114015589447,-0.3798184083794808,6.262552618925683e-05
0.1,400.0,-2.255447699555999,-0.9338666072396317,0.0,1.154278240189065e-05,-0.2008934751204782,-0.0002195619126158046,-2.977972453105495e-05,3.062023246121864e-05,0.00010631162233260447,0.0,1.0000036138319157,-5.89183755919656e-05,-0.813083187023683,0.0,-0.024127319804351236,0.11608316146760123,1.2580548604681032,-0.3614709357798395,5.83536061406957e-05
0.1,410.0,-2.2815798576589357,-0.918357042071175,0.0,1.069634259213783e-05,-0.20064332561224935,-0.00020207071444983577,-2.636896144826353e-05,3.251322192156592e-05,9.943049157632564e-05,0.0,1.000004260822002,-5.1496866143790116e-05,-0.8133861942513275,0.0,-0.02780621134409171,0.12811895822169403,1.2273717665949135,-0.34458551855043207,5.45535756904508e-05
0.1,420.0,-2.3068156936586566,-0.9030669994283148,0.0,9.94472881446737e-06,-0.20061038826665717,-0.0001860276700536978,-2.3394036948753248e-05,3.403381833564233e-05,9.30557676014148e-05,0.0,1.0000048195122344,-4.477314408397292e-05,-0.8134711413716391,0.0,-0.032098905102558174,0.14071123360703774,1.1981496975396242,-0.32903187994350874,5.1143497915416195e-05
0.1,430.0,-2.331242157562242,-0.8880071458098517,0.0,9.265960150602437e-06,-0.20077819951896905,-0.00017131933018107518,-2.081919127789019e-05,3.5189373693495125e-05,8.711852840489887e-05,0.0,1.0000052811214843,-3.874017608058531e-05,-0.8133550484952141,0.0,-0.03694528684739678,0.15383285034068048,1.1702866966093475,-0.3146932939344486,4.8055718030203444e-05
0.1,440.0,-2.3549495435290244,-0.873185551519964,0.0,8.642550191486293e-06,-0.2011319953534893,-0.00015783997307944962,-1.8608796555510898e-05,3.599496525586417e-05,8.156304122908737e-05,0.0,1.0000056420920276,-3.337744559236514e-05,-0.8130532888214429,0.0,-0.04228209259080583,0.16745704701707922,1.1436900826370147,-0.30146491130288955,4.523489376579429e-05
0.1,450.0,-2.378026344859112,-0.8586081352250473,0.0,8.060875966571974e-06,-0.20165854124613905,-0.00014549109158820483,-1.6727996560021253e-05,3.647131631942187e-05,7.634434087733207e-05,0.0,1.0000059028562365,-2.8654568153681058e-05,-0.8125797065468449,0.0,-0.048046739997979496,0.1815577600200477,1.118275418447158,-0.289252323872947,4.263611923286518e-05
0.1,460.0,-2.4005557447963337,-0.8442790329560116,0.0,7.510556731731447e-06,-0.2023459653470004,-0.00013418099760653156,-1.514321119943432e-05,3.664300005816704e-05,7.142616531833535e-05,0.0,1.000006066796119,-2.453433242303387e-05,-0.8119467475336283,0.0,-0.05417994293034845,0.19610982018056675,1.0939656138919254,-0.27797033090006723,4.022321593663404e-05
