Temperature = 300K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W0           W1           W2           W3           W4          W5t          W5c           S1
      20.4054  5.67534e+06  3.53544e+06  5.67534e+06  2.40813e+06  1.18781e-15    0.0883505    0.0969613      21.7479
      20.2854  6.74384e+06  4.20115e+06  6.74384e+06  2.86178e+06  1.44368e-15     0.106872     0.117176      26.1073
      20.1653  8.01242e+06  4.99155e+06  8.01242e+06  3.40039e+06  1.75465e-15     0.129271     0.141608      31.3156
      20.0452  9.51831e+06  5.92978e+06  9.51831e+06  4.03985e+06   2.1326e-15     0.156362     0.171126      37.5608
      19.9251  1.13056e+07  7.04344e+06  1.13056e+07  4.79886e+06  2.59195e-15     0.189135     0.206798      45.0095
       19.805  1.34267e+07  8.36507e+06  1.34267e+07  5.69973e+06  3.15022e-15     0.228759      0.24989      53.9301
       19.685  1.59434e+07   9.9332e+06  1.59434e+07  6.76869e+06  3.82871e-15     0.276686     0.301969      64.6133
      19.5649  1.89291e+07  1.17937e+07  1.89291e+07  8.03704e+06  4.65328e-15     0.334644     0.364891       77.429
      19.4448  2.24707e+07  1.40006e+07  2.24707e+07  9.54161e+06  5.65541e-15     0.404724     0.440907      92.7412
      19.3247   2.6671e+07   1.6618e+07   2.6671e+07  1.13263e+07   6.8733e-15     0.489507     0.532772      111.183
      19.2046  3.16517e+07  1.97218e+07  3.16517e+07  1.34426e+07   8.3534e-15     0.592006     0.643743      133.378
      19.0845  3.75568e+07  2.34018e+07  3.75568e+07  1.59522e+07  1.01522e-14     0.715934     0.777825       160.01
      18.9645  4.45569e+07  2.77642e+07  4.45569e+07  1.89273e+07  1.23382e-14     0.865846     0.939765      191.977
      18.8444  5.28535e+07   3.2935e+07  5.28535e+07  2.24539e+07  1.49947e-14      1.04706      1.13547      230.355
      18.7243  6.26853e+07  3.90622e+07  6.26853e+07  2.66333e+07  1.82232e-14      1.26627      1.37184      276.046
      18.6042  7.43343e+07  4.63225e+07  7.43343e+07  3.15861e+07  2.21468e-14       1.5313      1.65741      331.204
      18.4841  8.81341e+07  5.49237e+07  8.81341e+07  3.74535e+07   2.6915e-14      1.85165      2.00229      397.162
       18.364  1.04479e+08  6.51107e+07  1.04479e+08  4.44043e+07  3.27096e-14      2.23914      2.41904      476.161
       18.244  1.23835e+08  7.71756e+07  1.23835e+08  5.26359e+07  3.97516e-14       2.7075      2.92235      570.673
