Temperature = 300K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W0           W1           W2           W3           W4          W5t          W5c           S1
      20.5255  4.77548e+06  2.97482e+06  4.77548e+06  2.02614e+06      4993.85      2258.65      2130.21      834.295
      20.4054  5.67534e+06  3.53544e+06  5.67534e+06  2.40813e+06      6069.61      2732.06      2574.53      1001.74
      20.2854  6.74384e+06  4.20115e+06  6.74384e+06  2.86178e+06      7377.06      3304.79      3111.27      1202.67
      20.1653  8.01242e+06  4.99155e+06  8.01242e+06  3.40039e+06      8966.12      3997.45      3759.99      1443.03
      20.0452  9.51831e+06  5.92978e+06  9.51831e+06  4.03985e+06      10897.4      4835.16      4543.75      1730.87
      19.9251  1.13056e+07  7.04344e+06  1.13056e+07  4.79886e+06      13244.7      5848.62      5490.93      2075.46
       19.805  1.34267e+07  8.36507e+06  1.34267e+07  5.69973e+06      16097.3      7073.92      6635.12      2486.25
       19.685  1.59434e+07   9.9332e+06  1.59434e+07  6.76869e+06      19564.4      8555.96      8017.92      2979.28
      19.5649  1.89291e+07  1.17937e+07  1.89291e+07  8.03704e+06      23777.9      10348.2      9688.64      3569.69
      19.4448  2.24707e+07  1.40006e+07  2.24707e+07  9.54161e+06      28898.6      12515.3        11707      4276.55
      19.3247   2.6671e+07   1.6618e+07   2.6671e+07  1.13263e+07        35122        15137      14146.2      5123.68
      19.2046  3.16517e+07  1.97218e+07  3.16517e+07  1.34426e+07      42685.2      18306.6      17092.8      6146.05
      19.0845  3.75568e+07  2.34018e+07  3.75568e+07  1.59522e+07      51876.6      22138.8      20652.9      7371.26
      18.9645  4.45569e+07  2.77642e+07  4.45569e+07  1.89273e+07      63046.9      26774.5      24952.8      8847.54
      18.8444  5.28535e+07   3.2935e+07  5.28535e+07  2.24539e+07      76621.8      32378.3      30149.2      10610.6
      18.7243  6.26853e+07  3.90622e+07  6.26853e+07  2.66333e+07      93119.2      39156.7      36425.3      12732.2
      18.6042  7.43343e+07  4.63225e+07  7.43343e+07  3.15861e+07       113168      47352.4      44007.9      15255.1
      18.4841  8.81341e+07  5.49237e+07  8.81341e+07  3.74535e+07       137533      57258.6        53165      18304.1
       18.364  1.04479e+08  6.51107e+07  1.04479e+08  4.44043e+07       167143      69240.8      64230.6      21943.8
       18.244  1.23835e+08  7.71756e+07  1.23835e+08  5.26359e+07       203127      83723.8      77594.6        26307
      18.1239  1.46753e+08   9.1461e+07  1.46753e+08  6.23844e+07       246856       101238      93734.2      31513.2
      18.0038  1.73884e+08  1.08372e+08  1.73884e+08  7.39246e+07       299996       122423       113230      37758.7
      17.8837  2.05995e+08   1.2839e+08  2.05995e+08   8.7587e+07       364573       148020       136776      45154.7
      17.7636  2.43996e+08  1.52078e+08  2.43996e+08  1.03755e+08       443048       178969       165216      54130.1
      17.6435  2.88958e+08  1.80105e+08  2.88958e+08  1.22889e+08       538411       216393       199556      64860.4
      17.5235  3.42145e+08  2.13265e+08  3.42145e+08  1.45523e+08       654295       261633       241048      77836.5
      17.4034  4.05051e+08   2.5248e+08  4.05051e+08    1.723e+08       795111       316335       291136      93455.1
      17.2833  4.79438e+08  2.98857e+08  4.79438e+08  2.03964e+08       966228       382441       351638       112143
      17.1632  5.67384e+08   3.5369e+08  5.67384e+08  2.41407e+08  1.17416e+06       462367       424683       134362
      17.0431   6.7134e+08    4.185e+08   6.7134e+08  2.85671e+08  1.42684e+06       558991       512924       161090
      16.9231  7.94197e+08  4.95104e+08  7.94197e+08   3.3799e+08  1.73389e+06       675753       619434       193084
       16.803  9.39362e+08  5.85619e+08  9.39362e+08  3.99817e+08    2.107e+06       816957       748063       231504
      16.6829  1.11085e+09  6.92542e+08  1.11085e+09  4.72864e+08  2.56038e+06       987597       903408       277628
      16.5628  1.31339e+09  8.18848e+08  1.31339e+09  5.59151e+08   3.1113e+06  1.19381e+06  1.09098e+06       332665
      16.4427  1.55256e+09  9.67989e+08  1.55256e+09  6.61056e+08  3.78074e+06  1.44314e+06  1.31744e+06       397754
      16.3226  1.83493e+09  1.14407e+09  1.83493e+09  7.81378e+08   4.5942e+06  1.74443e+06  1.59082e+06       475943
      16.2026  2.16822e+09  1.35193e+09  2.16822e+09  9.23429e+08  5.58263e+06  2.10866e+06    1.921e+06       568876
      16.0825  2.56152e+09   1.5972e+09  2.56152e+09  1.09107e+09  6.78367e+06  2.54887e+06  2.31949e+06       680428
      15.9624  3.02555e+09   1.8866e+09  3.02555e+09   1.2889e+09  8.24301e+06  3.08075e+06  2.80082e+06       814401
      15.8423   3.5729e+09    2.228e+09   3.5729e+09  1.52227e+09  1.00162e+07  3.72378e+06  3.38172e+06       975387
      15.7222  4.21839e+09  2.63056e+09  4.21839e+09  1.79753e+09  1.21708e+07  4.50058e+06  4.08335e+06   1.1666e+06
      15.6021  4.97943e+09  3.10526e+09  4.97943e+09  2.12211e+09  1.47887e+07  5.43957e+06  4.92995e+06  1.39732e+06
      15.4821  5.87652e+09  3.66487e+09  5.87652e+09  2.50476e+09  1.79696e+07  6.57488e+06  5.95236e+06  1.67094e+06
       15.362  6.93371e+09  4.32424e+09  6.93371e+09  2.95583e+09  2.18345e+07  7.94592e+06  7.18642e+06  1.99968e+06
      15.2419  8.17928e+09  5.10128e+09  8.17928e+09  3.48726e+09  2.65306e+07  9.60306e+06  8.67623e+06  2.39274e+06
      15.1218  9.64646e+09  6.01657e+09  9.64646e+09  4.11345e+09  3.22366e+07  1.16053e+07  1.04743e+07  2.86545e+06
      15.0017  1.13742e+10  7.09434e+09  1.13742e+10  4.85081e+09  3.91697e+07  1.40248e+07  1.26449e+07  3.42511e+06
      14.8817  1.34084e+10  8.36356e+09  1.34084e+10  5.71928e+09  4.75935e+07    1.695e+07  1.52651e+07  4.09543e+06
      14.7616  1.58027e+10  9.85727e+09  1.58027e+10   6.7414e+09  5.78288e+07  2.04824e+07  1.84268e+07   4.8896e+06
      14.6415  1.86202e+10  1.16151e+10  1.86202e+10  7.94474e+09  7.02644e+07  2.47503e+07  2.22446e+07  5.83412e+06
      14.5214  2.19347e+10  1.36835e+10  2.19347e+10  9.36024e+09  8.53738e+07  2.99097e+07  2.68506e+07  6.96645e+06
      14.4013   2.5833e+10  1.61156e+10   2.5833e+10  1.10257e+10  1.03731e+08  3.61409e+07  3.24105e+07  8.31841e+06
      14.2812  3.04167e+10  1.89759e+10  3.04167e+10  1.29838e+10  1.26035e+08   4.3671e+07  3.91175e+07  9.92621e+06
      14.1612  3.58047e+10  2.23386e+10  3.58047e+10  1.52864e+10  1.53133e+08  5.27696e+07   4.7216e+07  1.18758e+07
      14.0411  4.21366e+10  2.62893e+10  4.21366e+10  1.79923e+10  1.86056e+08  6.37578e+07  5.69835e+07  1.42165e+07
       13.921  4.95755e+10  3.09323e+10  4.95755e+10  2.11726e+10  2.26054e+08  7.70351e+07  6.87736e+07  1.70312e+07
      13.8009  5.83125e+10  3.63853e+10  5.83125e+10   2.4908e+10   2.7465e+08   9.3074e+07  8.29999e+07  2.03943e+07
      13.6808  6.85712e+10  4.27872e+10  6.85712e+10  2.92953e+10   3.3369e+08  1.12457e+08   1.0017e+08  2.44122e+07
      13.5607  8.06131e+10  5.03046e+10  8.06131e+10  3.44454e+10  4.05421e+08  1.35871e+08  1.20878e+08  2.91823e+07
      13.4407  9.47442e+10  5.91246e+10  9.47442e+10  4.04907e+10  4.92568e+08  1.64136e+08  1.45862e+08  3.49105e+07
      13.3206  1.11322e+11  6.94719e+10  1.11322e+11  4.75833e+10  5.98447e+08  1.98297e+08  1.76023e+08  4.17703e+07
      13.2005  1.30763e+11  8.16106e+10  1.30763e+11  5.59036e+10   7.2708e+08  2.39556e+08  2.12399e+08  4.99786e+07
      13.0804  1.53557e+11  9.58381e+10  1.53557e+11  6.56601e+10  8.83355e+08  2.89385e+08  2.56297e+08  5.97123e+07
      12.9603  1.80272e+11  1.12517e+11  1.80272e+11  7.70989e+10  1.07321e+09    3.496e+08  3.09242e+08   7.1354e+07
      12.8402  2.11572e+11  1.32063e+11  2.11572e+11   9.0501e+10  1.30386e+09  4.22302e+08  3.73151e+08  8.50372e+07
      12.7202  2.48234e+11  1.54949e+11  2.48234e+11  1.06206e+11  1.58406e+09  5.10112e+08  4.50193e+08   1.0149e+08
      12.6001  2.91161e+11  1.81755e+11  2.91161e+11  1.24591e+11  1.92447e+09  6.16153e+08  5.43167e+08  1.21226e+08
        12.48  3.41407e+11  2.13135e+11  3.41407e+11  1.46126e+11  2.33801e+09  7.44235e+08  6.55293e+08   1.4487e+08
      12.3599    4.002e+11  2.49841e+11    4.002e+11  1.71315e+11  2.84038e+09     8.99e+08  7.90643e+08   1.7349e+08
      12.2398  4.68971e+11  2.92796e+11  4.68971e+11  2.00807e+11  3.45065e+09  1.08578e+09  9.53798e+08  2.07721e+08
      12.1198  5.49383e+11  3.43018e+11  5.49383e+11  2.35275e+11  4.19203e+09  1.31138e+09  1.15064e+09  2.48004e+08
      11.9997  6.43374e+11   4.0171e+11  6.43374e+11  2.75598e+11  5.09264e+09  1.58393e+09  1.38811e+09  2.96128e+08
      11.8796  7.53194e+11  4.70328e+11  7.53194e+11  3.22692e+11  6.18675e+09  1.91287e+09  1.67449e+09  3.53619e+08
      11.7595  8.81464e+11  5.50437e+11  8.81464e+11  3.77741e+11  7.51586e+09  2.31032e+09  2.01999e+09  4.22047e+08
      11.6394  1.03122e+12  6.43983e+11  1.03122e+12  4.42002e+11  9.13048e+09  2.79027e+09  2.43659e+09  5.04697e+08
      11.5193    1.206e+12  7.53212e+11    1.206e+12  5.17041e+11  1.10919e+10  3.36948e+09  2.93922e+09  6.02375e+08
      11.3993  1.40991e+12  8.80559e+11  1.40991e+12  6.04604e+11  1.34746e+10  4.06924e+09  3.54491e+09  7.16871e+08
      11.2792  1.64769e+12  1.02914e+12  1.64769e+12  7.06728e+11  1.63689e+10  4.91376e+09   4.2758e+09  8.52076e+08
