Pressure (atm),Temperature (K),B1_Frequencies_1_R1->P1,B1_Energy_1_R1->P1,B4_Energy_1_R1->P1,W1_Frequencies_1_R1->P1,B3_Frequencies_1_R1->P1,R1_Frequencies_1_R1->P1,B2_Frequencies_1_R1->P1,B4_SymmetryFactor_1_R1->P1,B1_SymmetryFactor_1_R1->P1,colrel_Sigmas_R1->P1,W3_SymmetryFactor_1_R1->P1,B3_SymmetryFactor_1_R1->P1,W3_Energy_1_R1->P1,P1_Frequencies_1_R1->P1,B2_SymmetryFactor_1_R1->P1,B4_Frequencies_1_R1->P1,W1_SymmetryFactor_1_R1->P1,colrel_PowerOne_R1->P1,colrel_FactorOne_R1->P1,R1_Energy_1_R1->P1,W3_Frequencies_1_R1->P1,P1_SymmetryFactor_1_R1->P1,colrel_Epsilons_R1->P1,B2_Energy_1_R1->P1,B3_Energy_1_R1->P1,R1_SymmetryFactor_1_R1->P1,W1_Energy_1_R1->P1,P1_Energy_1_R1->P1
21.54,560.0,-0.012305694872374385,-0.0005064897906793323,-1.2548527702888074e-05,2.5475545609573635e-06,-0.17920905291459308,0.447599452980795,-0.2658697634215047,-3.966664533184219e-05,-0.0030772983745152903,0.00010971667242615796,-7.005640177226007e-05,-0.39424559953517757,-1.7976855351476407e-06,0.0,-0.5799685789008553,4.0700461361459575e-05,1.6531520888674324e-06,5.404010945427325e-05,9.085518958919465e-05,0.8986092861462567,-0.00027844442920176634,0.0,1.3937201026267871e-05,-0.5215801204801873,-0.35679780313352544,0.9999999567668452,1.6382528615916509e-06,0.0
21.54,570.0,-0.012784616312340865,-0.0005241535279180211,-1.426518900034245e-05,1.6564192018635948e-06,-0.18380978516280363,0.46280662837918796,-0.27603234795857795,-5.7424126890668245e-05,-0.003192012997735925,0.00010897044788086093,-7.000215936897968e-05,-0.3914308891596024,-2.1488123765651722e-06,0.0,-0.5827195169287043,1.7969032151531275e-05,1.2553507304927378e-06,5.360730266586002e-05,8.790062979970293e-05,0.8828439440944545,-0.0002764655265449563,0.0,1.3302850799818425e-05,-0.515031622521125,-0.34830109891397854,1.0000002512777297,1.1947310075329007e-06,0.0
21.54,580.0,-0.013270484176556832,-0.0005419133265645856,-1.6279545489760168e-05,7.243185499764014e-07,-0.18834911173639773,0.47801452837810615,-0.2862255025598785,-8.156041017103376e-05,-0.003308216808425472,0.0001081886111423168,-7.006080923058647e-05,-0.3886917461396682,-2.5221729701737326e-06,0.0,-0.5853878855557005,-1.5600042175100993e-05,8.158314017241695e-07,5.302701503895831e-05,8.495130645278084e-05,0.8676221977666877,-0.0002745818675973325,0.0,1.265249850616507e-05,-0.508635384654099,-0.3401582452856559,1.0000004632754098,7.358026675987111e-07,0.0
21.54,590.0,-0.01376338810736842,-0.0005597622294628564,-1.856447741855183e-05,-2.2703924960984178e-07,-0.19282609354045493,0.49321446579276795,-0.2964427518114384,-0.0001116120843382878,-0.0034259315875859358,0.00010736833203304459,-7.02007728778997e-05,-0.3860246758517621,-2.9070716815680937e-06,0.0,-0.5879774731761792,-5.924733418608018e-05,3.4606190230279213e-07,5.232231102427228e-05,8.202083463944997e-05,0.8529164140244092,-0.0002727804343144953,0.0,1.1994256680122683e-05,-0.5023869885472114,-0.3323481743266943,1.0000006035941806,2.725864310559055e-07,0.0
21.54,600.0,-0.01426347529970932,-0.0005776980228948286,-2.1091371084664907e-05,-1.1786774539625226e-06,-0.19724000292160754,0.5083982426148038,-0.3066780534131129,-0.00014705370607561775,-0.0035451932358729946,0.00010650860124845185,-7.039398653117178e-05,-0.383426407896538,-3.2941296729826383e-06,0.0,-0.5904919011353896,-0.00011209952338912333,-1.4351411065176795e-07,5.151466899596755e-05,7.912182659009833e-05,0.838700801729608,-0.0002710493286291138,0.0,1.1335430951856405e-05,-0.49628210578535975,-0.3248514210835077,1.0000006827371783,-1.8528160300015272e-07,0.0
21.54,610.0,-0.014770937200845581,-0.0005957223628049845,-2.3831022546890424e-05,-2.1143011340109067e-06,-0.2015902943696584,0.5235581356058902,-0.31692576358415886,-0.000187320033896416,-0.0036660484372441028,0.00010560987117919105,-7.061587134606597e-05,-0.3808938755225014,-3.6752627629195716e-06,0.0,-0.5929346262852314,-0.00017320809035866277,-6.435326072253347e-07,5.062383754400922e-05,7.626574316300321e-05,0.8249512606655033,-0.00026937779521000495,0.0,1.0682494445465825e-05,-0.49031650661225007,-0.3176499795658232,1.0000007106954552,-6.296125907053594e-07,0.0
21.54,620.0,-0.015285997469193544,-0.0006138399645676977,-2.675437203378352e-05,-3.020182241746235e-06,-0.20587657898535294,0.5386868812962037,-0.3271806053267211,-0.000231824838564861,-0.0037885516475602726,0.0001046737445449432,-7.08452142886694e-05,-0.3784241973941012,-4.043627803168049e-06,0.0,-0.5953089439013226,-0.00024158221310183344,-1.1457213504229746e-06,4.9667769972001845e-05,7.34628136073662e-05,0.8116452451035423,-0.000267756210499075,0.0,1.0041091272371708e-05,-0.48448606629491175,-0.3107271731695428,1.0000006968250754,-1.0535953632798664e-06,0.0
21.54,630.0,-0.01580890126402008,-0.000632057868613607,-2.9833087799324272e-05,-3.885000495950717e-06,-0.21009860238669734,0.5537776605089503,-0.33743763953869316,-0.00027997653220661323,-0.003912762425569288,0.00010370270714992486,-7.106398742212733e-05,-0.3760146614457981,-4.393547661971398e-06,0.0,-0.5976179910380301,-0.0003162162429875367,-1.642879930687058e-06,4.8662618349948016e-05,7.072200766624583e-05,0.7987616403849574,-0.0002661760470524608,0.0,9.416061301632593e-06,-0.47878676953645233,-0.30406753797271857,1.0000006497701477,-1.4517040104950378e-06,0.0
21.54,640.0,-0.01633990587285324,-0.0006503847877435431,-3.3040018279614905e-05,-4.6996566517322876e-06,-0.2142562257050843,0.5688240825303592,-0.3476922388722643,-0.00033119090583913664,-0.0040387431068928965,0.00010269990068566016,-7.125712737627794e-05,-0.37366271058181805,-4.720422728098307e-06,0.0,-0.5998647503390832,-0.0003961122281582533,-2.128836737629491e-06,4.762277178604346e-05,6.805104693756355e-05,0.7862806510896687,-0.0002646298204765664,0.0,8.811479897771943e-06,-0.47321471329285525,-0.29765671752785816,1.0000005774216973,-1.8195915896897374e-06,0.0
21.54,650.0,-0.016879272637777564,-0.0006688305372663251,-3.634953071852867e-05,-5.4570708943961195e-06,-0.2183494093219809,0.5838201690396729,-0.3579400641745738,-0.0003849012857226916,-0.004166556809936971,0.00010166893143189081,-7.141229182588033e-05,-0.3713659300016518,-5.020635037485872e-06,0.0,-0.6020520542820963,-0.0004802979956607991,-2.598390109249023e-06,4.6560926488263524e-05,6.545644490114509e-05,0.7741836995414597,-0.00026311102479187613,0.0,8.230707626148515e-06,-0.4677661082906463,-0.29148136792948964,1.0000004869040593,-2.1539768136494563e-06,0.0
21.54,660.0,-0.01742726011105035,-0.0006874055458140074,-3.973775324293921e-05,-6.1519759630490075e-06,-0.22237819901008024,0.5987603379066812,-0.3681770433127815,-0.00044056642108773086,-0.004296265754853983,0.0001006137107398516,-7.151960572251225e-05,-0.36912203595240367,-5.291449637453056e-06,0.0,-0.6041825898106876,-0.0005678413134975074,-3.047239365595743e-06,4.5488177665663494e-05,6.294356710257512e-05,0.7624533335504767,-0.00026161406080244567,0.0,7.676446003173393e-06,-0.46243727949261415,-0.2855290720727805,1.000000384581992,-2.4525288461114285e-06,0.0
21.54,670.0,-0.017984118351248125,-0.0007061204424949066,-4.318273590427231e-05,-6.780712080511018e-06,-0.22634271416446836,0.613639386955964,-0.37839935217025045,-0.000497676405471885,-0.004427929871854211,9.953832343081542e-05,-7.157140675965552e-05,-0.36692886572992184,-5.530916595999303e-06,0.0,-0.6062589032939316,-0.0006578606410203457,-3.4719101480941063e-06,4.44141254197409e-05,6.0516704778875656e-05,0.7510731424257124,-0.0002601341610023499,0.0,7.150796282682706e-06,-0.45722466571712156,-0.27978826213955194,1.0000002760830031,-2.713753949282639e-06,0.0
21.54,680.0,-0.018550084260406993,-0.0007249857146769069,-4.66645446122451e-05,-7.341028739319492e-06,-0.23024313783576533,0.628452477787759,-0.388603397597835,-0.0005557569156118332,-0.0045616056725884336,9.844692047450509e-05,-7.15619969251715e-05,-0.3647843687705207,-5.73777610222841e-06,0.0,-0.6082834057465357,-0.0007495329485425659,-3.86967743820694e-06,4.3346988515102e-05,5.817915665320221e-05,0.7400276804043122,-0.0002586673137009647,0.0,6.655318998887843e-06,-0.45212481858162795,-0.27424814945452847,1.0000001663304774,-2.9368866231468116e-06,0.0
21.54,690.0,-0.019125377858223463,-0.000744011429942994,-5.016530027394764e-05,-7.831896809460378e-06,-0.234079708305741,0.6431951197357529,-0.39878580211025944,-0.0006143720288928869,-0.004697345357350584,9.734363263183374e-05,-7.148740492758417e-05,-0.36268659869375025,-5.9113683409791995e-06,0.0,-0.6102583782420916,-0.000842099050603098,-4.238488773405541e-06,4.229372135449112e-05,5.593331486239872e-05,0.7293023967437439,-0.0002572101883547172,0.0,6.191092590067087e-06,-0.44713440091184886,-0.2688986609488394,1.0000000595841179,-3.1217870145438375e-06,0.0
21.54,700.0,-0.019710199389502255,-0.0007632070154584701,-5.366917389012225e-05,-8.253333187864291e-06,-0.23785271197473182,0.6578631540324333,-0.408943390129128,-0.0006731258551456248,-0.004835196131028282,9.623250207049409e-05,-7.134516266651374e-05,-0.36063370617376816,-6.051549233657007e-06,0.0,-0.612185977454253,-0.0009348668562532407,-4.576889491502092e-06,4.1260130652448165e-05,5.3780751929830693e-05,0.7188835718093283,-0.0002557600635242237,0.0,5.75876990008065e-06,-0.4422501847335659,-0.26373038155121936,0.9999999594849324,-3.2688457035982897e-06,0.0
21.54,800.0,-0.026109674430647434,-0.0009658946008503703,-8.672286654862352e-05,-9.119552292856695e-06,-0.2721743067403756,0.7997323834520528,-0.5085784106510155,-0.0012092476214154246,-0.006336026044684136,8.544190199964369e-05,-6.636895216187911e-05,-0.3422244036014742,-5.817185962295261e-06,0.0,-0.6292530850210054,-0.0017690422033331478,-6.2663862118279255e-06,3.267402371668399e-05,3.730554371829922e-05,0.6290225193140113,-0.00024135715162589463,0.0,3.1257507532844783e-06,-0.39861183539286704,-0.22032141467357613,0.9999997767690565,-2.9726081173675062e-06,0.0
21.54,900.0,-0.033509449834315544,-0.0011885968550016484,-0.0001145560687611449,-6.302541607565759e-06,-0.30066170469902026,0.931482476918545,-0.6033742552403345,-0.0015853730979421225,-0.00805751785592845,7.673113818559146e-05,-5.713367234776592e-05,-0.3268024856258266,-3.723383760835824e-06,0.0,-0.6432374148191664,-0.002309582699812097,-5.595041018158608e-06,2.7512540806193664e-05,2.854524733515098e-05,0.5591327929460947,-0.00022712171467601495,0.0,2.8357603645458194e-06,-0.36274867914894543,-0.18803218940376276,1.0000013557837213,-8.509051561645438e-07,0.0
