Pressure (atm),Temperature (K),W1_Energy_1_R->P2,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_W2->P1,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P2->P3
1.0,390.0,1.8432735853178728e-06,-1.4966775355745119e-06,-1.5845236679765106e-05,-0.0032112038132528394,-5.590730933732234e-05,3.919579610847855e-07,-8.951146663300964e-06
1.0,400.0,3.0920186934738948e-06,-1.2424392978558996e-06,-1.3404589095536772e-05,-0.0011935872462658554,-4.2696952873562815e-05,4.334525390003064e-07,-4.95767297676148e-06
1.0,410.0,4.351448897153291e-06,-6.808500173910569e-07,-8.66219833593052e-06,0.00085802506987743,-1.904100270592335e-05,3.649616486774716e-07,5.71449148765253e-07
1.0,420.0,5.322665166861325e-06,1.837967188516241e-09,-3.2180989354327167e-06,0.0023958829742391826,7.562951018940676e-06,2.1875903275794416e-07,6.121336584948177e-06
1.0,430.0,5.8004999944758305e-06,6.371719725199772e-07,1.5807025999819994e-06,0.0031675286907582876,3.072015942196673e-05,3.5956570884222145e-08,1.0507088604194289e-05
1.0,440.0,5.701036709570355e-06,1.1054821085068363e-06,4.8574443076530905e-06,0.0031673031707005776,4.6203355912028986e-05,-1.444185673130696e-07,1.303433942595664e-05
1.0,450.0,5.05315465508426e-06,1.345134933978987e-06,6.241575708229237e-06,0.0025506350018881805,5.216646506102058e-05,-2.919830754968615e-07,1.349821979429448e-05
1.0,460.0,3.969718671260039e-06,1.3472238649363381e-06,5.79161529265032e-06,0.0015485569813484894,4.8816129146189126e-05,-3.877157131374941e-07,1.2087178077184798e-05
1.0,470.0,2.6117308019600624e-06,1.142626067061668e-06,3.865748510941587e-06,0.0004006611005451907,3.78229697578769e-05,-4.238829606627367e-07,9.248033737205736e-06
1.0,480.0,1.1545526184403809e-06,7.867360892301112e-07,9.84117115833239e-07,-0.0006883107309829137,2.167982766503281e-05,-4.022665016482053e-07,5.551335385758177e-06
1.0,490.0,-2.3881981011399064e-07,3.4529269280596526e-07,-2.2908022062581938e-06,-0.0015702802612644828,3.134141883974443e-06,-3.316023668768807e-07,1.5792922742871471e-06
1.0,500.0,-1.4356450681957373e-06,-1.1691597735165816e-07,-5.44354160011036e-06,-0.0021591720918718678,-1.5244397515135966e-05,-2.248838568549835e-07,-2.154532882923355e-06
1.0,510.0,-2.3428030934679784e-06,-5.438713563479131e-07,-8.06232815929131e-06,-0.0024254545770824713,-3.134612510599247e-05,-9.693418651569835e-08,-5.253295142040042e-06
1.0,520.0,-2.9090933093383986e-06,-8.928202314935671e-07,-9.866539638624317e-06,-0.0023848269532861016,-4.366682484896153e-05,3.7543285125050216e-08,-7.457150968841809e-06
1.0,530.0,-3.122356445398006e-06,-1.1359980272921624e-06,-1.0711107510621909e-05,-0.0020847840658398823,-5.13433201860323e-05,1.6537081046369432e-07,-8.64232154993375e-06
1.0,540.0,-3.0033002803072916e-06,-1.260279599446045e-06,-1.0574738809559608e-05,-0.0015915507574603932,-5.4110321089411775e-05,2.757817683691859e-07,-8.805793730409735e-06
1.0,550.0,-2.597650458949276e-06,-1.2654506457127998e-06,-9.538305555821799e-06,-0.0009788280421226228,-5.220783083865376e-05,3.6085951179980323e-07,-8.04176997940158e-06
1.0,560.0,-1.967885721403325e-06,-1.1617011800119322e-06,-7.758630707790393e-06,-0.00031900324881529784,-4.626364276594213e-05,4.1562405244793913e-07,-6.514761933588565e-06
1.0,570.0,-1.1854441504878825e-06,-9.668155993873246e-07,-5.4415932003160666e-06,0.000323061377197247,-3.716964202740869e-05,4.3786320210156555e-07,-4.432900301306454e-06
1.0,580.0,-3.2395434629055467e-07,-7.034027727977134e-07,-2.8172258293404813e-06,0.000893874827281894,-2.5964943656573317e-05,4.277959228574455e-07,-2.023816983611746e-06
1.0,590.0,5.462243561068705e-07,-3.9639163080982877e-07,-1.1841323310628989e-07,0.0013531808923945203,-1.3733964598431006e-05,3.87641393231439e-07,4.855570784300307e-07
1.0,600.0,1.362070554708819e-06,-7.09207404822998e-08,2.4360416091404475e-06,0.0016742818367419567,-1.523590146321518e-06,3.211513955985345e-07,2.884712563940201e-06
1.0,610.0,2.0706357553982032e-06,2.493237963889598e-07,4.653826315082374e-06,0.0018432554758132285,9.719326112483995e-06,2.3314833768701646e-07,4.990789519971193e-06
1.0,620.0,2.6305900590201356e-06,5.433206132933355e-07,6.3772601758941584e-06,0.0018574503343446866,1.9190899036657743e-05,1.290977555677051e-07,6.65566311862459e-06
1.0,630.0,3.0127688966768844e-06,7.935086868116242e-07,7.487673764401944e-06,0.0017235770671403178,2.62556102355e-05,1.4733021481035515e-08,7.76944736606336e-06
1.0,640.0,3.1999269953664703e-06,9.862196928254423e-07,7.906658647599189e-06,0.0014556436723391628,3.045686242500241e-05,-1.042587280761492e-07,8.261070868301403e-06
1.0,650.0,3.1859010027093985e-06,1.1118099163015313e-06,7.59485412800128e-06,0.0010729156842887977,3.151562667015713e-05,-2.2248690560625793e-07,8.096592004777575e-06
1.0,660.0,2.9743645063655647e-06,1.1645562552715455e-06,6.548913065410362e-06,0.0005980247276801687,2.9320068874058384e-05,-3.350460364967119e-07,7.275881179707653e-06
1.0,670.0,2.577334419325366e-06,1.142377512531519e-06,4.797226848165056e-06,5.5301391658445616e-05,2.3908805687418656e-05,-4.376475534536456e-07,5.82822703632517e-06
1.0,680.0,2.013560102432612e-06,1.046435796577371e-06,2.394908067773633e-06,-0.0005306287304949113,1.5450101523322704e-05,-5.267015356777919e-07,3.8073376001437876e-06
1.0,690.0,1.3068990384368833e-06,8.806649348876738e-07,-5.815590988859455e-07,-0.0011359745169627544,4.2189357872528316e-06,-5.993559097986312e-07,1.2861176567869577e-06
1.0,700.0,4.847572215615297e-07,6.512644195601344e-07,-4.039677977392755e-06,-0.0017386425148871796,-9.426515846884016e-06,-6.535007670636915e-07,-1.648482474590181e-06
1.0,800.0,-7.896489312574917e-06,-3.082022515279352e-06,-4.210926357411709e-05,-0.00466444548839857,-0.00018051229618570714,-1.5233711870495413e-07,-3.2779123909478644e-05
1.0,900.0,-5.769601507757028e-06,-4.1294760859556924e-06,-4.007062646209659e-05,-0.0013077056236699678,-0.00019694056177396832,1.1207383745169783e-06,-2.7285170943212212e-05
1.0,1000.0,3.914917359455899e-06,-1.1365644237808177e-06,-3.522650925550552e-07,0.002545813023213157,-4.313947232164032e-05,1.5245152288182607e-06,8.66686049128328e-06
1.0,1100.0,1.0595271763632695e-05,2.6524271748647693e-06,3.688533652500787e-05,0.0033836548940042502,0.0001146118380547758,7.350537742534076e-07,3.804342853864427e-05
1.0,1200.0,9.319425918980684e-06,4.481306934552152e-06,4.578726274234519e-05,0.0017156113535061542,0.00015883606262300347,-6.364004276268731e-07,3.995675900487484e-05
1.0,1300.0,1.7007085903067122e-06,3.607166729282602e-06,2.46720724733336e-05,-0.0006260403495069118,7.432360104260594e-05,-1.8241796837168293e-06,1.615720203076506e-05
1.0,1400.0,-7.729229350628743e-06,6.864006716716333e-07,-1.4057734153415352e-05,-0.0022621641633806147,-9.034636527644778e-05,-2.3132511388882813e-06,-1.9835787455719913e-05
1.0,1500.0,-1.4700276193815792e-05,-3.181376664510206e-06,-5.5130170099958935e-05,-0.0026860394967250572,-0.00027050725693393394,-1.9188305168209692e-06,-5.344252109264259e-05
1.0,1600.0,-1.6739466980751455e-05,-7.081031886409778e-06,-8.694519364053743e-05,-0.0020438347151491443,-0.0004146679913225808,-7.176078319229688e-07,-7.477179994546904e-05
1.0,1700.0,-1.3446156363037775e-05,-1.0536304034884304e-05,-0.00010380361205259172,-0.0007903573025975612,-0.0004954139134888142,1.0554342127349481e-06,-8.019401833360057e-05
1.0,1800.0,-6.1221078220686215e-06,-1.3524008319091357e-05,-0.00010559608906730167,0.0005750202220916892,-0.0005090549679073528,3.0957304255873674e-06,-7.16066141441094e-05
1.0,1900.0,2.8051729633154373e-06,-1.6376509366676927e-05,-9.642135560626249e-05,0.0016561709523027059,-0.0004702750364879535,5.090583688413026e-06,-5.482799396088404e-05
1.0,2000.0,1.0333823871977157e-05,-1.965414729589166e-05,-8.300345554016836e-05,0.0022168572394046515,-0.0004056097949949774,6.755576428417848e-06,-3.792735761780281e-05
1.0,2100.0,1.3321642045146356e-05,-2.4028598264508596e-05,-7.331560011820816e-05,0.002181567241209468,-0.00034761363265893184,7.852451427059506e-06,-2.9842867207546608e-05
1.0,2200.0,8.786175345225587e-06,-3.0192517543835623e-05,-7.554416986250384e-05,0.001608747278105715,-0.0003303764116655719,8.194866797395577e-06,-3.9382486706552214e-05
1.0,2300.0,-5.912300124998501e-06,-3.87973743823778e-05,-9.739017168515534e-05,0.0006545981278716117,-0.00038643706559250864,7.646985946495492e-06,-7.458002308741916e-05
1.0,2400.0,-3.2977756802592585e-05,-5.04155611477625e-05,-0.00014565080609576914,-0.00046251007617183,-0.000544883067738602,6.118320432905573e-06,-0.00014233475873584657
1.0,2500.0,-7.414865205380979e-05,-6.552113175353492e-05,-0.00022601118064781921,-0.001492345827302109,-0.000830354578312403,3.557000784769771e-06,-0.0002482573060808331
1.0,2600.0,-0.00013070930862494682,-8.448372217066842e-05,-0.00034298228101262265,-0.0021763619838264183,-0.0012626881052987622,-5.723575247453763e-08,-0.00039665454372077714
1.0,2700.0,-0.00020352574408938253,-0.00010757113812163123,-0.0004999337767377881,-0.0022646570853160543,-0.001856982176390589,-4.7196388320066085e-06,-0.0005906013082385762
1.0,2800.0,-0.0002930941312968481,-0.00013495717472230428,-0.0006991832801800514,-0.0015272708244997305,-0.002623920352574537,-1.0406286643478601e-05,-0.0008320607823613831
1.0,2900.0,-0.000399593966876767,-0.00016673220693651754,-0.0009421149522114542,0.00023904206425051124,-0.0035702337961445035,-1.7079061578180997e-05,-0.0011220273548142512
1.0,3000.0,-0.0005229409263474137,-0.00020291487537985443,-0.001229309220522333,0.0032074514386548777,-0.004699223106968176,-2.468976872024538e-05,-0.0014606747860882435
