========================================
c2h6rad_W1_Energy_1_0.0.out
3 atm
513.0,8.07068e-23
539.0,1.75815e-22
577.0,5.15474e-22
700.0,9.83903e-21
810.0,7.73093e-20
906.0,3.37824e-19
1050.0,2.05376e-18
1200.0,9.2786e-18
1350.0,3.20087e-17
1525.0,1.05972e-16
1700.0,2.87866e-16
1950.0,9.33876e-16
2250.0,2.89869e-15
2600.0,8.30737e-15
3000.0,2.16487e-14
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,P2->P3
296.0,1.8272e-25
370.0,1.03088e-24
407.0,2.92535e-24
474.0,2.37074e-23
513.0,8.0289e-23
539.0,1.75198e-22
577.0,5.14348e-22
700.0,9.83129e-21
810.0,7.72763e-20
906.0,3.37732e-19
1050.0,2.05345e-18
1200.0,9.27782e-18
1350.0,3.20071e-17
1525.0,1.05969e-16
1700.0,2.87862e-16
1950.0,9.33869e-16
2250.0,2.89868e-15
2600.0,8.30735e-15
3000.0,2.16486e-14
========================================
c2h6rad_W1_Energy_1_0.0.out
3 atm
T,P2->P3
296.0,1.12828e-25
370.0,8.37703e-25
407.0,2.60524e-24
474.0,2.28688e-23
513.0,7.87495e-23
539.0,1.7285e-22
577.0,5.09936e-22
700.0,9.80018e-21
810.0,7.71436e-20
906.0,3.37362e-19
1050.0,2.05222e-18
1200.0,9.27471e-18
1350.0,3.20008e-17
1525.0,1.05958e-16
1700.0,2.87843e-16
1950.0,9.3384e-16
2250.0,2.89863e-15
2600.0,8.3073e-15
3000.0,2.16486e-14
========================================
c2h6rad_W1_Energy_1_0.0.out
4 atm
T,P2->P3
296.0,9.59406e-26
370.0,7.75153e-25
407.0,2.48797e-24
474.0,2.2505e-23
513.0,7.80379e-23
539.0,1.71732e-22
577.0,5.07778e-22
700.0,9.78454e-21
810.0,7.70768e-20
906.0,3.37176e-19
1050.0,2.05161e-18
1200.0,9.27314e-18
1350.0,3.19977e-17
1525.0,1.05952e-16
1700.0,2.87834e-16
1950.0,9.33825e-16
2250.0,2.89861e-15
2600.0,8.30727e-15
3000.0,2.16486e-14
