    E, kcal/mol    D, mol/kcal         W1->P1         W1->P2
           18.1    4.15333e+14    1.20831e+09    3.68926e+08
           18.2    4.32298e+14    1.19995e+09    3.72334e+08
           18.3    4.49892e+14    1.19169e+09    3.75744e+08
           18.4    4.68136e+14    1.18355e+09    3.79157e+08
           18.5    4.87053e+14    1.17552e+09    3.82572e+08
           18.6    5.06663e+14    1.16758e+09    3.85989e+08
           18.7    5.26991e+14    1.15976e+09    3.89408e+08
           18.8     5.4806e+14    1.15203e+09    3.92829e+08
           18.9    5.69895e+14    1.14441e+09    3.96253e+08
             19    5.92521e+14    1.13687e+09    3.99678e+08
           19.1    6.15963e+14    1.12944e+09    4.03105e+08
           19.2    6.40249e+14    1.12209e+09    4.06533e+08
           19.3    6.65407e+14    1.11482e+09    4.09963e+08
           19.4    6.91464e+14    1.10764e+09    4.13395e+08
           19.5    7.18449e+14    1.10054e+09    4.16828e+08
           19.6    7.46393e+14    1.09352e+09    4.20262e+08
           19.7    7.75327e+14    1.08657e+09    4.23698e+08
           19.8    8.05282e+14     1.0797e+09    4.27134e+08
           19.9    8.36291e+14    1.07289e+09    4.30572e+08
             20    8.68387e+14    1.06615e+09    4.34011e+08
