    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
            1.6     1.6266e+10     4.3374e+10    8.86076e+09    5.10607e+12
            1.8    1.67368e+10    4.47791e+10    9.45579e+09    5.13346e+12
              2    1.72199e+10    4.62134e+10    1.00791e+10    5.16069e+12
            2.2    1.77153e+10    4.76783e+10    1.07317e+10    5.18792e+12
            2.4    1.82228e+10    4.91751e+10    1.14148e+10    5.21525e+12
            2.6     1.8743e+10     5.0703e+10    1.21288e+10    5.24256e+12
            2.8    1.92769e+10     5.2261e+10    1.28744e+10    5.26971e+12
              3    1.98246e+10    5.38493e+10    1.36523e+10    5.29671e+12
            3.2    2.03858e+10    5.54696e+10    1.44637e+10    5.32372e+12
            3.4    2.09608e+10    5.71227e+10    1.53096e+10    5.35077e+12
            3.6    2.15503e+10    5.88076e+10    1.61904e+10    5.37775e+12
            3.8     2.2155e+10    6.05234e+10    1.71068e+10    5.40455e+12
              4    2.27748e+10    6.22712e+10    1.80598e+10    5.43128e+12
            4.2    2.34097e+10    6.40526e+10    1.90506e+10    5.45803e+12
            4.4    2.40597e+10    6.58683e+10    2.00802e+10    5.48485e+12
            4.6     2.4726e+10    6.77166e+10     2.1149e+10    5.51157e+12
            4.8    2.54091e+10    6.95972e+10    2.22576e+10    5.53815e+12
              5    2.61091e+10    7.15108e+10     2.3407e+10    5.56464e+12
            5.2    2.68258e+10    7.34593e+10    2.45986e+10    5.59116e+12
            5.4    2.75597e+10    7.54425e+10    2.58331e+10    5.61767e+12
            5.6    2.83118e+10     7.7459e+10    2.71108e+10    5.64407e+12
            5.8    2.90825e+10    7.95087e+10    2.84325e+10    5.67032e+12
              6    2.98719e+10    8.15931e+10    2.97995e+10    5.69653e+12
            6.2    3.06796e+10    8.37137e+10    3.12131e+10    5.72279e+12
            6.4    3.15065e+10    8.58702e+10    3.26741e+10    5.74906e+12
            6.6    3.23535e+10    8.80608e+10    3.41826e+10     5.7752e+12
            6.8    3.32212e+10    9.02856e+10    3.57394e+10    5.80122e+12
              7    3.41094e+10    9.25461e+10    3.73459e+10     5.8272e+12
            7.2    3.50183e+10    9.48435e+10    3.90033e+10     5.8532e+12
            7.4    3.59486e+10     9.7177e+10    4.07122e+10    5.87916e+12
            7.6    3.69014e+10     9.9545e+10    4.24727e+10    5.90498e+12
            7.8    3.78769e+10    1.01948e+11    4.42858e+10    5.93069e+12
              8    3.88751e+10    1.04388e+11    4.61533e+10    5.95639e+12
            8.2    3.98959e+10    1.06867e+11    4.80763e+10    5.98214e+12
            8.4    4.09406e+10    1.09382e+11    5.00551e+10    6.00784e+12
            8.6    4.20101e+10    1.11933e+11    5.20899e+10     6.0334e+12
            8.8    4.31047e+10     1.1452e+11    5.41817e+10    6.05887e+12
              9    4.42242e+10    1.17145e+11    5.63322e+10    6.08434e+12
            9.2    4.53691e+10    1.19808e+11    5.85425e+10    6.10982e+12
            9.4    4.65406e+10    1.22508e+11    6.08124e+10    6.13521e+12
            9.6    4.77397e+10    1.25244e+11    6.31424e+10    6.16046e+12
            9.8    4.89663e+10    1.28017e+11    6.55339e+10    6.18564e+12
             10    5.02203e+10     1.3083e+11    6.79888e+10    6.21084e+12
           10.2    5.15023e+10    1.33682e+11    7.05077e+10    6.23604e+12
           10.4    5.28137e+10     1.3657e+11    7.30905e+10    6.26116e+12
           10.6    5.41553e+10    1.39496e+11    7.57377e+10    6.28616e+12
           10.8    5.55272e+10     1.4246e+11    7.84507e+10    6.31111e+12
             11    5.69294e+10    1.45463e+11    8.12312e+10    6.33607e+12
           11.2    5.83628e+10    1.48506e+11    8.40796e+10      6.361e+12
           11.4     5.9829e+10    1.51586e+11    8.69956e+10    6.38581e+12
           11.6    6.13283e+10    1.54703e+11      8.998e+10    6.41051e+12
           11.8    6.28609e+10    1.57859e+11    9.30345e+10    6.43518e+12
             12    6.44268e+10    1.61055e+11    9.61608e+10    6.45986e+12
           12.2    6.60271e+10    1.64292e+11    9.93591e+10    6.48451e+12
           12.4    6.76633e+10    1.67566e+11    1.02629e+11    6.50907e+12
           12.6    6.93359e+10    1.70878e+11    1.05971e+11    6.53352e+12
           12.8     7.1045e+10     1.7423e+11    1.09388e+11    6.55796e+12
             13    7.27909e+10    1.77622e+11     1.1288e+11    6.58239e+12
           13.2    7.45751e+10    1.81054e+11    1.16448e+11    6.60676e+12
           13.4    7.63988e+10    1.84524e+11    1.20091e+11    6.63101e+12
           13.6    7.82626e+10    1.88032e+11     1.2381e+11    6.65518e+12
           13.8    8.01663e+10     1.9158e+11    1.27608e+11    6.67934e+12
             14    8.21105e+10     1.9517e+11    1.31485e+11    6.70349e+12
           14.2    8.40967e+10    1.98799e+11    1.35441e+11    6.72759e+12
           14.4    8.61262e+10    2.02467e+11    1.39477e+11    6.75159e+12
           14.6    8.81994e+10    2.06174e+11    1.43593e+11    6.77552e+12
           14.8    9.03165e+10    2.09922e+11    1.47791e+11    6.79944e+12
             15    9.24783e+10    2.13711e+11    1.52071e+11    6.82333e+12
           15.2    9.46865e+10    2.17539e+11    1.56435e+11    6.84715e+12
           15.4    9.69423e+10    2.21405e+11     1.6088e+11    6.87087e+12
           15.6     9.9246e+10    2.25311e+11     1.6541e+11    6.89452e+12
           15.8    1.01598e+11    2.29259e+11    1.70025e+11    6.91816e+12
             16    1.03999e+11    2.33247e+11    1.74728e+11    6.94178e+12
           16.2     1.0645e+11    2.37275e+11    1.79515e+11    6.96533e+12
           16.4    1.08954e+11    2.41342e+11    1.84389e+11     6.9888e+12
           16.6    1.11509e+11    2.45449e+11    1.89351e+11    7.01221e+12
           16.8    1.14118e+11    2.49598e+11    1.94402e+11    7.03561e+12
             17     1.1678e+11    2.53788e+11    1.99543e+11    7.05898e+12
           17.2    1.19499e+11    2.58016e+11    2.04772e+11    7.08225e+12
           17.4    1.22274e+11    2.62284e+11     2.1009e+11    7.10544e+12
           17.6    1.25106e+11    2.66592e+11      2.155e+11    7.12858e+12
           17.8    1.27996e+11    2.70941e+11    2.21002e+11    7.15171e+12
             18    1.30946e+11    2.75332e+11    2.26597e+11    7.17481e+12
           18.2    1.33956e+11    2.79761e+11    2.32284e+11    7.19782e+12
           18.4    1.37028e+11     2.8423e+11    2.38063e+11    7.22076e+12
           18.6    1.40162e+11    2.88741e+11    2.43938e+11    7.24367e+12
           18.8     1.4336e+11    2.93292e+11    2.49908e+11    7.26656e+12
             19    1.46622e+11    2.97884e+11    2.55972e+11    7.28939e+12
           19.2    1.49952e+11    3.02515e+11    2.62132e+11    7.31213e+12
           19.4    1.53349e+11    3.07185e+11    2.68387e+11    7.33481e+12
           19.6    1.56814e+11    3.11896e+11     2.7474e+11    7.35745e+12
           19.8    1.60348e+11    3.16649e+11    2.81191e+11    7.38008e+12
             20    1.63953e+11    3.21442e+11     2.8774e+11    7.40264e+12
    E, kcal/mol    D, mol/kcal       W2b->W3b       W2b->W2a        W2b->P2
            -10    2.79445e+09    4.96784e+07    3.20548e+12              0
           -9.8    2.89563e+09    6.31205e+07    3.23141e+12              0
           -9.6    3.00001e+09    7.93247e+07    3.25735e+12              0
           -9.4    3.10765e+09    9.86602e+07     3.2833e+12              0
           -9.2    3.21889e+09    1.21528e+08    3.30903e+12              0
             -9    3.33373e+09    1.48379e+08    3.33461e+12              0
           -8.8    3.45215e+09    1.79697e+08     3.3602e+12              0
           -8.6    3.57419e+09    2.15981e+08    3.38584e+12              0
           -8.4    3.70009e+09    2.57719e+08    3.41139e+12              0
           -8.2    3.82983e+09    3.05417e+08    3.43697e+12              0
             -8    3.96346e+09    3.59591e+08    3.46261e+12              0
           -7.8    4.10137e+09    4.20758e+08    3.48807e+12              0
           -7.6    4.24371e+09    4.89491e+08    3.51334e+12              0
           -7.4    4.39041e+09    5.66433e+08    3.53856e+12              0
           -7.2    4.54144e+09    6.52269e+08    3.56387e+12              0
             -7    4.69704e+09    7.47666e+08    3.58914e+12              0
           -6.8    4.85729e+09    8.53319e+08    3.61442e+12              0
           -6.6    5.02226e+09    9.69924e+08    3.63972e+12              0
           -6.4    5.19245e+09     1.0981e+09    3.66479e+12              0
           -6.2    5.36793e+09    1.23856e+09    3.68969e+12              0
             -6    5.54846e+09    1.39214e+09    3.71466e+12              0
           -5.8    5.73431e+09    1.55959e+09    3.73962e+12              0
           -5.6    5.92569e+09     1.7417e+09    3.76452e+12              0
           -5.4    6.12263e+09    1.93934e+09    3.78942e+12              0
           -5.2    6.32527e+09    2.15336e+09    3.81433e+12              0
             -5    6.53398e+09    2.38453e+09    3.83911e+12              0
           -4.8    6.74897e+09    2.63367e+09    3.86373e+12              0
           -4.6    6.97022e+09    2.90169e+09    3.88831e+12              0
           -4.4    7.19779e+09    3.18952e+09    3.91288e+12              0
           -4.2     7.4319e+09    3.49802e+09    3.93743e+12              0
             -4    7.67262e+09    3.82816e+09      3.962e+12              0
