Pressure (atm),Temperature (K),B1_Frequencies_1_P1->P2,B1_Energy_1_P1->P2,W1_Frequencies_1_P1->P2,P2_Frequencies_1_P1->P2,colrel_Epsilons_P1->P2,B2_Energy_1_P1->P2,B2_SymmetryFactor_1_P1->P2,colrel_PowerOne_P1->P2,colrel_FactorOne_P1->P2,W1_Energy_1_P1->P2,P2_Energy_1_P1->P2,B2_Frequencies_1_P1->P2,P1_SymmetryFactor_1_P1->P2,P1_Frequencies_1_P1->P2,W1_SymmetryFactor_1_P1->P2,P1_Energy_1_P1->P2,P2_SymmetryFactor_1_P1->P2,B1_SymmetryFactor_1_P1->P2,colrel_Sigmas_P1->P2
1.0,300.0,-3.869963941088214e-05,-2.2629283506498117e-05,0.0,0.0,0.0,-1.6773994704325834,-0.9999853736816846,0.0,0.0,0.0,0.0,-0.7669353227542625,1.0000028800101088,0.03106363311293565,0.0,1.6773955822485687,0.0,-5.754360315176312e-06,0.0
1.0,310.0,-3.9559802438780406e-05,-1.9688919822963438e-05,0.0,0.0,0.0,-1.623289046838953,-0.9999849355570103,0.0,0.0,0.0,0.0,-0.8027408191696691,1.0000025038146574,0.03671645095290806,0.0,1.6232845643910725,0.0,-5.665222293301138e-06,0.0
1.0,320.0,-3.591367996427954e-05,-1.78037045719937e-05,0.0,0.0,0.0,-1.572560818326634,-0.9999856871358175,0.0,0.0,0.0,0.0,-0.8385467371661842,1.0000021513953792,0.042968230320399536,0.0,1.5725558636426784,0.0,-5.216006367396925e-06,0.0
1.0,330.0,-2.91558696936092e-05,-1.638679887777762e-05,0.0,0.0,0.0,-1.524907267176449,-0.9999872857949786,0.0,0.0,0.0,0.0,-0.8743780257958997,1.000001862900099,0.04986230058398789,0.0,1.5249020102004935,0.0,-4.561300443303979e-06,0.0
1.0,340.0,-2.0600065779947088e-05,-1.5108106757421424e-05,0.0,0.0,0.0,-1.4800570488113185,-0.9999894107348779,0.0,0.0,0.0,0.0,-0.9102523049139951,1.0000016630550128,0.05742607724812926,0.0,1.4800516771273702,0.0,-3.833909497860284e-06,0.0
1.0,350.0,-1.1359046284702156e-05,-1.3803049519178129e-05,0.0,0.0,0.0,-1.437769830264756,-0.9999917883685824,0.0,0.0,0.0,0.0,-0.9461811805299041,1.0000015643065614,0.06567229290875674,0.0,1.4377645288741792,0.0,-3.137127020123172e-06,0.0
1.0,360.0,-2.3028587390086596e-06,-1.2408859059201291e-05,0.0,0.0,0.0,-1.397831986354128,-0.9999942010594051,0.0,0.0,0.0,0.0,-0.9821713788083629,1.0000015698739417,0.07460136144386752,0.0,1.3978269251578594,0.0,-2.5441184534444054e-06,0.0
1.0,370.0,5.938057243003962e-06,-1.0921623932728502e-05,0.0,0.0,0.0,-1.3600529921076536,-0.9999964862887938,0.0,0.0,0.0,0.0,-1.018225685497662,1.0000016764105302,0.0842040354050237,0.0,1.360048318982221,0.0,-2.101005074363705e-06,0.0
1.0,380.0,1.2946676663587468e-05,-9.36827010423556e-06,0.0,0.0,0.0,-1.324262383770094,-0.9999985308923228,0.0,0.0,0.0,0.0,-1.054343709200613,1.000001876180228,0.09446391410797605,0.0,1.3242582215272496,0.0,-1.8315185855216937e-06,0.0
1.0,390.0,1.848368262977364e-05,-7.788937337570553e-06,0.0,0.0,0.0,-1.2903071867323397,-1.000000263238808,0.0,0.0,0.0,0.0,-1.0905224973109284,1.0000021587583194,0.10535960379596992,0.0,1.290303632656678,0.0,-1.7419851171067718e-06,0.0
1.0,400.0,2.2450145247154785e-05,-6.226396923336079e-06,0.0,0.0,0.0,-1.2580497289360189,-1.0000016450326519,0.0,0.0,0.0,0.0,-1.126757033812172,1.0000025123123304,0.11686647091076638,0.0,1.258046855943487,0.0,-1.8259760274412097e-06,0.0
1.0,410.0,2.4852816736550846e-05,-4.720117709644348e-06,0.0,0.0,0.0,-1.2273657741084794,-1.0000026636458923,0.0,0.0,0.0,0.0,-1.163040644410216,1.0000029245334672,0.1289580030482933,0.0,1.2273636328465956,0.0,-2.0683209310568215e-06,0.0
1.0,420.0,2.577399907463277e-05,-3.303316828335648e-06,0.0,0.0,0.0,-1.1981429216268762,-1.000003325405861,0.0,0.0,0.0,0.0,-1.1993653296048503,1.0000033832888162,0.1416068259787819,0.0,1.1981415430489648,0.0,-2.448388364276223e-06,0.0
1.0,430.0,2.534659633591161e-05,-2.0018631525939492e-06,0.0,0.0,0.0,-1.1702792296677516,-1.0000036499791316,0.0,0.0,0.0,0.0,-1.2357220416519887,1.0000038770570638,0.15478543632223427,0.0,1.1702786277694093,0.0,-2.942654438291978e-06,0.0
1.0,440.0,2.3734218632497265e-05,-8.342785797634114e-07,0.0,0.0,0.0,-1.1436820261529388,-1.0000036658329607,0.0,0.0,0.0,0.0,-1.2721009174390234,1.0000043952006352,0.16846670872446312,0.0,1.1436822006710103,0.0,-3.5266361252177424e-06,0.0
1.0,450.0,2.1115831684065563e-05,1.8765577229177364e-07,0.0,0.0,0.0,-1.1182668782951712,-1.0000034066743904,0.0,0.0,0.0,0.0,-1.3084914761993118,1.0000049281171497,0.1826242299997783,0.0,1.1182678172483138,0.0,-4.176287440961225e-06,0.0
1.0,460.0,1.767429615884522e-05,1.0580024053330987e-06,0.0,0.0,0.0,-1.093956696614181,-1.000002908733311,0.0,0.0,0.0,0.0,-1.3448827886557577,1.0000054673040417,0.1972325042815316,0.0,1.0939583786183458,0.0,-4.868958995278156e-06,0.0
