    E, kcal/mol    D, mol/kcal         W1->P0
             84     2.6292e+07    1.55754e+12
           84.5    2.67264e+07    1.56458e+12
             85    2.71653e+07    1.57161e+12
           85.5    2.76114e+07    1.57848e+12
             86     2.8059e+07    1.58552e+12
           86.5    2.85158e+07    1.59228e+12
             87     2.8975e+07    1.59917e+12
           87.5    2.94397e+07    1.60599e+12
             88    2.99105e+07    1.61274e+12
           88.5    3.03878e+07    1.61938e+12
             89    3.08675e+07    1.62613e+12
           89.5    3.13566e+07    1.63264e+12
             90    3.18483e+07    1.63927e+12
           90.5    3.23447e+07    1.64589e+12
             91    3.28493e+07    1.65233e+12
           91.5    3.33573e+07    1.65885e+12
             92    3.38717e+07    1.66529e+12
           92.5     3.4392e+07    1.67168e+12
             93    3.49174e+07    1.67805e+12
           93.5    3.54477e+07    1.68443e+12
             94     3.5988e+07    1.69057e+12
           94.5    3.65301e+07    1.69686e+12
             95    3.70807e+07    1.70298e+12
           95.5    3.76348e+07    1.70918e+12
             96    3.81941e+07    1.71538e+12
           96.5    3.87607e+07    1.72147e+12
             97    3.93336e+07    1.72752e+12
           97.5    3.99116e+07    1.73357e+12
             98    4.04979e+07     1.7395e+12
           98.5    4.10871e+07    1.74552e+12
             99    4.16824e+07    1.75151e+12
           99.5    4.22879e+07    1.75729e+12
            100    4.28958e+07     1.7632e+12
          100.5    4.35112e+07    1.76902e+12
            101    4.41341e+07    1.77476e+12
          101.5    4.47612e+07    1.78055e+12
            102     4.5395e+07    1.78629e+12
          102.5    4.60384e+07    1.79188e+12
            103    4.66832e+07    1.79763e+12
          103.5     4.7338e+07    1.80321e+12
            104    4.79974e+07    1.80883e+12
          104.5     4.8663e+07    1.81444e+12
            105    4.93382e+07     1.8199e+12
          105.5    5.00187e+07    1.82537e+12
            106    5.07032e+07    1.83092e+12
          106.5    5.13972e+07    1.83633e+12
            107    5.20974e+07    1.84172e+12
          107.5    5.28025e+07    1.84716e+12
            108    5.35192e+07     1.8524e+12
          108.5    5.42382e+07    1.85776e+12
            109    5.49653e+07    1.86306e+12
          109.5    5.57002e+07     1.8683e+12
            110    5.64416e+07    1.87352e+12
          110.5    5.71904e+07    1.87871e+12
            111    5.79479e+07    1.88381e+12
          111.5    5.87077e+07    1.88904e+12
            112    5.94771e+07    1.89416e+12
          112.5    6.02552e+07     1.8992e+12
            113    6.10377e+07     1.9043e+12
          113.5     6.1831e+07    1.90927e+12
            114    6.26291e+07    1.91429e+12
          114.5    6.34333e+07    1.91931e+12
            115    6.42469e+07    1.92425e+12
          115.5    6.50685e+07    1.92914e+12
            116    6.58951e+07    1.93408e+12
          116.5    6.67327e+07     1.9389e+12
            117    6.75756e+07    1.94375e+12
          117.5    6.84258e+07    1.94858e+12
            118    6.92857e+07    1.95333e+12
          118.5    7.01508e+07    1.95812e+12
            119    7.10244e+07    1.96286e+12
          119.5    7.19062e+07    1.96757e+12
            120    7.27944e+07    1.97228e+12
          120.5    7.36914e+07    1.97695e+12
            121    7.45984e+07    1.98154e+12
          121.5    7.55094e+07     1.9862e+12
            122    7.64309e+07    1.99078e+12
          122.5    7.73597e+07    1.99534e+12
            123    7.82951e+07    1.99992e+12
          123.5     7.9242e+07    2.00439e+12
            124    8.01954e+07    2.00888e+12
          124.5    8.11557e+07    2.01337e+12
            125    8.21262e+07    2.01779e+12
