pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      8.68025  3.98396e-14  3.93765e-17
      8.56017 -5.43439e-14 -5.30222e-17
      8.44008 -3.13706e-14 -3.02134e-17
         8.32 -4.67143e-14 -4.44106e-17
      8.19992  3.72037e-14   3.4912e-17
      8.07984  8.32714e-14  7.71317e-17
      7.95975  3.86962e-14  3.53796e-17
      7.83967  1.19532e-13  1.07874e-16
      7.71959    4.381e-14  3.90267e-17
      7.59951  2.40916e-14  2.11844e-17
      7.47942  4.29821e-14  3.73086e-17
      7.35934 -3.48311e-14  -2.9845e-17
      7.23926 -1.87973e-13 -1.59002e-16
      7.11918   3.7524e-13  3.13356e-16
      6.99909 -1.39859e-13  -1.1531e-16
      6.87901 -3.91767e-13 -3.18915e-16
      6.75893  9.42873e-13  7.57872e-16
      6.63885 -8.38714e-13 -6.65682e-16
      6.51876 -2.18632e-13 -1.71349e-16
      6.39868 -2.11883e-13 -1.63975e-16
       6.2786  5.44097e-13  4.15768e-16
      6.15852  -1.2668e-13 -9.55755e-17
      6.03843 -6.97203e-13 -5.19305e-16
      5.91835 -1.95272e-12 -1.43573e-15
      5.79827 -7.95185e-15 -5.77041e-18
      5.67819  1.82008e-13  1.30334e-16
       5.5581 -1.61251e-13 -1.13923e-16
      5.43802  6.00531e-14  4.18502e-17
      5.31794   3.0602e-12  2.10314e-15
      5.19786  7.73311e-13  5.24005e-16
      5.07777 -1.39883e-12 -9.34377e-16
      4.95769 -5.03866e-12 -3.31717e-15
      4.83761  6.37186e-12  4.13367e-15
      4.71753  5.41789e-12  3.46289e-15
      4.59744  1.00889e-12  6.35222e-16
      4.47736  -3.9981e-12 -2.47952e-15
      4.35728 -9.09861e-13 -5.55788e-16
       4.2372 -1.14439e-12 -6.88563e-16
      4.11711   1.2088e-11  7.16473e-15
      3.99703    2.449e-11  1.43018e-14
      3.87695  1.86442e-11  1.07309e-14
      3.75687  4.09978e-11   2.3268e-14
      3.63678  1.50373e-10  8.42151e-14
       3.5167  4.32298e-10  2.39147e-13
      3.39662  1.34507e-09  7.35927e-13
      3.27654  3.96567e-09  2.14914e-12
      3.15645  1.13153e-08  6.08409e-12
      3.03637  3.12263e-08   1.6689e-11
      2.91629  8.38006e-08  4.46089e-11
      2.79621  2.18638e-07  1.16186e-10
      2.67612  5.56135e-07  2.95779e-10
      2.55604  1.37977e-06   7.3655e-10
      2.43596  3.34155e-06  1.79625e-09
      2.31588  7.91708e-06  4.30153e-09
      2.19579  1.83957e-05  1.01454e-08
      2.07571  4.20523e-05  2.36585e-08
      1.95563  9.49072e-05  5.47825e-08
      1.83555  0.000212059  1.26439e-07
      1.71546  0.000470114  2.91866e-07
      1.59538    0.0010351  6.75555e-07
       1.4753   0.00226432  1.57146e-06
      1.35522   0.00492058   3.6826e-06
      1.23513    0.0106141  8.71585e-06
      1.11505    0.0226683   2.0872e-05
     0.994969    0.0477562  5.06966e-05
     0.874887    0.0985883  0.000125146
     0.754804     0.197287  0.000314582
     0.634722     0.375182  0.000805305
     0.514639     0.651532   0.00208514
     0.394557     0.955388    0.0053648
     0.274474            1    0.0131917
     0.154392     0.492095    0.0293657
    0.0343093    0.0115033    0.0576684
   -0.0857732            0     0.104803
    -0.205856            0     0.181302
    -0.325938            0     0.295617
    -0.446021            0     0.449239
    -0.566103            0     0.629327
    -0.686186            0     0.805454
    -0.806268            0     0.939017
    -0.926351            0            1
     -1.04643            0     0.980382
     -1.16652            0     0.894359
      -1.2866            0     0.767695
     -1.40668            0     0.626258
     -1.52676            0     0.489572
     -1.64685            0     0.368823
     -1.76693            0      0.26885
     -1.88701            0     0.190124
     -2.00709            0     0.130609
     -2.12718            0    0.0872054
     -2.24726            0    0.0565525
     -2.36734            0    0.0355727
     -2.48742            0    0.0216557
     -2.60751            0    0.0127195
     -2.72759            0   0.00717768
     -2.84767            0   0.00386889
     -2.96775            0   0.00197674
     -3.08784            0  0.000947278
     -3.20792            0  0.000419424
       -3.328            0  0.000167775
     -3.44808            0  5.84879e-05
     -3.56817            0  1.66279e-05
     -3.68825            0  3.37052e-06
     -3.80833            0  2.83051e-07

pressure[atm]        = 2
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.38501e-09
      11.8024  1.07282e-08
      11.6823  1.37209e-08
      11.5622  1.75416e-08
      11.4421  2.24172e-08
      11.3221  2.86364e-08
       11.202  3.65661e-08
      11.0819  4.66723e-08
      10.9618  5.95465e-08
      10.8417  7.59394e-08
      10.7217  9.68032e-08
      10.6016  1.23345e-07
      10.4815  1.57093e-07
      10.3614  1.99983e-07
      10.2413  2.54466e-07
      10.1212   3.2364e-07
      10.0012  4.11421e-07
      9.88107  5.22759e-07
      9.76099  6.63899e-07
      9.64091  8.42725e-07
      9.52083  1.06917e-06
      9.40074  1.35576e-06
      9.28066  1.71826e-06
      9.16058  2.17649e-06
       9.0405   2.7554e-06
      8.92041  3.48631e-06
      8.80033  4.40852e-06
      8.68025  5.57132e-06
      8.56017  7.03647e-06
      8.44008   8.8813e-06
         8.32  1.12025e-05
      8.19992   1.4121e-05
      8.07984  1.77877e-05
      7.95975  2.23909e-05
      7.83967  2.81653e-05
      7.71959  3.54029e-05
      7.59951  4.44671e-05
      7.47942  5.58094e-05
      7.35934    6.999e-05
      7.23926  8.77034e-05
      7.11918   0.00010981
      6.99909  0.000137373
      6.87901  0.000171706
      6.75893  0.000214434
      6.63885  0.000267554
      6.51876   0.00033353
      6.39868  0.000415391
       6.2786  0.000516856
      6.15852  0.000642488
      6.03843  0.000797875
      5.91835   0.00098985
      5.79827   0.00122676
      5.67819   0.00151877
       5.5581   0.00187828
      5.43802    0.0023203
      5.31794   0.00286308
      5.19786   0.00352864
      5.07777   0.00434359
      4.95769   0.00533994
      4.83761   0.00655615
      4.71753   0.00803826
      4.59744   0.00984123
      4.47736    0.0120304
      4.35728    0.0146833
       4.2372    0.0178912
      4.11711    0.0217618
      3.99703    0.0264207
      3.87695    0.0320144
      3.75687    0.0387116
      3.63678    0.0467059
       3.5167    0.0562175
      3.39662    0.0674949
