========================================
absch2o+h_P1_SymmetryFactor_1_0.1.out
--
T,P1->P2
380.0,2.18755e-13
390.0,2.43739e-13
400.0,2.7065e-13
410.0,3.00194e-13
420.0,3.31874e-13
430.0,3.65329e-13
440.0,4.0169e-13
450.0,4.40729e-13
460.0,4.82586e-13
470.0,5.27087e-13
480.0,5.7433e-13
490.0,6.24688e-13
500.0,6.78285e-13
510.0,7.34978e-13
520.0,7.94617e-13
530.0,8.57557e-13
540.0,9.24087e-13
550.0,9.94383e-13
560.0,1.06769e-12
570.0,1.14493e-12
580.0,1.22582e-12
590.0,1.31078e-12
600.0,1.3991e-12
610.0,1.49166e-12
620.0,1.58816e-12
630.0,1.689e-12
640.0,1.79356e-12
650.0,1.9026e-12
660.0,2.01587e-12
670.0,2.13342e-12
680.0,2.25587e-12
690.0,2.38193e-12
700.0,2.51311e-12
800.0,4.08244e-12
900.0,6.1567e-12
1000.0,8.77185e-12
1100.0,1.19518e-11
1200.0,1.57143e-11
1300.0,2.00686e-11
1400.0,2.50194e-11
1500.0,3.05656e-11
1600.0,3.67056e-11
1700.0,4.34321e-11
1800.0,5.0741e-11
1900.0,5.86196e-11
2000.0,6.7063e-11
2100.0,7.60587e-11
2200.0,8.56001e-11
2300.0,9.56722e-11
2400.0,1.0627e-10
2500.0,1.17376e-10
2600.0,1.28987e-10
2700.0,1.41094e-10
2800.0,1.53677e-10
2900.0,1.66735e-10
3000.0,1.80261e-10
========================================
absch2o+h_P2_Frequencies_1_0.1.out
--
T,P1->P2
200.0,2.13867e-14
210.0,2.50204e-14
220.0,2.87393e-14
230.0,3.33463e-14
240.0,3.86161e-14
250.0,4.4705e-14
260.0,5.16154e-14
270.0,5.95015e-14
280.0,6.85166e-14
290.0,7.86405e-14
300.0,9.00258e-14
310.0,1.02822e-13
320.0,1.1717e-13
330.0,1.33262e-13
340.0,1.5103e-13
350.0,1.70546e-13
360.0,1.92061e-13
370.0,2.15924e-13
380.0,2.4182e-13
390.0,2.70366e-13
400.0,3.01253e-13
410.0,3.35292e-13
420.0,3.71959e-13
430.0,4.10873e-13
440.0,4.53333e-13
450.0,4.99117e-13
460.0,5.48416e-13
470.0,6.01067e-13
480.0,6.57214e-13
490.0,7.17318e-13
500.0,7.81561e-13
510.0,8.49817e-13
520.0,9.21947e-13
530.0,9.98401e-13
540.0,1.07956e-12
550.0,1.16566e-12
560.0,1.25588e-12
570.0,1.35132e-12
580.0,1.4517e-12
590.0,1.55757e-12
600.0,1.66812e-12
610.0,1.78443e-12
620.0,1.90622e-12
630.0,2.03399e-12
640.0,2.16705e-12
650.0,2.30635e-12
660.0,2.45164e-12
670.0,2.60303e-12
680.0,2.76133e-12
690.0,2.92499e-12
700.0,3.09593e-12
800.0,5.18597e-12
900.0,8.04678e-12
1000.0,1.17696e-11
1100.0,1.64275e-11
1200.0,2.20821e-11
1300.0,2.87793e-11
1400.0,3.65545e-11
1500.0,4.54311e-11
1600.0,5.54272e-11
1700.0,6.65499e-11
1800.0,7.88078e-11
1900.0,9.21931e-11
2000.0,1.06709e-10
2100.0,1.22342e-10
2200.0,1.39091e-10
2300.0,1.56935e-10
2400.0,1.7587e-10
2500.0,1.95871e-10
2600.0,2.16935e-10
2700.0,2.39049e-10
2800.0,2.62177e-10
2900.0,2.86324e-10
3000.0,3.11473e-10
========================================
absch2o+h_P1_Frequencies_1_0.1.out
--
T,P1->P2
200.0,2.13907e-14
210.0,2.50273e-14
220.0,2.87506e-14
230.0,3.33646e-14
240.0,3.86447e-14
250.0,4.47486e-14
260.0,5.16803e-14
270.0,5.9596e-14
280.0,6.86519e-14
290.0,7.88304e-14
300.0,9.02882e-14
310.0,1.03179e-13
320.0,1.1765e-13
330.0,1.33898e-13
340.0,1.51863e-13
350.0,1.71624e-13
360.0,1.93441e-13
370.0,2.17675e-13
380.0,2.4402e-13
390.0,2.73108e-13
400.0,3.0464e-13
410.0,3.39449e-13
420.0,3.77021e-13
430.0,4.16983e-13
440.0,4.6067e-13
450.0,5.07874e-13
460.0,5.5881e-13
470.0,6.13332e-13
480.0,6.71608e-13
490.0,7.34131e-13
500.0,8.0111e-13
510.0,8.72444e-13
520.0,9.48015e-13
530.0,1.02831e-12
540.0,1.11375e-12
550.0,1.20462e-12
560.0,1.30007e-12
570.0,1.40131e-12
580.0,1.50805e-12
590.0,1.62091e-12
600.0,1.73909e-12
