========================================
c2h6rad_B1_Frequencies_1_0.01.out
0.001 atm
T,P1->P2
640.0,1.28823e-24
650.0,1.78698e-24
660.0,2.46176e-24
670.0,3.36812e-24
680.0,4.577e-24
690.0,6.17833e-24
700.0,8.28533e-24
800.0,1.12221e-22
900.0,9.28717e-22
1000.0,5.32052e-21
1100.0,2.30867e-20
1200.0,8.08615e-20
1300.0,2.3929e-19
1400.0,6.18626e-19
1500.0,1.43257e-18
1600.0,3.02885e-18
1700.0,5.93396e-18
1800.0,1.08993e-17
1900.0,1.89452e-17
2000.0,3.1401e-17
2100.0,4.99384e-17
2200.0,7.65968e-17
2300.0,1.138e-16
2400.0,1.64365e-16
2500.0,2.31502e-16
2600.0,3.18804e-16
2700.0,4.30238e-16
2800.0,5.7012e-16
2900.0,7.43092e-16
========================================
c2h6rad_B3_Frequencies_1_0.01.out
0.001 atm
T,P1->P3
290.0,2.64819e-28
300.0,2.81538e-28
310.0,2.99538e-28
320.0,3.19422e-28
330.0,3.41741e-28
340.0,3.67132e-28
350.0,3.96589e-28
360.0,4.31263e-28
370.0,4.72873e-28
380.0,5.23783e-28
390.0,5.87113e-28
400.0,6.67571e-28
410.0,7.71703e-28
420.0,9.09267e-28
430.0,1.09466e-27
440.0,1.34921e-27
450.0,1.70506e-27
460.0,2.21029e-27
470.0,2.93728e-27
480.0,3.99444e-27
490.0,5.54352e-27
500.0,7.82478e-27
510.0,1.11923e-26
520.0,1.61641e-26
530.0,2.34918e-26
540.0,3.42562e-26
550.0,4.99971e-26
560.0,7.28882e-26
570.0,1.05969e-25
580.0,1.53451e-25
590.0,2.21116e-25
600.0,3.16826e-25
610.0,4.51186e-25
620.0,6.38366e-25
630.0,8.97153e-25
640.0,1.25224e-24
650.0,1.73583e-24
660.0,2.3896e-24
670.0,3.26711e-24
680.0,4.43663e-24
690.0,5.98468e-24
700.0,8.0201e-24
800.0,1.079e-22
900.0,8.87323e-22
1000.0,5.05347e-21
1100.0,2.1808e-20
1200.0,7.59956e-20
1300.0,2.23834e-19
1400.0,5.76148e-19
1500.0,1.32882e-18
1600.0,2.79894e-18
1700.0,5.46443e-18
1800.0,1.00042e-17
1900.0,1.73368e-17
2000.0,2.8654e-17
2100.0,4.54492e-17
2200.0,6.95384e-17
2300.0,1.03073e-16
2400.0,1.48547e-16
2500.0,2.08792e-16
2600.0,2.86973e-16
2700.0,3.86571e-16
2800.0,5.11368e-16
2900.0,6.65423e-16
========================================
c2h6rad_B2_Frequencies_1_0.01.out
0.001 atm
T,P1->P3
290.0,2.68327e-28
300.0,2.85282e-28
310.0,3.03538e-28
320.0,3.23708e-28
330.0,3.46351e-28
340.0,3.72114e-28
350.0,4.02007e-28
360.0,4.37199e-28
370.0,4.79439e-28
380.0,5.31129e-28
390.0,5.95443e-28
400.0,6.77169e-28
410.0,7.82974e-28
420.0,9.22792e-28
430.0,1.11129e-27
440.0,1.37021e-27
450.0,1.73233e-27
460.0,2.24673e-27
470.0,2.98732e-27
480.0,4.0649e-27
490.0,5.64493e-27
500.0,7.97331e-27
510.0,1.14128e-26
520.0,1.64945e-26
530.0,2.39898e-26
540.0,3.50085e-26
550.0,5.11336e-26
560.0,7.46015e-26
570.0,1.08542e-25
580.0,1.57297e-25
590.0,2.26829e-25
600.0,3.2526e-25
610.0,4.63546e-25
620.0,6.5635e-25
630.0,9.2312e-25
640.0,1.28945e-24
650.0,1.78874e-24
660.0,2.46428e-24
