pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
    -0.926351  0.000627131
     -1.04643  0.000386035
     -1.16652   0.00023419
      -1.2866  0.000139903
     -1.40668   8.2272e-05
     -1.52676  4.75692e-05
     -1.64685  2.70291e-05
     -1.76693  1.50752e-05
     -1.88701  8.23745e-06
     -2.00709  4.40064e-06
     -2.12718  2.28933e-06
     -2.24726  1.15641e-06
     -2.36734  5.64506e-07
     -2.48742  2.64806e-07
     -2.60751  1.18374e-07
     -2.72759  4.97811e-08
     -2.84767  1.94256e-08
     -2.96775  6.84573e-09
     -3.08784  2.08108e-09
     -3.20792  4.87794e-10
       -3.328  5.23076e-11
     -3.44808  -2.2173e-11
     -3.56817 -1.56238e-11
     -3.68825 -4.69821e-12
     -3.80833 -4.99117e-13

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225 -2.53825e-16 -3.95049e-19
      11.8024 -1.30461e-15 -2.00864e-18
      11.6823  1.21434e-15  1.84946e-18
      11.5622 -1.52197e-15 -2.29283e-18
      11.4421  4.13556e-16  6.16224e-19
      11.3221  1.19684e-15  1.76383e-18
       11.202  1.83996e-15  2.68173e-18
      11.0819 -9.66157e-16 -1.39257e-18
      10.9618    4.188e-15  5.96911e-18
      10.8417 -3.45463e-15 -4.86869e-18
      10.7217 -4.32035e-15 -6.02015e-18
      10.6016    8.306e-16  1.14427e-18
      10.4815  1.96406e-15  2.67492e-18
      10.3614  2.29471e-15  3.08937e-18
      10.2413 -2.67076e-15 -3.55411e-18
      10.1212 -4.47119e-17 -5.88077e-20
      10.0012  3.31203e-15   4.3051e-18
      9.88107  9.38677e-15   1.2057e-17
      9.76099  8.81036e-15  1.11817e-17
      9.64091  1.87285e-14  2.34834e-17
      9.52083   1.1021e-14  1.36514e-17
      9.40074  -1.6046e-14 -1.96323e-17
      9.28066 -7.17193e-15 -8.66644e-18
      9.16058  2.54367e-14  3.03542e-17
       9.0405 -2.28271e-15 -2.68978e-18
      8.92041  1.72268e-15  2.00419e-18
      8.80033  -1.7083e-14 -1.96215e-17
      8.68025 -3.20128e-14 -3.62991e-17
      8.56017  2.94405e-14  3.29536e-17
      8.44008  1.55766e-14  1.72108e-17
         8.32  2.94023e-14  3.20677e-17
      8.19992 -4.83308e-14 -5.20312e-17
      8.07984 -7.56166e-14 -8.03536e-17
      7.95975   4.6434e-14  4.87047e-17
      7.83967  4.20624e-14   4.3549e-17
      7.71959 -6.46924e-15 -6.61139e-18
      7.59951 -1.48951e-13  -1.5026e-16
      7.47942 -7.43211e-14 -7.40088e-17
      7.35934 -1.26478e-15 -1.24328e-18
      7.23926  1.03355e-13  1.00297e-16
      7.11918 -4.67573e-14 -4.47949e-17
      6.99909 -3.13422e-13 -2.96453e-16
      6.87901 -1.68709e-13 -1.57556e-16
      6.75893  4.25245e-13  3.92133e-16
      6.63885  5.23651e-13   4.7681e-16
      6.51876 -9.41727e-13  -8.4673e-16
      6.39868 -7.65833e-13 -6.79931e-16
       6.2786 -2.49281e-13 -2.18531e-16
      6.15852 -1.01831e-12  -8.8139e-16
      6.03843 -5.24626e-13 -4.48295e-16
      5.91835  9.55968e-13  8.06358e-16
      5.79827 -4.93143e-13 -4.10547e-16
      5.67819  4.43689e-13    3.645e-16
       5.5581  1.06799e-12  8.65623e-16
      5.43802  1.39804e-12  1.11772e-15
      5.31794  1.05081e-12  8.28505e-16
      5.19786 -1.20532e-12  -9.3699e-16
      5.07777  1.04848e-14  8.03472e-18
      4.95769  1.78937e-12  1.35146e-15
      4.83761 -4.66792e-12 -3.47411e-15
      4.71753 -1.66922e-12 -1.22397e-15
      4.59744   2.7828e-13  2.01009e-16
      4.47736  1.10159e-12  7.83767e-16
      4.35728 -1.54664e-12 -1.08386e-15
       4.2372  4.35067e-12  3.00314e-15
      4.11711  1.15497e-12  7.85356e-16
      3.99703 -6.74133e-12 -4.51647e-15
      3.87695  2.11365e-11  1.39566e-14
      3.75687  6.16377e-11  4.01324e-14
      3.63678  1.64291e-10  1.05557e-13
       3.5167  5.14717e-10  3.26664e-13
      3.39662  1.45577e-09  9.13761e-13
      3.27654  4.37484e-09  2.71995e-12
      3.15645  1.23629e-08  7.62604e-12
      3.03637  3.39044e-08  2.07882e-11
      2.91629  9.02668e-08  5.51256e-11
      2.79621  2.33911e-07  1.42603e-10
      2.67612  5.90755e-07   3.6045e-10
      2.55604  1.45558e-06  8.91416e-10
      2.43596  3.50309e-06  2.16033e-09
      2.31588  8.25546e-06  5.14577e-09
      2.19579  1.90996e-05  1.20845e-08
      2.07571  4.35184e-05   2.8088e-08
      1.95563  9.79802e-05  6.48832e-08
      1.83555  0.000218546  1.49492e-07
      1.71546  0.000483887  3.44647e-07
      1.59538   0.00106441  7.96962e-07
       1.4753    0.0023266  1.85242e-06
      1.35522   0.00505226  4.33785e-06
