*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          590            2  1.16205e+10     0.196043    0.0345653     0.617188
          590            3  1.74308e+10     0.189024    0.0327236     0.603573
          590            4  2.32411e+10     0.184045    0.0314401     0.593538
          600          0.1  5.74013e+08     0.253684    0.0521021     0.716976
          600            1  5.74013e+09     0.212412     0.039705     0.655021
          600            2  1.14803e+10     0.200359     0.036336     0.633533
          600            3  1.72204e+10     0.193317    0.0344223     0.620161
          600            4  2.29605e+10     0.188313    0.0330878     0.610291
          610          0.1  5.67221e+08     0.265077    0.0547859     0.730033
          610            1  5.67221e+09     0.221379    0.0418122     0.669816
          610            2  1.13444e+10     0.208671    0.0382865     0.648827
          610            3  1.70166e+10     0.201256    0.0362836     0.635738
          610            4  2.26888e+10      0.19599    0.0348866     0.626066
          620          0.1  5.60638e+08      0.26961    0.0570968     0.743076
          620            1  5.60638e+09     0.225853    0.0437292     0.684496
          620            2  1.12128e+10     0.213079    0.0400853     0.663986
          620            3  1.68191e+10     0.205613    0.0380129     0.651171
          620            4  2.24255e+10     0.200307    0.0365663     0.641688
          630          0.1  5.54255e+08     0.276199    0.0596843      0.75564
          630            1  5.54255e+09     0.231761    0.0458304     0.698704
          630            2  1.10851e+10     0.218763    0.0420465     0.678682
          630            3  1.66277e+10     0.211161    0.0398929     0.666151
          630            4  2.21702e+10     0.205755    0.0383889     0.656867
          640          0.1  5.48063e+08     0.282131    0.0622604     0.767693
          640            1  5.48063e+09     0.237251    0.0479419      0.71241
          640            2  1.09613e+10     0.224087    0.0440221     0.692888
          640            3  1.64419e+10      0.21638    0.0417893     0.680648
          640            4  2.19225e+10     0.210896    0.0402293      0.67157
          650          0.1  5.42052e+08     0.288005    0.0647532     0.778998
          650            1  5.42052e+09     0.242708    0.0500013     0.725431
          650            2   1.0841e+10     0.229377    0.0459545      0.70644
          650            3  1.62615e+10     0.221563    0.0436479      0.69452
          650            4  2.16821e+10     0.216001     0.042036     0.685672
          660          0.1  5.36214e+08     0.292469    0.0672922     0.790037
          660            1  5.36214e+09     0.247264    0.0521206     0.738119
          660            2  1.07243e+10       0.2339    0.0479471     0.719639
          660            3  1.60864e+10     0.226054    0.0455658     0.708022
          660            4  2.14485e+10     0.220463    0.0439008     0.699392
          670          0.1  5.30541e+08     0.283273    0.0691315     0.801925
          670            1  5.30541e+09       0.2427    0.0539014     0.751441
          670            2  1.06108e+10     0.230461    0.0496749     0.733407
          670            3  1.59162e+10     0.223224    0.0472564     0.722053
          670            4  2.12216e+10     0.218044    0.0455625     0.713611
          680          0.1  5.25026e+08      0.31355    0.0731513     0.809589
          680            1  5.25026e+09     0.264365    0.0568152     0.761078
          680            2  1.05005e+10     0.249898    0.0523191     0.743673
          680            3  1.57508e+10     0.241416    0.0497525     0.732696
          680            4  2.10011e+10     0.235376    0.0479575     0.724528
          690          0.1  5.19663e+08      0.31778    0.0758296     0.819245
          690            1  5.19663e+09     0.268867    0.0590642      0.77233
          690            2  1.03933e+10     0.254407    0.0544372     0.755434
          690            3  1.55899e+10     0.245911     0.051793     0.744761
          690            4  2.07865e+10     0.239854    0.0499426     0.736811
          700          0.1  5.14444e+08     0.322452    0.0783978     0.828218
          700            1  5.14444e+09     0.273524    0.0612424     0.782907
          700            2  1.02889e+10     0.259009    0.0564949     0.766526
          700            3  1.54333e+10     0.250468    0.0537788     0.756162
          700            4  2.05778e+10     0.244374    0.0518767     0.748434
          800          0.1  4.69001e+08     0.385479     0.108325     0.897281
          800            1  4.69001e+09     0.332677    0.0862863     0.866229
          800            2  9.38002e+09     0.316631      0.08009     0.854643
          800            3    1.407e+10     0.307109    0.0765285      0.84723
          800            4    1.876e+10     0.300283    0.0740264     0.841657
          900          0.1  4.32949e+08     0.421852       0.1382     0.939587
          900            1  4.32949e+09     0.372835     0.112636     0.919122
          900            2  8.65898e+09     0.357412     0.105273     0.911301
          900            3  1.29885e+10      0.34821      0.10101     0.906234
          900            4   1.7318e+10     0.341562     0.097996     0.902392
         1000          0.1  4.03466e+08     0.510847     0.176868     0.963207
         1000            1  4.03466e+09     0.451878      0.14489      0.94983
         1000            2  8.06932e+09     0.433474     0.135789     0.944674
         1000            3   1.2104e+10     0.422545     0.130487     0.941279
         1000            4  1.61386e+10       0.4146     0.126725     0.938692
         1100          0.1  3.78774e+08     0.499889     0.200867     0.978265
         1100            1  3.78774e+09     0.455486     0.169027     0.969832
         1100            2  7.57549e+09     0.440654     0.159499     0.966491
         1100            3  1.13632e+10     0.431745     0.153988       0.9643
         1100            4   1.5151e+10     0.425322     0.150066      0.96261
         1200          0.1    3.577e+08     0.557832     0.239244     0.986765
         1200            1    3.577e+09     0.511221     0.202129     0.981214
         1200            2    7.154e+09     0.495176     0.191413     0.979089
         1200            3   1.0731e+10     0.485913     0.185152     0.977649
         1200            4   1.4308e+10     0.479252     0.180641     0.976525
         1300          0.1  3.39436e+08     0.636708     0.286389     0.991725
         1300            1  3.39436e+09     0.583721     0.240825     0.988125
         1300            2  6.78872e+09     0.566013     0.228559     0.986731
         1300            3  1.01831e+10      0.55617     0.221157     0.985755
         1300            4  1.35774e+10     0.548945     0.215762     0.984992
         1400          0.1  3.23409e+08     0.492614     0.268302     0.995184
         1400            1  3.23409e+09     0.470253     0.234566     0.993059
         1400            2  6.46817e+09      0.46236     0.225398     0.992207
         1400            3  9.70226e+09     0.457756     0.219659     0.991601
         1400            4  1.29363e+10     0.454291     0.215415     0.991128
         1500          0.1  3.09198e+08     0.682663     0.346494     0.996674
         1500            1  3.09198e+09     0.609699     0.299683     0.995372
         1500            2  6.18397e+09     0.599671     0.285831     0.994713
         1500            3  9.27595e+09     0.593345     0.277051     0.994266
         1500            4  1.23679e+10     0.588028     0.270721     0.993932
         1600          0.1  2.96489e+08     0.500595      0.29324     0.998041
         1600            1  2.96489e+09     0.447438     0.263826      0.99731
         1600            2  5.92977e+09     0.443386      0.25472      0.99691
         1600            3  8.89466e+09     0.441093     0.248799     0.996636
         1600            4  1.18595e+10     0.439278     0.244488     0.996433
         1700          0.1  2.85036e+08     0.457481     0.288211     0.998826
         1700            1  2.85036e+09     0.402555     0.256655     0.998295
         1700            2  5.70072e+09     0.397236     0.250027     0.998101
         1700            3  8.55108e+09     0.395239     0.245796     0.997945
         1700            4  1.14014e+10      0.39405     0.242506     0.997815
         1800          0.1   2.7465e+08     0.692939     0.432943     0.999082
         1800            1   2.7465e+09     0.658715     0.386903     0.998794
         1800            2  5.49299e+09     0.656612     0.371926      0.99858
         1800            3  8.23949e+09     0.655424     0.361362     0.998425
         1800            4   1.0986e+10     0.654193      0.35337      0.99831
         1900          0.1  2.65177e+08     0.536638     0.368901     0.999445
         1900            1  2.65177e+09     0.526051     0.339767      0.99928
         1900            2  5.30354e+09     0.525528     0.329106     0.999139
         1900            3  7.95531e+09     0.525354     0.321263     0.999035
         1900            4  1.06071e+10     0.525265     0.315224     0.998958
         2000          0.1  2.56495e+08     0.373671     0.269739     0.999673
         2000            1  2.56495e+09     0.370763     0.254914      0.99959
         2000            2   5.1299e+09     0.370371     0.249444     0.999506
         2000            3  7.69484e+09     0.369848     0.245114     0.999439
         2000            4  1.02598e+10     0.368667     0.241587     0.999387
         2100          0.1  2.48501e+08     0.947744     0.542803     0.999792
         2100            1  2.48501e+09     0.818125      0.49112     0.999603
         2100            2  4.97003e+09     0.717795     0.459349     0.999518
         2100            3  7.45504e+09      0.68963     0.442261     0.999483
         2100            4  9.94005e+09     0.676916     0.431803     0.999463
         2200          0.1  2.41112e+08     0.936513     0.513717     0.999876
         2200            1  2.41112e+09      0.67824     0.461542     0.999723
         2200            2  4.82225e+09     0.620147      0.42964     0.999673
         2200            3  7.23337e+09      0.60507     0.414149     0.999657
