========================================
hono_B1_Frequencies_1_0.1.out
0.1 atm
T,R1->P1
680.0,1.53631e-10
690.0,1.54364e-10
700.0,1.54987e-10
800.0,1.61438e-10
900.0,1.67269e-10
1000.0,1.72699e-10
1100.0,1.77697e-10
1200.0,1.8243e-10
1300.0,1.86832e-10
1400.0,1.90947e-10
1500.0,1.94876e-10
1600.0,1.98569e-10
1700.0,2.02073e-10
1800.0,2.05421e-10
1900.0,2.08587e-10
2000.0,2.11613e-10
2100.0,2.14513e-10
2200.0,2.17282e-10
2300.0,2.1994e-10
2400.0,2.22492e-10
2500.0,2.24944e-10
2600.0,2.27292e-10
2700.0,2.2956e-10
2800.0,2.31752e-10
2900.0,2.33857e-10
3000.0,2.35891e-10
========================================
hono_B1_Frequencies_1_0.1.out
21.54 atm
T,R1->P1
200.0,1.01404e-10
210.0,1.03391e-10
220.0,1.0531e-10
230.0,1.0716e-10
240.0,1.08925e-10
250.0,1.10614e-10
260.0,1.12253e-10
270.0,1.1384e-10
280.0,1.15356e-10
290.0,1.16822e-10
300.0,1.18246e-10
310.0,1.19618e-10
320.0,1.20947e-10
330.0,1.22231e-10
340.0,1.23477e-10
350.0,1.24692e-10
360.0,1.25878e-10
370.0,1.27032e-10
380.0,1.28152e-10
390.0,1.29248e-10
400.0,1.30313e-10
410.0,1.31363e-10
420.0,1.32377e-10
430.0,1.33377e-10
440.0,1.34357e-10
450.0,1.35323e-10
460.0,1.36265e-10
470.0,1.37153e-10
480.0,1.38074e-10
490.0,1.38953e-10
500.0,1.39837e-10
510.0,1.40706e-10
520.0,1.41567e-10
530.0,1.4239e-10
540.0,1.43216e-10
550.0,1.44026e-10
560.0,1.44822e-10
570.0,1.45618e-10
580.0,1.46379e-10
590.0,1.47171e-10
600.0,1.47899e-10
610.0,1.4868e-10
620.0,1.49391e-10
630.0,1.5014e-10
640.0,1.50849e-10
650.0,1.51573e-10
660.0,1.52262e-10
670.0,1.52986e-10
680.0,1.53638e-10
690.0,1.54372e-10
700.0,1.54995e-10
800.0,1.61446e-10
900.0,1.67277e-10
1000.0,1.72708e-10
1100.0,1.77706e-10
1200.0,1.82439e-10
1300.0,1.86841e-10
1400.0,1.90956e-10
1500.0,1.94885e-10
1600.0,1.98578e-10
1700.0,2.02082e-10
1800.0,2.05429e-10
1900.0,2.08595e-10
2000.0,2.11622e-10
2100.0,2.14521e-10
2200.0,2.17289e-10
2300.0,2.19948e-10
2400.0,2.22499e-10
2500.0,2.24951e-10
2600.0,2.27299e-10
2700.0,2.29566e-10
2800.0,2.31758e-10
2900.0,2.33863e-10
3000.0,2.35897e-10
========================================
hono_B1_Frequencies_1_0.1.out
46.41 atm
T,R1->P1
200.0,1.014e-10
210.0,1.0339e-10
220.0,1.05308e-10
230.0,1.07158e-10
240.0,1.08923e-10
250.0,1.10613e-10
260.0,1.12252e-10
270.0,1.13839e-10
280.0,1.15355e-10
