Pressure (atm),Temperature (K),W1_Energy_1_R->P2,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_P1->P2,W1_Energy_1_W2->P1,W1_Energy_1_P2->P3
1.0,470.0,3.2221550241083416e-06,1.0167557169458182e-06,5.998281764618042e-06,3.7569933348017084e-05,0.000755972340792483,9.729442193987979e-06
1.0,480.0,2.3970871798185905e-06,6.328868731574426e-07,2.479365063624112e-06,2.0777003516284507e-05,0.0017364273512263302,6.227537347418394e-06
1.0,490.0,1.4995535349708404e-06,1.9368928342400794e-07,-1.4208224674164788e-06,1.5563882661372384e-06,0.00238868242713765,2.3812124077384276e-06
1.0,500.0,6.49226366263567e-07,-2.4276966999050774e-07,-5.146160171437792e-06,-1.742766238863996e-05,0.0026794071330082927,-1.2885400526062273e-06
1.0,510.0,-6.0307469828195e-08,-6.282805046362392e-07,-8.254883544818125e-06,-3.3992319552049504e-05,0.0026268452990402223,-4.376062229934102e-06
1.0,520.0,-5.676706501580748e-07,-9.279492714063031e-07,-1.044725582316678e-05,-4.658447020937837e-05,0.0022852065123230066,-6.612565418021429e-06
1.0,530.0,-8.442103509435263e-07,-1.121166903636603e-06,-1.1569162418037717e-05,-5.43158750400955e-05,0.0017296026785187937,-7.865932237077906e-06
1.0,540.0,-8.906312327093527e-07,-1.2007784213269704e-06,-1.1598879851548725e-05,-5.691742575066964e-05,0.0010431131851863264,-8.12578551552796e-06
1.0,550.0,-7.313281337022954e-07,-1.1711051601334716e-06,-1.0623699400522338e-05,-5.4642693350530455e-05,0.0003068225775957627,-7.48007102335497e-06
1.0,560.0,-4.077307289027723e-07,-1.0453760481949206e-06,-8.811868888325272e-06,-4.814606707343187e-05,-0.0004071624981345434,-6.088119124823861e-06
1.0,570.0,2.8388757270682728e-08,-8.429908167854194e-07,-6.38395204890381e-06,-3.835472046932044e-05,-0.0010398866007191793,-4.153835467726389e-06
1.0,580.0,5.209980112464362e-07,-5.869110349120563e-07,-3.58637992537735e-06,-2.634779316436142e-05,-0.0015475249823272037,-1.901437874974449e-06
1.0,590.0,1.0148961118606225e-06,-3.013723010032567e-07,-6.688607632194336e-07,-1.3251091083240504e-05,-0.0019015755562000309,4.4490708795100677e-07
1.0,600.0,1.4596607309161562e-06,-1.0007474061764617e-08,2.1335659118392647e-06,-1.5154047058796697e-07,-0.0020878309223810072,2.6769548465360154e-06
1.0,610.0,1.8124296776329307e-06,2.655794820049307e-07,4.613684723234486e-06,1.1967331363665278e-05,-0.002104562453444721,4.6137308242404705e-06
1.0,620.0,2.039608185289825e-06,5.06805925634235e-07,6.600747201150413e-06,2.2269706968476527e-05,-0.0019602760605198274,6.108719094944967e-06
1.0,630.0,2.117646674196778e-06,6.987146436864935e-07,7.965145201786247e-06,3.0093721903740983e-05,-0.0016713676718225865,7.053440864721123e-06
1.0,640.0,2.0330599591539755e-06,8.302430358474748e-07,8.61978089711739e-06,3.4962369186945224e-05,-0.0012597659286362275,7.378086666374462e-06
1.0,650.0,1.7818670266670292e-06,8.942251997593159e-07,8.518838930806182e-06,3.658213060262957e-05,-0.0007508523292356038,7.049863067078882e-06
1.0,660.0,1.3686155285956127e-06,8.871901099850409e-07,7.654636079991242e-06,3.4832318846043157e-05,-0.00017159644053452058,6.069698069140465e-06
1.0,670.0,8.051417142585437e-07,8.09013909027385e-07,6.053158722082488e-06,2.9747838693876553e-05,0.00045097183687753617,4.467856405003447e-06
1.0,680.0,1.0918708986042e-07,6.624778710128814e-07,3.768813128515831e-06,2.14977570138612e-05,0.001090985552277542,2.2989423195194e-06
1.0,690.0,-6.970225865842314e-07,4.527770795068879e-07,8.788222053422215e-07,1.0361680729405988e-05,0.0017246456525413336,-3.633227570652997e-07
1.0,700.0,-1.5881652201996661e-06,1.8701022996296668e-07,-2.5224006119217764e-06,-3.294464153379318e-06,0.002330868162799973,-3.4312609615674645e-06
1.0,800.0,-9.534916405456074e-06,-3.507591421109038e-06,-4.0840817387651605e-05,-0.00017762419168538732,0.004484866244420821,-3.538151462842513e-05
1.0,900.0,-6.36475180692686e-06,-4.367981591267979e-06,-3.829114241598886e-05,-0.00019579082219305718,0.0005145482441503201,-2.9837587730873093e-05
1.0,1000.0,3.970940264450628e-06,-1.7565846189712706e-06,3.360586230293763e-06,-3.957030265003727e-05,-0.0031127525249887763,6.564708189791476e-06
1.0,1100.0,1.075968138545012e-05,1.1303327242684975e-06,4.262181208994978e-05,0.00012147030657238025,-0.0034064570055247897,3.635465302364265e-05
1.0,1200.0,9.183874253884542e-06,2.041387486985579e-06,5.2455244941591524e-05,0.00016680144790659878,-0.0013514939107062184,3.848955604825595e-05
1.0,1300.0,1.0425505408519344e-06,7.316134340743553e-07,3.085145507001805e-05,8.040723074736888e-05,0.0010852008651292446,1.4776277665269404e-05
1.0,1400.0,-8.970742901908206e-06,-1.8678561107065428e-06,-9.47078070223508e-06,-8.827240860182957e-05,0.0025975130826165703,-2.1135797868309307e-05
1.0,1500.0,-1.646937989910409e-05,-4.625327090346465e-06,-5.266826083443256e-05,-0.00027310976155991604,0.0028059697668843765,-5.4556355556543285e-05
1.0,1600.0,-1.8911343664645175e-05,-6.771572576672924e-06,-8.65922931971566e-05,-0.000421292804688631,0.0019592453083779704,-7.55400015757224e-05
1.0,1700.0,-1.586810359647543e-05,-8.07542650145471e-06,-0.00010514899403331501,-0.0005045558683868089,0.0005686232887948216,-8.046121542324074e-05
1.0,1800.0,-8.645137432451213e-06,-8.793933724747049e-06,-0.00010801853653889355,-0.0005188805933272673,-0.0008500081604636928,-7.126601594086682e-05
1.0,1900.0,3.046629197038467e-07,-9.531933153205995e-06,-9.92512124538665e-05,-0.00047906060865274437,-0.001909951886625902,-5.3848506113848093e-05
1.0,2000.0,7.941105483550533e-06,-1.1090045412095302e-05,-8.564322584405604e-05,-0.00041204957254059783,-0.0023972817900471473,-3.6365390550748685e-05
1.0,2100.0,1.1077622293392322e-05,-1.4336951223851849e-05,-7.531777483690824e-05,-0.00035100168679273025,-0.002262284115799715,-2.7842776548424822e-05
1.0,2200.0,6.686383919064078e-06,-2.0116554057649276e-05,-7.665286547631728e-05,-0.0003306855347609975,-0.0015870490293457236,-3.7169584458676486e-05
