========================================
me_B1_Frequencies_1_0.1.out
1 atm
T,P1->P2
410.0,3.3495e-13
420.0,3.71427e-13
430.0,4.10861e-13
440.0,4.53389e-13
450.0,4.99152e-13
460.0,5.48289e-13
470.0,6.0094e-13
480.0,6.57243e-13
490.0,7.1734e-13
500.0,7.81367e-13
510.0,8.49466e-13
520.0,9.21772e-13
530.0,9.98425e-13
540.0,1.07956e-12
550.0,1.16532e-12
560.0,1.25582e-12
570.0,1.35122e-12
580.0,1.45164e-12
590.0,1.55721e-12
600.0,1.66807e-12
610.0,1.78435e-12
620.0,1.90616e-12
630.0,2.03365e-12
640.0,2.16694e-12
650.0,2.30615e-12
660.0,2.45141e-12
670.0,2.60283e-12
680.0,2.76054e-12
690.0,2.92466e-12
700.0,3.09531e-12
800.0,5.18543e-12
900.0,8.0457e-12
1000.0,1.17671e-11
1100.0,1.64244e-11
1200.0,2.20776e-11
1300.0,2.87729e-11
1400.0,3.65452e-11
1500.0,4.54191e-11
1600.0,5.54111e-11
1700.0,6.65306e-11
1800.0,7.87815e-11
1900.0,9.2163e-11
2000.0,1.06671e-10
2100.0,1.22297e-10
2200.0,1.39034e-10
2300.0,1.56868e-10
2400.0,1.75787e-10
2500.0,1.95778e-10
2600.0,2.16827e-10
2700.0,2.38918e-10
2800.0,2.62036e-10
2900.0,2.86167e-10
3000.0,3.11294e-10
========================================
me_B2_Energy_1_34.9759.out
1 atm
T,P1->P2
200.0,1.66246e-14
210.0,1.95149e-14
220.0,2.28817e-14
230.0,2.67915e-14
240.0,3.13172e-14
250.0,3.65366e-14
260.0,4.25333e-14
270.0,4.93961e-14
280.0,5.72188e-14
290.0,6.60998e-14
300.0,7.61421e-14
310.0,8.74528e-14
320.0,1.00143e-13
330.0,1.14327e-13
340.0,1.30123e-13
350.0,1.47651e-13
360.0,1.67035e-13
370.0,1.884e-13
380.0,2.11875e-13
390.0,2.37589e-13
400.0,2.65674e-13
410.0,2.96262e-13
420.0,3.29487e-13
430.0,3.65485e-13
440.0,4.04391e-13
450.0,4.46341e-13
460.0,4.91473e-13
470.0,5.39923e-13
480.0,5.91828e-13
490.0,6.47327e-13
500.0,7.06555e-13
510.0,7.69651e-13
520.0,8.3675e-13
530.0,9.07989e-13
540.0,9.83503e-13
550.0,1.06343e-12
560.0,1.1479e-12
570.0,1.23704e-12
580.0,1.331e-12
590.0,1.4299e-12
600.0,1.53388e-12
610.0,1.64305e-12
620.0,1.75756e-12
630.0,1.87753e-12
640.0,2.00308e-12
650.0,2.13435e-12
660.0,2.27145e-12
670.0,2.4145e-12
680.0,2.56363e-12
690.0,2.71896e-12
700.0,2.8806e-12
800.0,4.8693e-12
900.0,7.60819e-12
1000.0,1.11896e-11
1100.0,1.569e-11
1200.0,2.11709e-11
1300.0,2.76805e-11
1400.0,3.5255e-11
1500.0,4.39208e-11
1600.0,5.36957e-11
1700.0,6.45903e-11
1800.0,7.66098e-11
1900.0,8.97545e-11
2000.0,1.04021e-10
2100.0,1.19402e-10
2200.0,1.3589e-10
2300.0,1.53474e-10
2400.0,1.72141e-10
2500.0,1.91878e-10
2600.0,2.12672e-10
2700.0,2.34508e-10
2800.0,2.57371e-10
2900.0,2.81246e-10
3000.0,3.06118e-10
========================================
me_W1_Energy_1_34.9759.out
1 atm
T,P1->P2
200.0,2.13808e-14
210.0,2.47992e-14
220.0,2.87625e-14
230.0,3.3344e-14
240.0,3.86228e-14
250.0,4.46835e-14
260.0,5.16162e-14
270.0,5.95164e-14
280.0,6.84843e-14
290.0,7.86251e-14
300.0,9.0048e-14
310.0,1.02866e-13
320.0,1.17197e-13
330.0,1.3316e-13
340.0,1.5088e-13
350.0,1.70482e-13
360.0,1.92094e-13
370.0,2.15848e-13
380.0,2.41876e-13
390.0,2.70311e-13
400.0,3.0129e-13
410.0,3.3495e-13
420.0,3.71427e-13
430.0,4.10861e-13
440.0,4.53389e-13
450.0,4.99152e-13
460.0,5.48289e-13
470.0,6.0094e-13
480.0,6.57244e-13
490.0,7.1734e-13
500.0,7.81368e-13
510.0,8.49466e-13
520.0,9.21773e-13
530.0,9.98425e-13
540.0,1.07956e-12
550.0,1.16532e-12
