Pressure (atm),Temperature (K),W2_Frequencies_1_W2->P1,W2_Frequencies_1_W2->P2,W2_Energy_1_W2->P1,W2_Energy_1_W2->P2,W1_Frequencies_1_W2->P1,W1_Frequencies_1_W2->P2,B1_Energy_1_W2->P1,B1_Energy_1_W2->P2,B3_Frequencies_1_W2->P1,B3_Frequencies_1_W2->P2,B2_Frequencies_1_W2->P1,B2_Frequencies_1_W2->P2,B1_SymmetryFactor_1_W2->P1,B1_SymmetryFactor_1_W2->P2,P2_SymmetryFactor_1_W2->P1,P2_SymmetryFactor_1_W2->P2,W3_SymmetryFactor_1_W2->P1,W3_SymmetryFactor_1_W2->P2,B2_ImaginaryFrequency_1_W2->P1,B2_ImaginaryFrequency_1_W2->P2,B3_SymmetryFactor_1_W2->P1,B3_SymmetryFactor_1_W2->P2,W3_Energy_1_W2->P1,W3_Energy_1_W2->P2,P1_Frequencies_1_W2->P1,P1_Frequencies_1_W2->P2,B2_SymmetryFactor_1_W2->P1,B2_SymmetryFactor_1_W2->P2,P2_Frequencies_1_W2->P1,P2_Frequencies_1_W2->P2,B1_Frequencies_1_W2->P1,B1_Frequencies_1_W2->P2,W1_SymmetryFactor_1_W2->P1,W1_SymmetryFactor_1_W2->P2,P2_Energy_1_W2->P1,P2_Energy_1_W2->P2,B3_ImaginaryFrequency_1_W2->P1,B3_ImaginaryFrequency_1_W2->P2,W3_Frequencies_1_W2->P1,W3_Frequencies_1_W2->P2,P1_SymmetryFactor_1_W2->P1,P1_SymmetryFactor_1_W2->P2,W1_Energy_1_W2->P1,W1_Energy_1_W2->P2,B3_Energy_1_W2->P1,B3_Energy_1_W2->P2,B2_Energy_1_W2->P1,B2_Energy_1_W2->P2,W2_SymmetryFactor_1_W2->P1,W2_SymmetryFactor_1_W2->P2,P1_Energy_1_W2->P1,P1_Energy_1_W2->P2
1.0,300.0,-7.045645063987441,1.1357850929631557,1.1530894782211965,1.5394107199255986,-3.2453230267577093,-0.14013859488379002,21.719467751100453,-0.14266997506479723,1.4823112681758073,-0.5584692498740824,0.687284605992,-0.27559915348931563,-0.3944654701673084,0.09616048686387203,0.0,0.0,0.012450886154327883,0.0945042971163026,5.426578849366847,-0.25686731989448464,1.5751515195373014,-0.14267404920020366,-0.020606565068061748,1.0930940279029104,0.0,0.0,0.5234518044140073,-0.018092337929290034,0.0,0.0,-3.129098101879128e-05,-0.10332893572439686,0.4055281664556419,0.22926791410792527,0.0,0.0,-5.131417990577752,8.522081815619016,0.4187575713334613,-2.128666659989189,0.0,0.0,6.73998701546962,-0.5434897060980677,1.3389737279886267,0.5401156849670122,-1.7284081025158853,0.7646255009617564,-2.6794599661077596,0.6723629745977129,0.0,0.0
1.0,310.0,-4.816547236255446,-0.4646799046589792,1.1648331666952236,1.536918482880131,-2.2395274781346575,-0.11374062139427753,17.454720446939493,-0.12651310784335087,1.266143009325594,-0.611647904097301,-0.9200239234438486,-0.19693382422548494,-0.3545947924039716,0.09932365226718967,0.0,0.0,-0.017675720170385642,0.13446389908749007,2.8575297816977105,-0.20154149738555716,1.3859047956813304,-0.5860063188422232,-0.016561254875754893,0.7050148402539225,0.0,0.0,0.30061692410778396,-0.006630050987169562,0.0,0.0,-3.347355373464093e-05,-0.06019671028023425,0.3650961799942872,0.11830154168348052,0.0,0.0,-3.729996158283584,8.571660795065947,-1.095719783606487,-2.0572854484988214,0.0,0.0,5.473016948680119,-0.2206439690015968,2.4617123913411794,-0.9655622681667071,-2.6584383499610778,-0.8310695692701895,-2.0573521607206917,0.8505818860595488,0.0,0.0
1.0,320.0,-3.3136826524837852,-1.8500409368921846,1.1629502444621453,1.5401208638132344,-1.3437623372467034,-0.08109119057743466,13.487101948586055,-0.08534287244608259,1.0843761270383383,-0.6591439410696167,-2.251313602551319,-0.11102212820401527,-0.3239175538315884,0.09618536247542708,0.0,0.0,-0.04306317289024261,0.16221316174442732,0.5194354037669245,-0.1423817424700411,1.226362255981925,-1.0199846523125804,-0.01324705335269175,0.32264309988863543,0.0,0.0,0.11637818294832822,0.006479361132761349,0.0,0.0,-2.575465548118042e-05,-0.01713541834273825,0.3339483991342335,0.007115348240546725,0.0,0.0,-2.619958462107688,8.64718218991259,-2.3548168014238313,-1.9763702871590922,0.0,0.0,4.15624032464326,0.07639333372891915,3.485986879428658,-2.346987862209399,-3.7082623800795793,-2.2272595051777295,-1.5450839340635123,1.018745802320216,0.0,0.0
1.0,330.0,-2.7132847214814753,-2.9559584568686414,1.1484333482292874,1.542442644445917,-0.5634375611859241,-0.04794254190453204,9.679141262201446,-0.03369391024636501,0.9396640311552112,-0.6972978779429871,-3.2527412391354233,-0.028934656629940027,-0.30264330977351367,0.08844942740164041,0.0,0.0,-0.06261124775981572,0.17741886954198208,-1.4562919387976294,-0.08758565648781859,1.0975516961110103,-1.401185824421664,-0.01080887356113128,-0.015736429092263988,0.0,0.0,-0.025599054236778503,0.019096398111651,0.0,0.0,-1.1487210683989992e-05,0.02160650247250332,0.31235746565404104,-0.0925697577181795,0.0,0.0,-1.7428016705879077,8.745306936274293,-3.306108655941158,-1.8971338059788865,0.0,0.0,2.9752955729684456,0.3282223156522147,4.407565004760304,-3.5127890375840716,-4.724867973750669,-3.3483615201553913,-1.1461471497954525,1.1623519516224645,0.0,0.0
1.0,340.0,-3.0635419309971352,-3.7599088674408003,1.1228136347900908,1.5397931395359923,0.10259982723836907,-0.01795496777286878,5.955350852606383,0.018607413743095224,0.8315945030638946,-0.7244194229509496,-3.9137695084720163,0.0425692233701935,-0.29033476916646445,0.07752552418154555,0.0,0.0,-0.0760355200867812,0.18076793259173154,-3.0051853990559634,-0.04200825379223073,0.9985584436179924,-1.705659203816465,-0.009273113528984253,-0.28884189085613554,0.0,0.0,-0.12549970180365275,0.02991053876274279,0.0,0.0,6.585246092980322e-06,0.05361823662605994,0.29991119836850333,-0.1740973008304943,0.0,0.0,-1.0576647323990058,8.86188387513123,-3.9386499522127885,-1.826587246607488,0.0,0.0,2.0320362084952035,0.5253992855889765,5.215035155374642,-4.418529696770797,-5.616695416701652,-4.164675513570923,-0.8566262634648593,1.2738249092371716,0.0,0.0
1.0,350.0,-4.327938751222259,-4.2673748621712235,1.0878754870454277,1.529998179557117,0.6597070355232292,0.006820032330962796,2.2836235063912964,0.06550239926032618,0.7578062466956655,-0.7402141486367168,-4.2519644702589625,0.09997892743782946,-0.286163686939871,0.06457047230617635,0.0,0.0,-0.08358685516056727,0.17362713003968275,-4.109878894722303,-0.007995729744409071,0.927257934701613,-1.923730663734522,-0.008589543601890253,-0.4878565020263242,0.0,0.0,-0.18597087972395884,0.038249061766313805,0.0,0.0,2.6300264835688734e-05,0.07783826893023192,0.29578111630547194,-0.23454459023977925,0.0,0.0,-0.5365464364038353,8.99257092220853,-4.268443528564057,-1.7685596067013292,0.0,0.0,1.3706381749113798,0.6654837031695061,5.894535473776588,-5.052840418830447,-6.336530174803009,-4.677691481122363,-0.6680333414352485,1.350600705237034,0.0,0.0
1.0,360.0,-6.418070523261005,-4.5013441649701855,1.0454627454238767,1.5122674276749355,1.115739952865346,0.02549341732495587,-1.3396298470191248,0.10374633626507118,0.7148138353274375,-0.7453083652814797,-4.301607803042914,0.14208944600855405,-0.28909628016209066,0.050521582552071564,0.0,0.0,-0.08583994744046074,0.1577447263808223,-4.78441370864415,0.013869244600872044,0.8808503153790211,-2.0555328419939864,-0.008662649278612078,-0.6125360226695871,0.0,0.0,-0.21109199734716647,0.04389596267393343,0.0,0.0,4.601168585227309e-05,0.09413757430233073,0.2989174457903371,-0.2735741742988234,0.0,0.0,-0.16038396269881933,9.133198860151357,-4.327548678766877,-1.7246023432870676,0.0,0.0,0.997170946655727,0.7506704288196968,6.432749455025961,-5.426269530787496,-6.867785481554123,-4.908716784881811,-0.569372419764398,1.3935083412200766,0.0,0.0
1.0,370.0,-9.21739280793221,-4.494669257267587,0.9973544065501222,1.486750326983965,1.4798532131149273,0.03796942943086587,-4.900659740762285,0.13208118056255175,0.6985917560812264,-0.7408833944327369,-4.105553968798659,0.1692384214081043,-0.2980216855544179,0.036126030917255705,0.0,0.0,-0.08354115844299213,0.13501961935665205,-5.0624088930210105,0.024164444085993084,0.8562352760261626,-2.107471002890216,-0.009374002275764673,-0.6681345217531665,0.0,0.0,-0.20564316829194834,0.046940930495263516,0.0,0.0,6.451227095281923e-05,0.10299081878330574,0.30818452748375336,-0.2925225193054338,0.0,0.0,0.08394460557815782,9.279968718168114,-4.15628924927083,-1.6947229157128707,0.0,0.0,0.8938280350650791,0.7859967879964136,6.818625014906295,-5.562824923445665,-7.214029861045916,-4.890494615306939,-0.5485815525500979,1.4055052166617419,0.0,0.0
1.0,380.0,-12.597739897790737,-4.284716772912119,0.9451906908091644,1.4541902535184763,1.76167933471735,0.04465939581710686,-8.376410963034578,0.15057371416471663,0.7049713800171881,-0.7284084819114096,-3.7096489454792967,0.18272376478196264,-0.3118369313329475,0.021967623528547815,0.0,0.0,-0.07750347183626331,0.10733753716420377,-4.988468549596206,0.02416924861866439,0.8502645562016713,-2.0895798491563142,-0.010597552971867274,-0.6631056715018312,0.0,0.0,-0.17460645487845855,0.04766222163814081,0.0,0.0,8.095646791464838e-05,0.10523024557654598,0.3224506238835125,-0.29371566458332576,0.0,0.0,0.2058020348941079,9.42954354248759,-3.7979105490533698,-1.6779470711739621,0.0,0.0,1.0290043454753435,0.7780421624075784,7.044207530380167,-5.493829725133086,-7.39127525180611,-4.661271604079473,-0.5934987724147774,1.3907403631979125,0.0,0.0
1.0,390.0,-16.43034341440434,-3.9097642751547217,0.890434301086542,1.4156678444107027,1.9707854468761392,0.0462698998100532,-11.740057265601402,0.16011340471080102,0.7298984854373437,-0.7094544670663154,-3.159077960054097,0.18437800232743753,-0.32949999293884524,0.008491277510751882,0.0,0.0,-0.06853712135959807,0.0764639049864784,-4.612146724924199,0.015531439526134236,0.8599041193809531,-2.0136328542646504,-0.01220959780770285,-0.6074577169810133,0.0,0.0,-0.12284125876273122,0.04644040810988781,0.0,0.0,9.478954854256475e-05,0.10186903019024804,0.34064420180317717,-0.27997723963063315,0.0,0.0,0.212316685650721,9.579074876068793,-3.295081161899202,-1.6727322481863014,0.0,0.0,1.3642472926775082,0.7340206174602556,7.104889906864349,-5.253628739367511,-7.422470062247042,-4.26076248871599,-0.6924771634388427,1.3538904823095983,0.0,0.0
