Temperature = 108.475K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
     -70.8086  1.72012e+81
     -70.9516  3.20086e+81
     -71.0946  5.96072e+81
     -71.2375  1.11016e+82
     -71.3805  2.06566e+82
     -71.5234  3.84402e+82
     -71.6664  7.15876e+82
     -71.8093  1.33118e+83
     -71.9523  2.47431e+83
     -72.0952   4.6017e+83
     -72.2382  8.55513e+83
     -72.3812  1.58898e+84
     -72.5241  2.95475e+84
     -72.6671  5.48751e+84
       -72.81  1.01823e+85
      -72.953  1.89158e+85
     -73.0959  3.50845e+85
     -73.2389  6.49912e+85
     -73.3818  1.20601e+86
     -73.5248  2.23635e+86
     -73.6677  4.14249e+86
     -73.8107  7.68162e+86
     -73.9537  1.42196e+87
     -74.0966   2.6334e+87
     -74.2396  4.87922e+87
     -74.3825  9.02581e+87
     -74.5255  1.67077e+88
     -74.6684  3.09806e+88
     -74.8114  5.73053e+88
     -74.9543  1.06066e+89
     -75.0973  1.96339e+89
     -75.2403  3.62886e+89
     -75.3832  6.71966e+89
     -75.5262  1.24483e+90
     -75.6691  2.30162e+90
     -75.8121     4.26e+90
      -75.955  7.89731e+90
      -76.098  1.45852e+91
     -76.2409  2.69161e+91
     -76.3839  4.97599e+91
     -76.5269  9.18819e+91
     -76.6698  1.69327e+92
     -76.8128  3.12922e+92
     -76.9557  5.76419e+92
     -77.0987  1.06055e+93
     -77.2416   1.9552e+93
     -77.3846  3.59292e+93
     -77.5275  6.59041e+93
     -77.6705  1.21483e+94
     -77.8135  2.23282e+94
     -77.9564   4.0998e+94
     -78.0994  7.54226e+94
     -78.2423  1.38178e+95
     -78.3853  2.53732e+95
     -78.5282  4.66286e+95
     -78.6712  8.53243e+95
     -78.8141  1.56795e+96
     -78.9571  2.89127e+96
     -79.1001  5.29684e+96
      -79.243  9.72601e+96
      -79.386  1.78428e+97
     -79.5289  3.26621e+97
     -79.6719  5.99684e+97
     -79.8148  1.10322e+98
     -79.9578  2.01994e+98
     -80.1007  3.70686e+98
     -80.2437  6.82848e+98
     -80.3867  1.24869e+99
     -80.5296  2.27859e+99
     -80.6726   4.1864e+99
     -80.8155  7.64892e+99
     -80.9585 1.39111e+100
     -81.1014 2.54923e+100
     -81.2444 4.62958e+100
     -81.3873 8.41698e+100
     -81.5303 1.53307e+101
     -81.6732 2.76782e+101
     -81.8162 5.00683e+101
     -81.9592 9.14141e+101
     -82.1021 1.65403e+102
     -82.2451 2.99578e+102
      -82.388 5.42855e+102
      -82.531 9.74858e+102
     -82.6739 1.76347e+103
     -82.8169  3.1922e+103
     -82.9598 5.70258e+103
     -83.1028 1.03562e+104
     -83.2458 1.89061e+104
     -83.3887 3.40213e+104
     -83.5317 6.19294e+104
     -83.6746 1.12444e+105
     -83.8176 2.03169e+105
     -83.9605 3.69107e+105
     -84.1035 6.73338e+105
     -84.2464 1.21449e+106
     -84.3894 2.20401e+106
     -84.5324 4.04903e+106
     -84.6753 7.33316e+106
     -84.8183 1.30687e+107
     -84.9612 2.39049e+107
     -85.1042 4.29921e+107
     -85.2471 7.61393e+107
     -85.3901  1.3671e+108
      -85.533 2.38979e+108
      -85.676 4.21847e+108
