Pressure (atm),Temperature (K),B1_Frequencies_1_R1->P1,B1_Frequencies_1_P1->W1,B1_Energy_1_R1->P1,B1_Energy_1_P1->W1,B4_Energy_1_R1->P1,B4_Energy_1_P1->W1,W1_Frequencies_1_R1->P1,W1_Frequencies_1_P1->W1,B3_Frequencies_1_R1->P1,B3_Frequencies_1_P1->W1,R1_Frequencies_1_R1->P1,R1_Frequencies_1_P1->W1,B2_Frequencies_1_R1->P1,B2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_R1->P1,B4_SymmetryFactor_1_P1->W1,B1_SymmetryFactor_1_R1->P1,B1_SymmetryFactor_1_P1->W1,colrel_Sigmas_R1->P1,colrel_Sigmas_P1->W1,W3_SymmetryFactor_1_R1->P1,W3_SymmetryFactor_1_P1->W1,B3_SymmetryFactor_1_R1->P1,B3_SymmetryFactor_1_P1->W1,W3_Energy_1_R1->P1,W3_Energy_1_P1->W1,P1_Frequencies_1_R1->P1,P1_Frequencies_1_P1->W1,B2_SymmetryFactor_1_R1->P1,B2_SymmetryFactor_1_P1->W1,B4_Frequencies_1_R1->P1,B4_Frequencies_1_P1->W1,W1_SymmetryFactor_1_R1->P1,W1_SymmetryFactor_1_P1->W1,colrel_PowerOne_R1->P1,colrel_PowerOne_P1->W1,colrel_FactorOne_R1->P1,colrel_FactorOne_P1->W1,R1_Energy_1_R1->P1,R1_Energy_1_P1->W1,W3_Frequencies_1_R1->P1,W3_Frequencies_1_P1->W1,P1_SymmetryFactor_1_R1->P1,P1_SymmetryFactor_1_P1->W1,colrel_Epsilons_R1->P1,colrel_Epsilons_P1->W1,B2_Energy_1_R1->P1,B2_Energy_1_P1->W1,B3_Energy_1_R1->P1,B3_Energy_1_P1->W1,R1_SymmetryFactor_1_R1->P1,R1_SymmetryFactor_1_P1->W1,W1_Energy_1_R1->P1,W1_Energy_1_P1->W1,P1_Energy_1_R1->P1,P1_Energy_1_P1->W1
0.1,300.0,-0.004327354429063148,1.8386252774963543e-06,-0.00020801421689586693,3.059365901821033e-05,7.255884419171475e-06,-1.596407467653263,9.065597039743779e-07,-2.907127563907821,-0.05032593718879815,0.0,0.0939541989108354,0.0,-0.04532713491339569,0.0,0.00013712108806222174,-0.2479766257999062,-0.0011113584979165036,4.02301537948751e-06,-8.452797615607168e-06,0.930530789423739,5.1064534171159555e-06,9.605586355456927e-08,-0.5157398675108231,0.0,2.100304600729291e-06,2.9748691243901146e-09,0.0,-5.560125512574874e-05,-0.4596594760616218,0.0,0.0002571000438369732,-3.230100094963073e-08,1.5929679820716134e-06,-0.7578313509458576,1.0825561535924308e-06,0.007545813587529751,-1.2413069341757432e-05,0.7291264049580124,1.6774016405640861,0.0,1.557662221470801e-05,-1.4181581780541406e-06,0.0,0.9999939794498576,-1.1210879336091614e-06,0.18279020184790834,-0.7557600170218265,-0.0030052449960314004,-0.8512995074917382,-0.0030052449960314004,1.0000067056566402,0.0,-5.789055053438857e-07,-0.07720493254552989,0.0,1.6773960294310344
0.1,310.0,-0.004589368323803765,5.225122144045227e-06,-0.0002231707776631473,4.013503012442306e-05,9.843880496520716e-06,-1.5408341925295679,7.077696768629575e-07,-2.937221742145034,-0.055025933846158934,0.0,0.10428134245326695,0.0,-0.05115182722534839,0.0,0.0001960760122786933,-0.23990633729012883,-0.0011840349278224244,9.737805913090538e-06,-8.094764310151216e-06,0.94055488875837,4.8654976215275245e-06,-1.9861334201776676e-09,-0.5081014301293353,0.0,1.7100255955311027e-06,6.192271616766224e-09,0.0,-2.7809616135407344e-05,-0.46726567700587146,0.0,0.0003599517976719069,-4.322417655165132e-08,1.2244031858014944e-06,-0.7657817764797474,4.4318239163160427e-07,0.037211968445193526,-1.1848311542255632e-05,0.7395081940288852,1.6232854274339936,0.0,1.5129079070806618e-05,-2.9568809566200798e-06,0.0,0.9999913502175612,-1.1995527503508983e-06,0.18193495738767165,-0.7447056685330556,-0.005221424346952117,-0.8126423636065787,-0.005221424346952117,1.000004034277823,0.0,-4.285703891523816e-07,-0.07516831771673627,0.0,1.6232833262012059
0.1,320.0,-0.004831210240693579,9.395300415736067e-06,-0.00023597074010385638,4.9017372727048954e-05,1.0384421708311396e-05,-1.4888361703026594,4.2280915068597466e-07,-2.965344898615034,-0.059774346182376474,0.0,0.11502984307529643,0.0,-0.05722735614822783,0.0,0.00020383997868432828,-0.2322776592496807,-0.0012509025901960241,1.62626982140377e-05,-7.91729975847685e-06,0.950032783876336,4.722449057329671e-06,-1.1637035477905766e-07,-0.5008414184248166,0.0,1.172997325427588e-06,8.042135575731049e-09,0.0,5.636228661737432e-06,-0.4744626041540369,0.0,0.0003734586329733797,-4.5374662857449976e-08,6.954287323769339e-07,-0.7732861033184502,-2.762960873045392e-07,0.06373350466697829,-1.1443543194256851e-05,0.7482589638644117,1.5725526770477234,0.0,1.45034457060884e-05,-4.012982837146335e-06,0.0,0.9999899715532119,-1.390693893588835e-06,0.1808683632611373,-0.7337039840166366,-0.006220043585344434,-0.7769400838780591,-0.006220043585344434,1.000001720290799,0.0,-2.2551027263968425e-07,-0.07476092263990507,0.0,1.5725540489870706
0.1,330.0,-0.005054935247825451,1.4091997973551557e-05,-0.00024639503513060356,5.687428952029017e-05,9.238045814210719e-06,-1.4401555585135006,1.2770658884553903e-07,-2.991605193094802,-0.06456834184404697,0.0,0.12617755351162327,0.0,-0.06355095236541934,0.0,0.00016922329651514688,-0.22506238932409187,-0.001311898514346302,2.3200178190336586e-05,-7.828482590235369e-06,0.9589989560756959,4.635724197415365e-06,-2.2296103615806331e-07,-0.49393333190453165,0.0,6.24692110049778e-07,8.483523460659431e-09,0.0,3.691838500671996e-05,-0.4812819564262642,0.0,0.0003132313659172836,-3.922641026578409e-08,1.4709937098215872e-07,-0.7803725472826225,-9.710737666511744e-07,0.08736030748443613,-1.1133754440248323e-05,0.7555375241556738,1.524896150899721,0.0,1.3782222337118254e-05,-4.520907959794452e-06,0.0,0.9999897274496159,-1.603306016898947e-06,0.1796200020990538,-0.7227902303575495,-0.00610458021368323,-0.7438789522204722,-0.00610458021368323,0.9999999656136356,0.0,-2.1355594038971743e-08,-0.07582992976455637,0.0,1.5249005274923395
0.1,340.0,-0.005266299168980451,1.9065912578790402e-05,-0.00025488225644514615,6.353111519227617e-05,6.911602859816651e-06,-1.394529030236221,-1.2789771005546272e-07,-3.0161523762390248,-0.06940920333746187,0.0,0.13770230037672435,0.0,-0.07012593960287396,0.0,0.00010538013388992329,-0.2182352682134776,-0.001368263002571072,3.0212312063548293e-05,-7.762009864015367e-06,0.9674841328089266,4.573656717641657e-06,-3.0189596214641196e-07,-0.4873537206772144,0.0,1.5201470306268704e-07,7.697505799891057e-09,0.0,6.0706780849320687e-05,-0.48775628005275196,0.0,0.00020235677664851736,-2.6613366672132696e-08,-3.289445266223399e-07,-0.7870678888101865,-1.5751875601384818e-06,0.10868246992086827,-1.0868595259829257e-05,0.7616406931373995,1.4800444867864886,0.0,1.303684509373164e-05,-4.501519994088798e-06,0.0,0.9999904044723162,-1.7770293792793193e-06,0.17821777494064772,-0.7119930029290128,-0.005126516010796843,-0.7131891290717531,-0.005126516010796843,0.9999988275916616,0.0,1.5169758931766407e-07,-0.0780241251245837,0.0,1.4800511859785805
0.1,350.0,-0.00547248666565649,2.4097478905221204e-05,-0.0002620653186501303,6.895252571120307e-05,3.918602556402027e-06,-1.3516954796321072,-3.180111155587317e-07,-3.039154486875034,-0.07429881441694544,0.0,0.14958207454162592,0.0,-0.0769568718743737,0.0,2.5969456921678602e-05,-0.21177245547003815,-0.001421830603408843,3.703158635067747e-05,-7.676891497109984e-06,0.9755172968867273,4.514679141940917e-06,-3.39243298239288e-07,-0.48108122064319453,0.0,-2.0030915976803245e-07,5.978384116585165e-09,0.0,7.431996748335553e-05,-0.49391671135856663,0.0,6.473611519395795e-05,-9.992299220993439e-09,-6.84598438650149e-07,-0.7933981280492824,-2.0563304784452407e-06,0.12840481457985847,-1.0614227211554381e-05,0.7669062686486015,1.4377571626973007,0.0,1.2320580483619884e-05,-4.026147997312254e-06,0.0,0.9999917548922415,-1.8797373746960627e-06,0.17668814718699577,-0.7013354934202283,-0.003587853829755859,-0.6846370696374664,-0.003587853829755859,0.9999982752840906,0.0,2.7772919721155954e-07,-0.08092743818826718,0.0,1.437765442268306
0.1,360.0,-0.005680604329975467,2.9006957700967026e-05,-0.0002685990784046803,7.319584076871693e-05,7.020379326193398e-07,-1.3114033233175268,-4.345197923518925e-07,-3.0607807313868958,-0.07923773000136938,0.0,0.1617951911864029,0.0,-0.0840466317838047,0.0,-5.7058594654508253e-05,-0.20565082081096012,-0.001474544629197666,4.345998343568451e-05,-7.5526152786379285e-06,0.9831266353845991,4.445807331084469e-06,-3.271492276457657e-07,-0.4750959810127581,0.0,-4.189434728080314e-07,3.6554225566771783e-09,0.0,7.732909882537646e-05,-0.49979168191068984,0.0,-7.874973877770851e-05,8.079102092015841e-09,-9.04472411465985e-07,-0.7993886173133364,-2.4071266127343803e-06,0.14720360679133535,-1.0351137102356713e-05,0.7716522651197777,1.3978202847981955,0.0,1.1668154082497953e-05,-3.189416637777584e-06,0.0,0.9999935370778094,-1.900925684676092e-06,0.17505604902023356,-0.6908363630029357,-0.001778989378753665,-0.6580193091750132,-0.001778989378753665,0.9999982302148427,0.0,3.5263695754165776e-07,-0.08414326842393116,0.0,1.3978294396044717
0.1,370.0,-0.005896817336504756,3.3656698473320426e-05,-0.00027506227350608395,7.637377543554606e-05,-2.398499635732515e-06,-1.2734160942988906,-4.811875191952611e-07,-3.0811904095061524,-0.08422437687807462,0.0,0.17432040905770038,0.0,-0.0913950247695641,0.0,-0.00013447078602243023,-0.19984774390510934,-0.0015281663043604367,4.9361814838297304e-05,-7.383269150519743e-06,0.9903398198933255,4.360617409292278e-06,-2.6312897518669124e-07,-0.4693793619196311,0.0,-5.112109166181426e-07,1.0427223468405254e-09,0.0,7.094314737504107e-05,-0.5054063582221913,0.0,-0.0002119813764501982,2.526794342210341e-08,-9.949067386050681e-07,-0.8050639278927788,-2.6364677711124933e-06,0.16564907315318497,-1.0070628908753017e-05,0.7761448577730397,1.3600430407868842,0.0,1.1098426125859296e-05,-2.0907758253526578e-06,0.0,0.9999955381534239,-1.84461208502558e-06,0.17334464263642918,-0.6805104020492282,5.504063226198195e-05,-0.6331574518915385,5.504063226198195e-05,0.9999985938521027,0.0,3.799225980016732e-07,-0.08733963442987913,0.0,1.3600524569888222
0.1,380.0,-0.006125957476217761,3.7948705281383964e-05,-0.0002819125964317129,7.862687372368471e-05,-5.1517632781985584e-06,-1.2375160461836354,-4.6860737990019187e-07,-3.100526742231898,-0.08925496508011965,0.0,0.1871370109381427,0.0,-0.0989983794191701,0.0,-0.00019997013138545885,-0.1943411881871107,-0.001584129791752328,5.4653875587763637e-05,-7.172227265295803e-06,0.9971839210531328,4.257299025041705e-06,-1.489713482603366e-07,-0.46391379714487674,0.0,-4.96236421660427e-07,-1.5887921430684268e-09,0.0,5.738043389005021e-05,-0.5107825735751292,0.0,-0.00032397331142279486,3.9639174311484506e-08,-9.748110397401745e-07,-0.8104476191404346,-2.762377563102384e-06,0.18417417893087756,-9.771341679146734e-06,0.7805862962250615,1.324254697469297,0.0,1.0618044454895886e-05,-8.231765617529774e-07,0.0,0.9999975841890066,-1.7232698669933107e-06,0.17157508588465553,-0.6703690697515695,0.0017283143232327913,-0.6098941565079334,0.0017283143232327913,0.999999264894225,0.0,3.67308751237381e-07,-0.09026693158682421,0.0,1.324263876459622
0.1,390.0,-0.0063714424642353565,4.181974458796914e-05,-0.0002894760594330755,8.010434792157065e-05,-7.424240844329442e-06,-1.2035059653600573,-4.104355974374585e-07,-3.1189142605811386,-0.09432378833972062,0.0,0.20022485267707793,0.0,-0.10684975101568898,0.0,-0.0002499589277871773,-0.1891098908344303,-0.0016434957213643097,5.929506196970311e-05,-6.927969803324161e-06,1.0036851634688735,4.137024611348431e-06,1.0441855730840037e-08,-0.458682745471046,0.0,-3.9840547345463135e-07,-4.023680824116189e-09,0.0,3.933122987013632e-05,-0.5159390516385264,0.0,-0.0004084552959503436,4.972136065755659e-08,-8.688460478140447e-07,-0.8155620072688762,-2.806755674690287e-06,0.20307265850226836,-9.45635020680772e-06,0.7851152877556623,1.290302047764218,0.0,1.0225025697730596e-05,5.329683615362962e-07,0.0,0.9999995423437815,-1.5532514719841422e-06,0.16976635855853497,-0.6604209590564266,0.0031150971104350962,-0.5880899189743494,0.0031150971104350962,1.0000001492504689,0.0,3.2428978328770126e-07,-0.09275847871305978,0.0,1.2903106103108213
