Pressure (atm),Temperature (K),W1_Energy_1_W1->R,W1_Energy_1_P3->W1,W1_Energy_1_R->P2,W1_Energy_1_R->P4,W1_Energy_1_P3->R,W1_Energy_1_W1->P3,W1_Energy_1_W1->P2,W1_Energy_1_W1->P1,W1_Energy_1_W1->P6,W1_Energy_1_W1->P5,W1_Energy_1_W1->P4,W1_Energy_1_P5->P6,W1_Energy_1_P5->P3,W1_Energy_1_P6->P3,W1_Energy_1_P3->P4,W1_Energy_1_P3->P5,W1_Energy_1_P3->P6,W1_Energy_1_P3->P1,W1_Energy_1_P3->P2,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P1->P6,W1_Energy_1_P1->P4,W1_Energy_1_P1->P5,W1_Energy_1_P4->P3,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_R->P6,W1_Energy_1_P4->P6,W1_Energy_1_P4->P5,W1_Energy_1_R->P5,W1_Energy_1_P2->P3,W1_Energy_1_P2->P5,W1_Energy_1_P2->P4,W1_Energy_1_P2->P6
0.5,1400.0,0.28248953432031276,-0.040520995678461236,0.0014649674980609492,0.0017778470096995057,0.002719295969310003,0.3190361124411365,0.3018656859989756,0.3034929433135608,0.131395022508399,0.2236725411225267,0.3113985454696654,1.2991470701239584e-05,6.628146853373047e-05,2.2788614742294884e-06,0.004067926916562295,6.829050627192836e-05,-4.317477492393539e-07,0.007450256775172365,0.003016783865804543,0.00367233577174366,0.007452629897037307,-7.092554157782747e-08,0.004749909923851949,3.905609727979433e-05,0.0040581027856199485,0.0027157080212791957,0.003360355497218306,-3.9721275086548595e-07,1.2805676994982323e-05,9.222997766101446e-05,0.00016429175209969394,0.003014377456096267,0.00010781025902821946,0.0017461166908677777,4.702264474361692e-06
0.5,1500.0,0.25592361081269477,-0.04361344392906705,0.0010156312086543142,0.0012361580770763124,0.001969509602200769,0.2918552176919458,0.2746322725070115,0.27717037405747474,0.11463941593972181,0.1988184745644262,0.2839872567071483,9.450188775695477e-06,3.939132734685859e-05,2.5244693351249056e-06,0.0027488777655129575,4.190398736185123e-05,-4.1366541835070057e-07,0.005655963766274373,0.002012796035332707,0.002590752895502309,0.005659084467416835,8.006927896306118e-07,0.0034083950293333,1.558357832920867e-05,0.0027408823160804154,0.0019666629181257452,0.0025223071456882554,2.512782316600311e-07,1.075303941371505e-05,5.93085728786884e-05,0.00011291546213154237,0.002004811881958989,7.213220339890402e-05,0.0010893016329420236,3.1688653889655478e-06
0.5,1600.0,0.23255153888557661,-0.04650524748328043,0.0007037333082088199,0.0008572694612592813,0.0014224413897482421,0.267874051599168,0.2506258288835928,0.2539774107052555,0.0997980135110586,0.1770505247149976,0.2598184370888017,6.878280609130401e-06,2.3619023087315546e-05,2.560309415397095e-06,0.001824628613816768,2.5922642645834843e-05,-3.0339459144805136e-07,0.004250041293296006,0.0013229983646788155,0.0018073211720321303,0.004253776336891397,1.0990294145651003e-06,0.0024154953278820203,2.99873271252313e-06,0.0018190101399327883,0.0014205388025049516,0.0018891762819338335,6.113066897250403e-07,8.618410271900776e-06,3.837482043588256e-05,7.821548714847305e-05,0.0013101511172896785,4.925536213891633e-05,0.0006653766630281661,1.9749946455391764e-06
0.5,1700.0,0.2118733958140785,-0.049187303852782915,0.0004882951701299407,0.0005940050307363078,0.0010248880924512138,0.24659884759728512,0.22934536778769474,0.2334266948376263,0.08661563008280253,0.15788254962276238,0.23838901167331494,5.001651352208489e-06,1.4306864448408383e-05,2.439683312207012e-06,0.0011897117480310002,1.5947689872868604e-05,-1.2859730251089762e-07,0.003156840191397802,0.0008585859724209422,0.0012470808888383053,0.003161011657480483,1.0059989608779094e-06,0.0016893457179610826,-3.621551637189753e-06,0.0011867668701464305,0.0010239964245629572,0.001411628436260344,7.320307798446013e-07,6.496098619008105e-06,2.4782481788475107e-05,5.439507422634118e-05,0.0008417364771737796,3.4356762287038926e-05,0.00040024816835748184,1.0641398320518911e-06
0.5,1800.0,0.19349808331754165,-0.05165510009295038,0.00034041855846091894,0.00041256340081528104,0.0007373911302764311,0.22764191601576406,0.21039822701268923,0.21513716759935791,0.07489998876424545,0.14093488540974866,0.2193040962885496,3.6353176050986086e-06,8.733826491641188e-06,2.2173494841426957e-06,0.0007638938662250116,9.479577018308024e-06,8.002023089476812e-08,0.0023136716339474638,0.0005537331294315461,0.0008522373059224557,0.002318086256196655,6.734847200823133e-07,0.001165228360646602,-7.041068957563626e-06,0.000763715805607388,0.0007374802499789311,0.0010521857325933002,6.76062270894715e-07,4.481885039049328e-06,1.5757954275759604e-05,3.779132790793928e-05,0.0005337929341140226,2.4476825264697638e-05,0.00024158336331277596,3.8675467897028653e-07
0.5,1900.0,0.17711157462466345,-0.05390887781364909,0.00023965090849709239,0.0002886816174397039,0.0005306702505887598,0.21069100652641948,0.19346862879760793,0.19880286002334033,0.06449669654856224,0.1259029127558257,0.20224582609740085,2.653259366211498e-06,5.317951117856378e-06,1.9424527264069374e-06,0.0004867285194661314,5.111164008754858e-06,2.9422962777671506e-07,0.001669369858593601,0.0003599552153272331,0.0005786318641099354,0.0016738367685254596,2.2318862739815503e-07,0.0007926141585671009,-8.7775548243534e-06,0.0004892554388888079,0.0005316444180681869,0.0007823724341770341,5.057592513451352e-07,2.6581079824364942e-06,9.63603521216018e-06,2.606016348121693e-05,0.0003378263620119426,1.7779943180081505e-05,0.00015255210033388996,-1.0049899530181494e-07
0.5,2000.0,0.16245632883997557,-0.055952967852489224,0.0001714733576654351,0.00020491673573634468,0.0003829787398649607,0.19548937455548587,0.17829725371060992,0.18417272228295356,0.05527541590389491,0.1125368232983385,0.1869530527048078,1.9684131823970618e-06,3.1487911145952753e-06,1.65571926475505e-06,0.00031302725354612226,2.0620919510203477e-06,4.905869624380016e-07,0.0011825891321546563,0.00024173310584286285,0.0003927512407557641,0.0011869298362962258,-2.508853481330068e-07,0.0005323997863738702,-9.634726303047674e-06,0.00031808501265079866,0.00038470057754723484,0.000580531989477771,2.765317047036501e-07,1.0882996899779132e-06,5.412279012418648e-06,1.7682768618373203e-05,0.0002182722166470847,1.3117492122663562e-05,0.00010734178481629247,-4.350432741218579e-07
0.5,2100.0,0.1493175499710378,-0.05779485359722755,0.00012555771146706226,0.00014871818502722417,0.0002781507300476638,0.18182242747935998,0.16466757921220668,0.17103720419958593,0.04712225595199774,0.10062820280934602,0.17320772057515138,1.5195167784809973e-06,1.7114262147744243e-06,1.388999838959339e-06,0.0002092402472950616,-9.087194799113938e-08,6.509877143722426e-07,0.0008201366680486344,0.0001731863762825585,0.0002692993765621488,0.000824190038113378,-6.78677140432573e-07,0.00035452450462272256,-1.001247935747728e-05,0.0002165777400181568,0.00028045893715341355,0.00043017107839650795,3.428426820020218e-08,-1.831157335331546e-07,2.478236276961658e-06,1.1662820629616826e-05,0.00014918497534572388,9.765652249549246e-06,8.796379111631063e-05,-6.487142673193705e-07
0.5,2200.0,0.13751371797517392,-0.05944423987044326,9.455063496813228e-05,0.00011105737006547672,0.0002041617744567955,0.1695084891179893,0.15239644803696611,0.1592190376241176,0.03993555989994627,0.09000083754181692,0.16082542747483866,1.2624938419339127e-06,7.227160999158811e-07,1.1659695001840783e-06,0.00015063169592976453,-1.5701785441424802e-06,7.623510772747838e-07,0.0005554774586792871,0.00013557458551057534,0.00018927708057399134,0.0005591016354173166,-1.009979750299555e-06,0.00023600375197060908,-1.0087448180490867e-05,0.00015994880493893816,0.00020688385670942063,0.00031870901030896654,-1.8488776830203658e-07,-1.128753016212688e-06,4.635538248828156e-07,7.338426776615334e-06,0.00011174999664987694,7.2659205188752835e-06,8.198503207027917e-05,-7.682222686200505e-07
0.5,2300.0,0.12688984739755496,-0.06091224527647373,7.322066436025677e-05,8.544986494918976e-05,0.00015206741996158667,0.15839220123028866,0.1413273418702809,0.14856669274297063,0.03362351526419828,0.0805041968034341,0.149648668484975,1.1648156008608996e-06,3.3865636976495915e-08,1.0032986702831695e-06,0.00011910759516820645,-2.487956019487215e-06,8.159337247612866e-07,0.00036745614348964936,0.00011543381754217945,0.00013848737712705603,0.0003705286034041731,-1.210544689948504e-06,0.00015934933119225703,-9.917543746426786e-06,0.00013007660357813161,0.00015502859258789039,0.00023653499171082983,-3.5389187501913995e-07,-1.735329423199666e-06,-8.58824036575127e-07,4.263966843612425e-06,9.242676195382798e-05,5.326880321086701e-06,8.091683964937434e-05,-8.157030767628464e-07
0.5,2400.0,0.11731253392502163,-0.06221075305769961,5.7856178596951094e-05,6.725478490352635e-05,0.00011521925351000705,0.14833965871102486,0.13132543125517607,0.13894958078781852,0.028102724498616474,0.07200865722266278,0.13954184831844943,1.201804700780727e-06,-4.2755095645261376e-07,9.119278785303878e-07,0.00010156050189334356,-2.898008009928091e-06,8.06542076567449e-07,0.00023923528614130523,0.00010319243643945997,0.00010638385394056152,0.0002416518765106121,-1.2586373708709256e-06,0.00011132114245312568,-9.50182401128247e-06,0.00011384205330185272,0.00011824848056124825,0.00017629749088604187,-4.533778600887256e-07,-2.000642019095144e-06,-1.6298422051332556e-06,2.135056530938646e-06,8.156872477252428e-05,3.7630299303249012e-06,7.906932905463987e-05,-8.093070847304399e-07
0.5,2500.0,0.10866620715961735,-0.06335191606889205,4.58379851600389e-05,5.3170536413114117e-05,8.868448848076836e-05,0.1392347180621076,0.12227382574223795,0.13025443063557499,0.02329727120002376,0.06440189455336547,0.13038749336418234,1.3542030397798662e-06,-6.919559932861716e-07,8.982655911050674e-07,8.861539830050535e-05,-2.8253191495993776e-06,7.317765829187636e-07,0.00015742903133397727,9.214482217250661e-05,8.518879020651524e-05,0.00015910247577137544,-1.1421276700852046e-06,8.195123571490737e-05,-8.814126951258678e-06,0.00010187008451779108,9.161841860127329e-05,0.0001323679036448578,-4.703783319396348e-07,-1.9308242897483978e-06,-1.9389222063329183e-06,7.404214334130474e-07,7.239941734743814e-05,2.456322854912105e-06,7.273528615996092e-05,-7.637740133632236e-07
0.5,2600.0,0.10085022202430555,-0.064347795335694,3.533416283323497e-05,4.087029973388052e-05,6.881500382133902e-05,0.13097612416755458,0.11407065977979096,0.12238247874364806,0.0191380371347464,0.057586083009333607,0.12208330257608205,1.606563262645265e-06,-7.679591284671355e-07,9.652330421449524e-07,7.36827614074033e-05,-2.282423747667437e-06,5.91366135132523e-07,0.00011140412166906933,7.769107599197656e-05,6.922037015095308e-05,0.00011226230737058323,-8.561068474755896e-07,6.378584992936624e-05,-7.821349665569548e-06,8.757929429397149e-05,7.150038598958942e-05,0.00010043493403987609,-3.9702685036864384e-07,-1.5380191948159791e-06,-1.8448827065347565e-06,-6.925222130486087e-08,6.025340199985317e-05,1.3317910088040004e-06,5.960765466126272e-05,-6.909687584024965e-07
0.5,2700.0,0.09377655099863273,-0.06521010728677902,2.5081048706543152e-05,2.8737410971283053e-05,5.2926352451685067e-05,0.12347522516590036,0.10662677820872775,0.11524724004835642,0.015562144680294003,0.05147567099694389,0.11453980253576347,1.9461773195064877e-06,-6.540286275162072e-07,1.1131360790004526e-06,5.2245074948289686e-05,-1.2781411342414008e-06,3.866104665046139e-07,9.271992591042295e-05,5.6773802346700323e-05,5.4380480489051315e-05,9.270415484917549e-05,-4.0097962726502634e-07,5.129918436909755e-05,-6.492813165562501e-06,6.646584082646959e-05,5.522136951227772e-05,7.719703596923527e-05,-2.2943173426323902e-07,-8.384894611880113e-07,-1.3885558459222727e-06,-4.0165057494912685e-07,4.2013580546255416e-05,3.4199182464007353e-07,3.836302099752533e-05,-6.003585033142212e-07
0.5,2800.0,0.08736791933511923,-0.06595005582988973,1.4225304371727585e-05,1.5672516748184802e-05,3.905791602890654e-05,0.11665412220990719,0.09986386440316566,0.10877270619002248,0.012512463784663592,0.04599558090822307,0.1076784500323427,2.3623561783924326e-06,-3.450536452846336e-07,1.3403711519402019e-06,2.131990521147434e-05,1.7807607744046907e-07,1.1992845066465445e-07,9.468175110940587e-05,2.7460789051216856e-05,3.7765172796281293e-05,9.374506045930342e-05,2.1903749609722785e-07,4.0441116244121873e-05,-4.804532865965184e-06,3.5564547011151877e-05,4.083276053480706e-05,6.0128526657664823e-05,3.327403251300374e-08,1.488705611925795e-07,-6.003451504781669e-07,-3.362081513481928e-07,1.5693952797781974e-05,-5.429643074521115e-07,8.363401398499487e-06,-4.99430412923874e-07
0.5,2900.0,0.08155627558134954,-0.06657822868791113,2.2095512376296475e-06,9.525476489320874e-07,2.579313355271723e-05,0.11044414931570991,0.0937129038486758,0.10289186667206032,0.009937155316930105,0.04107972968936744,0.1014300746713166,2.845940390809126e-06,1.6413736216320122e-07,1.643984659981017e-06,-2.0943818899604735e-05,2.0742674485303628e-06,-2.054988742029214e-07,0.00011198537021531543,-1.1364281150254846e-05,1.7368543221868845e-05,0.00011009097663234617,9.970817998948288e-07,2.8288746051109322e-05,-2.7406493415197096e-06,-6.956284821107668e-06,2.6930064142740627e-05,4.730117659482129e-05,3.89710359922637e-07,1.4036765988559514e-06,4.953013507201856e-07,6.702630289711183e-08,-1.9869863304946277e-05,-1.341829093871555e-06,-3.05574009446253e-05,-3.940469281436184e-07
