    E, kcal/mol    D, mol/kcal         W1->P0
            243     6.4156e+08    2.87335e+14
          243.5    6.45796e+08    2.87515e+14
            244    6.50051e+08    2.87695e+14
          244.5    6.54326e+08    2.87874e+14
            245     6.5862e+08    2.88053e+14
          245.5    6.62938e+08     2.8823e+14
            246    6.67272e+08    2.88408e+14
          246.5    6.71629e+08    2.88585e+14
            247    6.76005e+08    2.88761e+14
          247.5      6.804e+08    2.88937e+14
            248    6.84818e+08    2.89111e+14
          248.5    6.89256e+08    2.89286e+14
            249    6.93714e+08     2.8946e+14
          249.5    6.98193e+08    2.89633e+14
            250    7.02692e+08    2.89805e+14
          250.5     7.0721e+08    2.89979e+14
            251    7.11753e+08    2.90149e+14
          251.5    7.16314e+08     2.9032e+14
            252    7.20897e+08    2.90491e+14
          252.5    7.25499e+08    2.90661e+14
            253    7.30122e+08    2.90831e+14
          253.5    7.34766e+08       2.91e+14
            254    7.39433e+08    2.91168e+14
          254.5     7.4412e+08    2.91335e+14
            255    7.48828e+08    2.91503e+14
          255.5    7.53559e+08    2.91669e+14
            256    7.58308e+08    2.91836e+14
          256.5    7.63083e+08    2.92001e+14
            257    7.67877e+08    2.92166e+14
          257.5    7.72691e+08    2.92331e+14
            258    7.77528e+08    2.92495e+14
          258.5    7.82386e+08    2.92659e+14
            259    7.87265e+08    2.92822e+14
          259.5    7.92167e+08    2.92984e+14
            260     7.9709e+08    2.93146e+14
          260.5    8.02033e+08    2.93309e+14
            261    8.07002e+08    2.93469e+14
          261.5    8.11989e+08     2.9363e+14
            262    8.17001e+08     2.9379e+14
          262.5    8.22035e+08    2.93949e+14
            263    8.27089e+08    2.94109e+14
          263.5    8.32165e+08    2.94267e+14
            264    8.37267e+08    2.94425e+14
          264.5    8.42388e+08    2.94583e+14
            265    8.47532e+08     2.9474e+14
          265.5      8.527e+08    2.94896e+14
            266    8.57887e+08    2.95053e+14
          266.5    8.63098e+08    2.95208e+14
            267    8.68333e+08    2.95363e+14
          267.5    8.73591e+08    2.95517e+14
            268     8.7887e+08    2.95672e+14
          268.5    8.84172e+08    2.95825e+14
            269    8.89494e+08    2.95979e+14
          269.5    8.94843e+08    2.96132e+14
            270    9.00214e+08    2.96284e+14
          270.5    9.05608e+08    2.96436e+14
            271    9.11026e+08    2.96587e+14
          271.5    9.16464e+08    2.96738e+14
            272    9.21928e+08    2.96889e+14
          272.5    9.27415e+08    2.97038e+14
            273    9.32925e+08    2.97188e+14
          273.5    9.38457e+08    2.97337e+14
            274    9.44013e+08    2.97486e+14
          274.5    9.49591e+08    2.97635e+14
            275    9.55196e+08    2.97782e+14
          275.5    9.60822e+08    2.97929e+14
            276    9.66471e+08    2.98077e+14
          276.5    9.72145e+08    2.98223e+14
            277    9.77843e+08    2.98369e+14
          277.5    9.83564e+08    2.98515e+14
            278    9.89311e+08     2.9866e+14
          278.5     9.9508e+08    2.98804e+14
            279    1.00087e+09    2.98949e+14
          279.5    1.00669e+09    2.99092e+14
            280    1.01253e+09    2.99236e+14
          280.5     1.0184e+09    2.99379e+14
            281    1.02429e+09    2.99522e+14
          281.5     1.0302e+09    2.99664e+14
            282    1.03614e+09    2.99806e+14
          282.5     1.0421e+09    2.99947e+14
            283    1.04809e+09    3.00088e+14
          283.5     1.0541e+09    3.00228e+14
            284    1.06014e+09    3.00368e+14
          284.5     1.0662e+09    3.00508e+14
            285    1.07229e+09    3.00648e+14
          285.5     1.0784e+09    3.00786e+14
            286    1.08453e+09    3.00925e+14
          286.5     1.0907e+09    3.01063e+14
            287    1.09688e+09      3.012e+14
          287.5    1.10309e+09    3.01338e+14
            288    1.10933e+09    3.01474e+14
          288.5    1.11559e+09    3.01611e+14
            289    1.12187e+09    3.01747e+14
          289.5    1.12818e+09    3.01883e+14
            290    1.13452e+09    3.02018e+14
          290.5    1.14088e+09    3.02153e+14
            291    1.14727e+09    3.02287e+14
