*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          460            2  1.41567e+10     0.125836    0.0149482     0.362564
          460            3   2.1235e+10     0.121028    0.0140068     0.348097
          460            4  2.83133e+10     0.117648    0.0133569     0.337689
          470          0.1  6.96242e+08     0.167816    0.0246293     0.484548
          470            1  6.96242e+09     0.137925    0.0178828     0.408556
          470            2  1.39248e+10     0.129476    0.0161065     0.384225
          470            3  2.08873e+10     0.124603    0.0151109     0.369598
          470            4  2.78497e+10     0.121172     0.014423     0.359055
          480          0.1  6.85129e+08     0.177628    0.0269285     0.507929
          480            1  6.85129e+09     0.145976    0.0195948     0.431852
          480            2  1.37026e+10     0.136999    0.0176637     0.407312
          480            3  2.05539e+10     0.131817    0.0165811     0.392516
          480            4  2.74052e+10     0.128166     0.015833     0.381832
          490          0.1  6.74465e+08     0.184519    0.0285777     0.527742
          490            1  6.74465e+09     0.151425    0.0209093     0.452341
          490            2  1.34893e+10     0.142068    0.0188829     0.427835
          490            3   2.0234e+10      0.13667    0.0177452     0.413015
          490            4  2.69786e+10      0.13287    0.0169583     0.402292
          500          0.1  6.64222e+08     0.187154    0.0300112     0.546929
          500            1  6.64222e+09     0.154134      0.02211     0.472292
          500            2  1.32844e+10     0.144764    0.0200102     0.447868
          500            3  1.99266e+10     0.139351    0.0188289     0.433056
          500            4  2.65689e+10     0.135536    0.0180107     0.422321
          510          0.1  6.54373e+08      0.19289    0.0320278     0.567124
          510            1  6.54373e+09     0.159371    0.0236898     0.493157
          510            2  1.30875e+10     0.149803    0.0214682     0.468798
          510            3  1.96312e+10     0.144265    0.0202171      0.45399
          510            4  2.61749e+10     0.140356    0.0193501     0.443239
          520          0.1  6.44897e+08     0.207172    0.0348057     0.587231
          520            1  6.44897e+09      0.17041    0.0257429     0.514112
          520            2  1.28979e+10      0.15996     0.023334     0.489879
          520            3  1.93469e+10     0.153919    0.0219784     0.475109
          520            4  2.57959e+10      0.14966    0.0210393     0.464369
          530          0.1   6.3577e+08      0.20897    0.0364122     0.605007
          530            1   6.3577e+09     0.172852    0.0270915     0.533029
          530            2  1.27154e+10     0.162505     0.024602     0.509037
          530            3  1.90731e+10     0.156508    0.0231986     0.494382
          530            4  2.54308e+10     0.152273    0.0222254      0.48371
          540          0.1  6.26974e+08     0.212146    0.0381088     0.622261
          540            1  6.26974e+09     0.176081    0.0285111     0.551536
          540            2  1.25395e+10     0.165711    0.0259358     0.527828
          540            3  1.88092e+10     0.159693    0.0244818     0.513315
          540            4   2.5079e+10     0.155438    0.0234726     0.502732
          550          0.1   6.1849e+08     0.222601    0.0404589     0.639215
          550            1   6.1849e+09     0.184306    0.0303379     0.569886
          550            2  1.23698e+10     0.173332     0.027621     0.546511
          550            3  1.85547e+10      0.16697    0.0260867      0.53217
          550            4  2.47396e+10     0.162476    0.0250215     0.521699
          560          0.1  6.10301e+08      0.23116    0.0429107     0.656148
          560            1  6.10301e+09     0.191455    0.0322548     0.588153
          560            2   1.2206e+10     0.180068    0.0293912     0.565106
          560            3   1.8309e+10     0.173465    0.0277733     0.550937
          560            4   2.4412e+10       0.1688    0.0266499     0.540579
          570          0.1  6.02391e+08     0.237454    0.0452091     0.672225
          570            1  6.02391e+09     0.197132    0.0340912     0.605653
          570            2  1.20478e+10     0.185525    0.0310971     0.582974
          570            3  1.80717e+10     0.178785    0.0294041     0.569004
          570            4  2.40956e+10      0.17402     0.028228     0.558778
          580          0.1  5.94745e+08     0.241994    0.0474153     0.687676
          580            1  5.94745e+09     0.201692    0.0358888     0.622586
          580            2  1.18949e+10     0.190015    0.0327752     0.600298
          580            3  1.78424e+10     0.183219    0.0310128     0.586542
          580            4  2.37898e+10     0.178407    0.0297876     0.576461
          590          0.1  5.87351e+08     0.243573    0.0494766     0.702804
          590            1  5.87351e+09     0.204241    0.0376227     0.639182
          590            2   1.1747e+10     0.192744    0.0344065     0.617294
          590            3  1.76205e+10     0.186031     0.032583     0.603757
          590            4   2.3494e+10     0.181268    0.0313141     0.593825
          600          0.1  5.80194e+08     0.256492    0.0521857     0.716443
          600            1  5.80194e+09     0.214096    0.0397317     0.654556
          600            2  1.16039e+10     0.201797    0.0363542     0.633151
          600            3  1.74058e+10     0.194633     0.034439     0.619885
          600            4  2.32078e+10     0.189557    0.0331063     0.610138
          610          0.1  5.73264e+08     0.262423    0.0545636     0.730089
          610            1  5.73264e+09     0.219448    0.0416757     0.669822
          610            2  1.14653e+10     0.206957    0.0381713     0.648878
          610            3  1.71979e+10     0.199674    0.0361822     0.635871
          610            4  2.29306e+10     0.194511    0.0347971     0.626303
          620          0.1  5.66549e+08     0.269797    0.0571719     0.743156
          620            1  5.66549e+09     0.225932    0.0437731     0.684535
          620            2   1.1331e+10     0.213151    0.0401239     0.664069
          620            3  1.69965e+10     0.205692    0.0380513     0.651335
          620            4   2.2662e+10     0.200401    0.0366073     0.641956
          630          0.1  5.60039e+08     0.275056    0.0595188     0.755541
          630            1  5.60039e+09     0.230848    0.0457223     0.698601
          630            2  1.12008e+10     0.217931    0.0419543     0.678634
          630            3  1.68012e+10     0.210386    0.0398119     0.666187
          630            4  2.24016e+10      0.20503    0.0383183     0.657008
          640          0.1  5.53724e+08     0.277906    0.0618232     0.767637
          640            1  5.53724e+09     0.234312    0.0476698     0.712342
          640            2  1.10745e+10     0.221485    0.0437908     0.692873
          640            3  1.66117e+10     0.213975    0.0415827     0.680716
          640            4   2.2149e+10     0.208635    0.0400421     0.671741
          650          0.1  5.47595e+08      0.28198    0.0642982     0.779287
          650            1  5.47595e+09     0.238562    0.0497324     0.725623
          650            2  1.09519e+10     0.225727    0.0457297     0.706673
          650            3  1.64279e+10     0.218204    0.0434504     0.694833
          650            4  2.19038e+10     0.212853      0.04186     0.686087
          660          0.1  5.41644e+08     0.300153    0.0676499       0.7892
          660            1  5.41644e+09     0.252158     0.052286     0.737368
          660            2  1.08329e+10     0.238121    0.0480774     0.718992
          660            3  1.62493e+10     0.229925    0.0456834     0.707495
          660            4  2.16658e+10      0.22411    0.0440139     0.698995
          670          0.1  5.35862e+08     0.304691    0.0702979     0.799795
          670            1  5.35862e+09     0.256882    0.0544858     0.749584
          670            2  1.07172e+10     0.242822    0.0501434     0.731718
          670            3  1.60759e+10     0.234597    0.0476712     0.720526
          670            4  2.14345e+10     0.228755    0.0459465     0.712245
          680          0.1  5.30242e+08     0.309519    0.0727967     0.809602
          680            1  5.30242e+09     0.261643    0.0565901     0.761047
          680            2  1.06048e+10     0.247512    0.0521278     0.743705
          680            3  1.59073e+10     0.239233    0.0495848     0.732826
          680            4  2.12097e+10     0.233348    0.0478099      0.72477
          690          0.1  5.24778e+08     0.315351     0.075534      0.81913
          690            1  5.24778e+09     0.267154    0.0588657      0.77219
          690            2  1.04956e+10     0.252881    0.0542659      0.75536
          690            3  1.57433e+10     0.244509    0.0516424     0.744787
          690            4  2.09911e+10     0.238554    0.0498104     0.736951
          700          0.1  5.19461e+08     0.319541    0.0782329     0.828354
          700            1  5.19461e+09      0.27161    0.0611411      0.78299
          700            2  1.03892e+10     0.257343    0.0564109     0.766662
          700            3  1.55838e+10     0.248958      0.05371     0.756388
          700            4  2.07784e+10     0.242986    0.0518227     0.748767
          800          0.1  4.73213e+08     0.383086     0.107817     0.897296
          800            1  4.73213e+09     0.330871    0.0859827     0.866294
          800            2  9.46425e+09     0.314954     0.079842     0.854783
          800            3  1.41964e+10      0.30554    0.0763184      0.84745
          800            4  1.89285e+10       0.2988    0.0738466     0.841965
          900          0.1   4.3659e+08     0.455831     0.142024     0.938499
          900            1   4.3659e+09     0.397352     0.114772     0.917964
          900            2  8.73179e+09     0.379428     0.107062     0.910186
          900            3  1.30977e+10     0.368808     0.102613     0.905165
          900            4  1.74636e+10     0.361162    0.0994806     0.901389
         1000          0.1  4.06693e+08     0.502911     0.175869     0.963415
         1000            1  4.06693e+09     0.445752     0.144299     0.950083
         1000            2  8.13387e+09      0.42811     0.135311     0.944928
         1000            3  1.22008e+10     0.417461     0.130062     0.941571
         1000            4  1.62677e+10     0.409707     0.126357     0.939042
         1100          0.1  3.81695e+08     0.491738     0.199631     0.978421
         1100            1  3.81695e+09     0.448926     0.168106     0.969937
         1100            2   7.6339e+09     0.434689     0.158836     0.966647
         1100            3  1.14509e+10     0.426239     0.153425     0.964467
         1100            4  1.52678e+10     0.420097     0.149553     0.962789
         1200          0.1  3.60387e+08     0.540307     0.235023     0.986851
         1200            1  3.60387e+09     0.496802     0.199043     0.981371
         1200            2  7.20774e+09     0.482416     0.188843      0.97925
         1200            3  1.08116e+10     0.473941      0.18275     0.977807
         1200            4  1.44155e+10     0.467683     0.178348     0.976693
         1300          0.1   3.4194e+08     0.606685     0.278278     0.991756
         1300            1   3.4194e+09     0.557629     0.235815     0.988292
         1300            2   6.8388e+09     0.542901      0.22403     0.986864
         1300            3  1.02582e+10     0.534081     0.216818     0.985887
         1300            4  1.36776e+10     0.527358     0.211609     0.985142
         1400          0.1  3.25765e+08     0.468117     0.258411     0.995192
         1400            1  3.25765e+09     0.447664     0.227908     0.993177
         1400            2  6.51531e+09     0.440998     0.219083       0.9923
         1400            3  9.77296e+09     0.436862     0.213545     0.991698
         1400            4  1.30306e+10     0.433665     0.209519     0.991241
         1500          0.1  3.11433e+08     0.612742     0.322256     0.996758
         1500            1  3.11433e+09     0.554781     0.283056     0.995472
         1500            2  6.22866e+09     0.546807     0.270195     0.994815
         1500            3  9.34299e+09     0.541297      0.26232     0.994394
         1500            4  1.24573e+10     0.536669     0.256786     0.994086
         1600          0.1   2.9862e+08     0.452212     0.278752     0.998087
         1600            1   2.9862e+09     0.421387     0.253325     0.997344
         1600            2  5.97239e+09     0.418268     0.244354     0.996936
         1600            3  8.95859e+09     0.416227     0.238783     0.996677
         1600            4  1.19448e+10     0.414534     0.234866     0.996489
         1700          0.1  2.87077e+08     0.387008      0.24854     0.998851
         1700            1  2.87077e+09     0.338376     0.225056     0.998385
         1700            2  5.74154e+09     0.335135     0.219873     0.998192
         1700            3  8.61232e+09     0.333855     0.216455      0.99804
         1700            4  1.14831e+10     0.333063     0.213801     0.997915
         1800          0.1  2.76612e+08     0.670364     0.422925     0.999121
         1800            1  2.76612e+09     0.652286     0.382117     0.998789
         1800            2  5.53224e+09     0.650939     0.365367     0.998556
         1800            3  8.29836e+09     0.649766     0.354244     0.998407
         1800            4  1.10645e+10     0.647362     0.346303     0.998303
         1900          0.1  2.67069e+08      0.51138     0.351013     0.999479
         1900            1  2.67069e+09     0.505977     0.326254     0.999279
         1900            2  5.34137e+09     0.505647      0.31471     0.999124
         1900            3  8.01206e+09     0.505411     0.306746     0.999024
         1900            4  1.06827e+10        0.504     0.300985     0.998956
         2000          0.1  2.58323e+08     0.286484     0.209078     0.999704
         2000            1  2.58323e+09     0.285057     0.199612     0.999624
         2000            2  5.16645e+09     0.284599     0.195818     0.999544
         2000            3  7.74968e+09     0.283666     0.192813     0.999481
         2000            4  1.03329e+10      0.28082     0.190381     0.999433
         2100          0.1  2.50271e+08     0.954401     0.537901     0.999801
         2100            1  2.50271e+09     0.732331     0.473017     0.999581
         2100            2  5.00542e+09     0.676038     0.442152     0.999522
         2100            3  7.50813e+09     0.660466     0.427793     0.999499
         2100            4  1.00108e+10     0.653338     0.419374     0.999483
         2200          0.1  2.42829e+08     0.924881        0.497     0.999879
         2200            1  2.42829e+09     0.612424     0.432871     0.999712
         2200            2  4.85658e+09     0.581887     0.405037     0.999684
         2200            3  7.28487e+09     0.573769     0.393155     0.999674
         2200            4  9.71315e+09     0.570082     0.386457     0.999666
         2300          0.1  2.35925e+08     0.785965     0.383744      0.99993
         2300            1  2.35925e+09     0.439177     0.336397     0.999809
         2300            2   4.7185e+09     0.423498     0.314182     0.999796
         2300            3  7.07775e+09     0.419623     0.305207     0.999792
         2300            4    9.437e+09     0.417898     0.300346     0.999789
         2400          0.1    2.295e+08     0.760409     0.374565     0.999951
         2400            1    2.295e+09     0.494208     0.355951     0.999895
         2400            2  4.58999e+09     0.429421     0.333112      0.99985
         2400            3  6.88499e+09     0.415091     0.318071     0.999838
         2400            4  9.17998e+09     0.409541     0.308849     0.999834
         2500          0.1  2.23501e+08     0.568849     0.246047     0.999971
         2500            1  2.23501e+09     0.311752      0.23769     0.999938
         2500            2  4.47002e+09     0.269602     0.222233       0.9999
         2500            3  6.70504e+09     0.261979     0.210612     0.999893
         2500            4  8.94005e+09     0.259379     0.203566     0.999892
         2600          0.1  2.17886e+08      1.37552     0.875883     0.999965
         2600            1  2.17886e+09     0.968513     0.612319     0.999928
         2600            2  4.35772e+09     0.963016     0.579663     0.999927
         2600            3  6.53658e+09     0.961326     0.568018     0.999926
         2600            4  8.71544e+09      0.96047     0.561735     0.999924
         2700          0.1  2.12616e+08      1.07264     0.827787     0.999967
         2700            1  2.12616e+09     0.921201     0.550239     0.999953
         2700            2  4.25232e+09     0.919108     0.527878     0.999953
         2700            3  6.37848e+09     0.918394     0.519996     0.999952
         2700            4  8.50464e+09     0.917991     0.515756     0.999951
         2800          0.1  2.07658e+08     0.929422     0.734068     0.999968
         2800            1  2.07658e+09     0.893382     0.499015     0.999969
         2800            2  4.15316e+09     0.892512     0.484365     0.999969
         2800            3  6.22975e+09     0.892166     0.479203     0.999968
         2800            4  8.30633e+09     0.891937     0.476416     0.999968
         2900          0.1  2.02984e+08     0.847066     0.592449     0.999979
         2900            1  2.02984e+09     0.838294     0.432173     0.999979
         2900            2  4.05968e+09      0.83793     0.422845     0.999979
         2900            3  6.08953e+09     0.837752      0.41957     0.999979
         2900            4  8.11937e+09     0.837613     0.417807     0.999979
         3000          0.1  1.98569e+08      0.63768     0.406367     0.999986
         3000            1  1.98569e+09     0.635146     0.303184     0.999986
         3000            2  3.97137e+09     0.635016      0.29733     0.999986
         3000            3  5.95706e+09     0.634948     0.295323     0.999986
         3000            4  7.94274e+09     0.634892     0.294278     0.999986
