Pressure (atm),Temperature (K),colrel_FactorOne_W4->P2,colrel_FactorOne_P1->P2,colrel_FactorOne_W4->P1,colrel_FractionOne_W4->P2,colrel_FractionOne_P1->P2,colrel_FractionOne_W4->P1
0.1,3000.0,0.563505322891336,7.51384970874861e-06,-0.6948840486975078,0.5190175578581628,-2.231474064721481e-06,1.0195385465694218
0.5,250.0,0.08435914403693168,0.012568796815619792,-0.2731316572091919,0.004138999630889417,-0.0005894236642860623,1.0225331001145979
0.5,260.0,0.06962938028611652,0.012095483666344192,-0.3048877298025963,0.003706614095745086,-0.0007831295629546573,1.0214462174273498
0.5,270.0,0.0582638050366198,0.011658362841907077,-0.3299335343373558,0.0031551158663339187,-0.0009114466363392861,1.0203684442356933
0.5,280.0,0.05350635869929313,0.011247139727003969,-0.3510807854645786,0.0032417355260628247,-0.0009087740553657766,1.0197455371993747
0.5,290.0,0.05207089937470651,0.010851056129051772,-0.3691949000464246,0.0034821805059552756,-0.0008700078333609547,1.0192809692233933
0.5,300.0,0.05220112938772021,0.010461119129123387,-0.38476083667255645,0.0037166165017980266,-0.0008393620412036298,1.0188150422484525
0.5,310.0,0.05348465122038121,0.010074362854659099,-0.39824272741479694,0.00399621514141493,-0.000820918100383665,1.0183257435590873
0.5,320.0,0.0559698510066121,0.009692774023516707,-0.4100891341898123,0.00439788936675277,-0.0008062944008969748,1.0178391342384636
0.5,330.0,0.05972977035431985,0.009320479914832492,-0.4206848982758801,0.004959511420843002,-0.0007882371471147438,1.0173809789234818
0.5,340.0,0.06475472568801185,0.00896150838317706,-0.4303264015914827,0.005682928625437514,-0.0007638613454661439,1.0169633623237366
0.5,350.0,0.07097224573871745,0.008618659374979685,-0.4392236026097009,0.00655420926544584,-0.0007336802857547317,1.0165865696370888
0.5,360.0,0.07828812478305998,0.008293246985958846,-0.4475163728031038,0.007559530639749439,-0.0006998158235244617,1.0162445700978084
0.5,370.0,0.08661320885078468,0.007985319850260379,-0.4552944468589955,0.008692408915155062,-0.0006646402698730362,1.0159295346360102
0.5,380.0,0.09587264914587557,0.007694054778925102,-0.46261514154516664,0.009954432140261212,-0.0006300596911540358,1.0156344213028237
0.5,390.0,0.10600401708905381,0.007418146289905438,-0.46951672291797875,0.011352718421087635,-0.0005972849655368087,1.0153539907349431
0.5,400.0,0.11695096462189589,0.007156113930190652,-0.4760273792210285,0.012896507217655801,-0.0005668807919713413,1.015084877096861
0.5,410.0,0.12865676585184055,0.006906509347285997,-0.4821706330293979,0.01459420868005441,-0.0005389310240983097,1.0148252233519441
0.5,420.0,0.1410597675939231,0.006668034582049978,-0.48796822089166225,0.016451418538923488,-0.0005132227694984731,1.014574199719426
0.5,430.0,0.15409123226842897,0.006439593526105955,-0.49344134991213084,0.01846992619149235,-0.0004894019466089854,1.0143315681034681
0.5,440.0,0.16767524914116175,0.006220298918324863,-0.49861102014716757,0.02064752229883094,-0.00046708471195620844,1.014097354089425
0.5,450.0,0.18173008979318386,0.006009453390831351,-0.5034978825725946,0.022978350129709182,-0.0004459260503521831,1.01387163266922
0.5,460.0,0.19617037003875612,0.005806518097932045,-0.5081219246762949,0.025453564685299312,-0.0004256539881868325,1.0136544089703419
0.5,470.0,0.21090949703001718,0.00561107788409058,-0.5125021472928066,0.02806211588029398,-0.00040607954765047347,1.013445567999543
0.5,480.0,0.22586203388002368,0.005422808324271241,-0.516656311176108,0.030791529464257197,-0.0003870915433798128,1.0132448689228242
0.5,490.0,0.24094575740919552,0.005241447370741473,-0.5206007798328637,0.033628609250308396,-0.0003686433175798011,1.0130519643715896
0.5,500.0,0.2560832985550363,0.005066772621552513,-0.524350456362577,0.03656002233738215,-0.0003507364041628493,1.0128664308581756
0.5,510.0,0.271203336073889,0.0048985841829599875,-0.5279187983621979,0.03957275544664108,-0.00033340430490266804,1.0126878013026666
0.5,520.0,0.28624136618345997,0.004736692534613587,-0.5313178903892684,0.04265444715320121,-0.0003166981747358275,1.0125155944814412
0.5,530.0,0.3011401000747753,0.004580910560035393,-0.5345585539611345,0.04579361007446201,-0.0003006752371932738,1.0123493389012894
0.5,540.0,0.3158495542136538,0.004431048854383838,-0.5376504779748198,0.04897976120464558,-0.00028539011577078977,1.0121885903577887
0.5,550.0,0.33032690057075315,0.004286913481197715,-0.5406023561868385,0.052203479377250596,-0.0002708888904926857,1.01203294347853
0.5,560.0,0.3445361396292385,0.004148305462988566,-0.543422022110288,0.05545640765245218,-0.00025720549537673647,1.011882038091057
0.5,570.0,0.35844765129204426,0.0040150214216199045,-0.5461165749436174,0.05873121621917584,-0.00024435999988398505,1.0117355614641141
0.5,580.0,0.3720376697149873,0.003886854912677055,-0.5486924927766631,0.062021538800955525,-0.00023235831958476843,1.0115932474779592
0.5,590.0,0.38528771893339475,0.0037635981133267746,-0.5511557313142135,0.06532189294929014,-0.00022119294455674843,1.011454873675987
0.5,600.0,0.3981840376835728,0.0036450436195679162,-0.553511807788239,0.068627592216271,-0.00021084433691309214,1.0113202569961857
0.5,610.0,0.410717014418723,0.003530986187587843,-0.555765870684596,0.07193465612429728,-0.00020128271679510786,1.0111892488141334
0.5,620.0,0.42288064731513486,0.0034212243143529096,-0.557922756498297,0.07523972212743855,-0.0001924700210358855,1.011061729771847
0.5,630.0,0.4346720390376951,0.0033155615984379497,-0.5599870350426126,0.07853996237584994,-0.00018436187636025188,1.0109376047289262
0.5,640.0,0.44609093208462464,0.00321380785501514,-0.5619630449506497,0.0818330070187024,-0.00017690947722527142,1.0108167980585467
0.5,650.0,0.4571392875197059,0.0031157799819952134,-0.5638549209894606,0.08511687496912507,-0.0001700612976729624,1.0106992494213025
0.5,660.0,0.4678209076739458,0.0030213025893174573,-0.5656666147017229,0.0883899124614001,-0.0001637645965940745,1.0105849100818198
0.5,670.0,0.4781411018141003,0.002930208412802025,-0.5674019097388626,0.09165073931338748,-0.00015796669879034625,1.010473739784134
0.5,680.0,0.488106392699069,0.0028423385386904124,-0.5690644330747923,0.09489820252769406,-0.0001526160503834323,1.0103657041679532
0.5,690.0,0.49772426126382935,0.002757542467068817,-0.5706576631106152,0.09813133669094877,-0.00014766305839584434,1.0102607726864365
0.5,700.0,0.5070029262875142,0.0026756780419318255,-0.5721849355088192,0.10134933053484899,-0.00014306073144440117,1.010158916973395
0.5,800.0,0.5831661893074614,0.001992426934420856,-0.5844682838655418,0.13258470323333674,-0.00010838289846929803,1.009303183946432
