Pressure (atm),Temperature (K),B7_Energy_1_P3->P4,B7_Energy_1_P3->P5,B7_Energy_1_P3->W3,B7_Energy_1_P4->P5,B7_Energy_1_P1->P3,B7_Energy_1_W3->P5,B7_Energy_1_W3->P4,B7_Energy_1_W3->P1,B7_Energy_1_W3->P3,B7_Energy_1_P5->W3,B7_Energy_1_P1->W3,B7_Energy_1_P4->W3,B7_Energy_1_P1->P4,B7_Energy_1_P1->P5
1.0,420.0,-0.0005542289322128346,-3.74066555583331e-05,2.7324467077786033e-05,-5.885304724944782e-05,-3.0706417464576882e-06,0.015719139862754458,6.30930877114504e-05,9.262330357422738e-06,2.3902578300737012e-05,0.01573147646916706,1.1264735080491466e-05,6.0266935689675286e-05,0.00036478465351531803,-1.2257281671252638e-05
1.0,430.0,-0.0008688576288922636,-4.763428346847163e-05,6.131907658591976e-05,-7.354459567316769e-05,-3.6388690167570516e-06,0.01368559319832332,0.00013496567470964665,2.394109977232912e-05,5.664748432419172e-05,0.013696499725228881,2.6273676296819874e-05,0.00013121665596114773,0.00031002183246516506,-1.7657725484847592e-05
1.0,440.0,-0.0010300008056216433,-6.136069829714527e-05,8.561729018241732e-05,-9.266932250890733e-05,-3.6045839133334982e-06,0.01133338111969271,0.00018574102844827735,3.4626493268398793e-05,7.993257985295197e-05,0.011342289337082914,3.728601373209646e-05,0.00018136893717991668,0.00021165567806646153,-2.322440865611785e-05
1.0,450.0,-0.0010262801610702794,-7.888214406446258e-05,9.846071059811136e-05,-0.00011659219967541489,-2.9681078078821057e-06,0.00887213378168602,0.00021175363039272138,4.0513374310357344e-05,9.205118579445877e-05,0.008878677775704271,4.348058715243593e-05,0.00020710013398295095,8.702001598858837e-05,-2.900698614714949e-05
1.0,460.0,-0.0008664174785699368,-0.00010035707909147037,9.974970452438506e-05,-0.00014552364332520753,-1.7833695853202225e-06,0.006471836210829277,0.00021289446029816426,4.1502549214648075e-05,9.291928164967051e-05,0.006475843662737857,4.4743525324760595e-05,0.00020829957247843586,-4.537724779543169e-05,-3.515753739353457e-05
1.0,470.0,-0.00057328585543281,-0.0001258497264273381,9.06541840585304e-05,-0.0001795697572622038,-1.3613384973459187e-07,0.004259365928729892,0.000191768597052932,3.804151880969867e-05,8.369333653948629e-05,0.004260835455621473,4.1510038776107604e-05,0.00018753707381602612,-0.00016829278462469273,-4.189949833204692e-05
1.0,480.0,-0.00017792564169752886,-0.00015537139912155394,7.3193260480149e-05,-0.0002187783204537819,1.8758341229762188e-06,0.0023201381085824306,0.00015278879343484945,3.094962779871783e-05,6.635797279743924e-05,0.00231920902034463,3.459017901906396e-05,0.00014916735029652845,-0.00026740917416728116,-4.949758281275041e-05
1.0,490.0,0.0002857544672305374,-0.00018891490604369774,4.984419935450607e-05,-0.00026317566193809623,4.158886943325423e-06,0.0007028416035703259,0.00010133419224255529,2.1253591680602257e-05,4.334269025266327e-05,0.0006997609125300536,2.5004603694159874e-05,9.849890204030453e-05,-0.0003322574023507366,-5.823199760895186e-05
1.0,500.0,0.0007852222098662931,-0.00022648001517645914,2.3214158892372016e-05,-0.00031279266139654837,6.635221551133101e-06,-0.0005742816376721424,4.304549501570191e-05,1.0048068922130614e-05,1.7200418633674108e-05,-0.0005791915514234863,1.38450947181119e-05,4.1097847706878864e-05,-0.00035651623817318373,-6.837839965434406e-05
1.0,510.0,0.0012923969475891392,-0.0002680897854597866,-4.211678643605175e-06,-0.00036768015684441756,9.25027994466077e-06,-0.0015167130258982196,-1.6714710793356427e-05,-1.6124693015257774e-06,-9.638836160890495e-06,-0.0015230839084094578,2.1661641455215757e-06,-1.774498666178842e-05,-0.00033783602692455297,-8.019378847772595e-05
1.0,520.0,0.0017856051441341488,-0.0003137986976057517,-3.024527934788738e-05,-0.0004279152179443006,1.1976331176571167e-05,-0.002147209101139441,-7.323624295169885e-05,-1.2790010937575149e-05,-3.503903453899358e-05,-0.0021546522529195212,-9.0916160270282e-06,-7.338354075122324e-05,-0.00027733627825842004,-9.390777370901665e-05
1.0,530.0,0.002250560877212465,-0.0003636940860433484,-5.3101889024998894e-05,-0.000493600278553184,1.4812955435388691e-05,-0.0025000511635264117,-0.000122687004769433,-2.271030782258736e-05,-5.72614114415786e-05,-0.0025081782882662544,-1.914938816179063e-05,-0.00012203916133014381,-0.00017891075187758255,-0.00010971828174306507
1.0,540.0,0.0026805593636905468,-0.0004178925619374304,-7.144875886771713e-05,-0.0005648572234314491,1.7785208480852936e-05,-0.0026161979955604455,-0.0001622152851377008,-3.0785877975924274e-05,-7.501151623529279e-05,-0.002624637449078026,-2.7413502372068516e-05,-0.00016090136860650423,-4.844966649749417e-05,-0.00012779064840386017
1.0,550.0,0.0030760798430060497,-0.00047653305924546255,-8.44093487784085e-05,-0.0006418183611035018,2.0940203877577143e-05,-0.0025393976373549623,-0.00018995651409234313,-3.661997993345084e-05,-8.744265852053333e-05,-0.0025478063748046015,-3.3479967217809645e-05,-0.00018813426955982386,0.00010693771978595677,-0.0001482590880384687
1.0,560.0,0.003443981042651649,-0.0005397679382671679,-9.153541778358534e-05,-0.0007246159138688014,2.4342755347307138e-05,-0.002313218871379535,-0.0002049712320485131,-3.9996702248659866e-05,-9.412795490068778e-05,-0.002321290574603057,-3.712497628858183e-05,-0.0002028150671071666,0.0002796418820600194,-0.00017122966067962511
1.0,570.0,0.0037964477726253353,-0.0006077533198777689,-9.275797244912834e-05,-0.0008133713038941531,2.8070603071848242e-05,-0.0019789081339897834,-0.00020713789542486344,-4.086175716492994e-05,-9.501174863485628e-05,-0.001986378086845595,-3.828608486161311e-05,-0.00020482800903085188,0.00046217648720076906,-0.00019678402699746235
1.0,580.0,0.00414981784536569,-0.0006806395488547228,-8.832617125760317e-05,-0.0009081851664290811,3.2209626150374425e-05,-0.001573951274641242,-0.0001970200852043013,-3.929781545888692e-05,-9.034932752102343e-05,-0.0015805985725790067,-3.703786643124148e-05,-0.00019473310756103735,0.0006476873407273217,-0.00022498345320519418
1.0,590.0,0.0045233889386464615,-0.0007585624269526723,-7.874132231417525e-05,-0.001009128709015009,3.684933072445303e-05,-0.0011312125245310472,-0.00017572345062377638,-3.5497417975112355e-05,-8.06419353916247e-05,-0.0011368601792528387,-3.3565083076027355e-05,-0.00017362477303043853,0.0008303409175974991,-0.0002558726860418416
