Pressure (atm),Temperature (K),B1_Frequencies_1_P1->P2,B1_Energy_1_P1->P2,W1_Frequencies_1_P1->P2,P2_Frequencies_1_P1->P2,colrel_Epsilons_P1->P2,B2_Energy_1_P1->P2,B2_SymmetryFactor_1_P1->P2,colrel_PowerOne_P1->P2,colrel_FactorOne_P1->P2,B2_ImaginaryFrequency_1_P1->P2,W1_Energy_1_P1->P2,P2_Energy_1_P1->P2,B2_Frequencies_1_P1->P2,P1_SymmetryFactor_1_P1->P2,P1_Frequencies_1_P1->P2,W1_SymmetryFactor_1_P1->P2,P1_Energy_1_P1->P2,P2_SymmetryFactor_1_P1->P2,B1_SymmetryFactor_1_P1->P2,colrel_Sigmas_P1->P2
0.1,1100.0,-4.653539827945493e-05,-6.2956225965769655e-06,0.0,0.0,0.0,-0.4574685404028392,-0.9999687233439402,0.0,0.0,0.3309422409058506,0.0,0.0,-3.3406438053236887,1.0000062065057065,1.4313477269177681,0.0,0.457476063620368,0.0,-2.2336646110426433e-05,0.0
0.1,1200.0,-8.620128231990352e-05,-1.01628111964187e-05,0.0,0.0,0.0,-0.4193452658837711,-0.9999610391266038,0.0,0.0,0.2786510332766192,0.0,0.0,-3.5725946727061335,1.0000047288128293,1.61444785590814,0.0,0.41935337690849406,0.0,-3.3506756954315696e-05,0.0
0.1,1300.0,-0.0001431141337788635,-1.3972404441943871e-05,0.0,0.0,0.0,-0.3870867098479421,-0.9999508313468016,0.0,0.0,0.23773584469592862,0.0,0.0,-3.785352620038714,1.0000035272783188,1.788000974099183,0.0,0.3870957919922141,0.0,-4.7441089227810974e-05,0.0
0.1,1400.0,-0.00021446327015504118,-1.7543087520277248e-05,0.0,0.0,0.0,-0.3594361026637661,-0.9999384437290336,0.0,0.0,0.2051263843352783,0.0,0.0,-3.9807143946362564,1.0000026019654715,1.9518429160216604,0.0,0.35944646266181507,0.0,-6.353267876638059e-05,0.0
0.1,1500.0,-0.0002973149485476403,-2.078351164782835e-05,0.0,0.0,0.0,-0.3354718366192329,-0.9999242815449898,0.0,0.0,0.17872314073866497,0.0,0.0,-4.160391102870821,1.0000019310776411,2.106143817058752,0.0,0.33548370815143763,0.0,-8.12257229427574e-05,0.0
0.1,1600.0,-0.0003889597097739374,-2.3658370924378258e-05,0.0,0.0,0.0,-0.3145027207808804,-0.9999087411220604,0.0,0.0,0.15705096021375403,0.0,0.0,-4.3259604697225855,1.0000014843259297,2.2512705459974964,0.0,0.31451627433849,0.0,-0.00010004523285289413,0.0
0.1,1700.0,-0.00048704573709662763,-2.616559739752025e-05,0.0,0.0,0.0,-0.2960002064481679,-0.9998921784005974,0.0,0.0,0.1390486265984227,0.0,0.0,-4.478850427124787,1.0000012297759064,2.387697229966572,0.0,0.2960155605119609,0.0,-0.00011960107244273825,0.0
0.1,1800.0,-0.0005896045419844113,-2.832173889478048e-05,0.0,0.0,0.0,-0.27955320548216456,-0.9998748982621868,0.0,0.0,0.12393676405568806,0.0,0.0,-4.620339368957239,1.0000011371434656,2.5159479830755784,0.0,0.2795704369441203,0.0,-0.00013958088449502316,0.0
0.1,1900.0,-0.0006950268553551042,-3.015286523825318e-05,0.0,0.0,0.0,-0.264837177500738,-0.9998571542225068,0.0,0.0,0.11113245524256458,0.0,0.0,-4.751564730123209,1.0000011791976002,2.636560917052727,0.0,0.26485633062006647,0.0,-0.00015973913642401916,0.0
0.1,2000.0,-0.0008020189232010205,-3.1689058593573354e-05,0.0,0.0,0.0,-0.2515924915770564,-0.9998391528204708,0.0,0.0,0.10019260702793309,0.0,0.0,-4.873535223762331,1.0000013321810224,2.7500660966354467,0.0,0.25161358536281975,0.0,-0.00017988568799730988,0.0
