Pressure (atm),Temperature (K),colrel_FactorOne_W1->R,colrel_FactorOne_R->P4,colrel_FactorOne_W1->P3,colrel_FactorOne_W1->P2,colrel_FactorOne_W1->P1,colrel_FactorOne_W1->P7,colrel_FactorOne_W1->P6,colrel_FactorOne_W1->P5,colrel_FactorOne_W1->P4,colrel_FactorOne_P5->P6,colrel_FactorOne_P5->P7,colrel_FactorOne_P6->P7,colrel_FactorOne_P3->P4,colrel_FactorOne_P3->P5,colrel_FactorOne_P3->P6,colrel_FactorOne_P3->P7,colrel_FactorOne_P1->P2,colrel_FactorOne_P1->P3,colrel_FactorOne_P1->P6,colrel_FactorOne_P1->P7,colrel_FactorOne_P1->P4,colrel_FactorOne_P1->P5,colrel_FactorOne_R->P6,colrel_FactorOne_R->P2,colrel_FactorOne_R->P3,colrel_FactorOne_R->P1,colrel_FactorOne_P4->P7,colrel_FactorOne_P4->P6,colrel_FactorOne_P4->P5,colrel_FactorOne_R->P5,colrel_FactorOne_P2->P3,colrel_FactorOne_P2->P5,colrel_FactorOne_P2->P4,colrel_FactorOne_P2->P7,colrel_FactorOne_P2->P6
0.3,570.0,0.598527329659151,-0.4252217862817053,0.0901258365612041,0.24661975839050754,0.4172176519394754,0.45592019002738166,8.889685399746503,1.8751819270071193,0.09349710897006622,-0.004358246259273294,-1.8696474268338322e-05,-2.353792322896345e-05,-0.7815925390868553,-0.07778435423246277,-0.0012115153094820524,-6.557186935499023e-06,-0.5688540334091364,-0.6816362675090125,-0.0003067249892315695,-1.7286382983768717e-06,-0.6237621286140423,-0.08440991583585136,-0.0014777802675553882,-0.3828727909127855,-0.4784904629444731,-0.445664639401213,-1.6399529262181722e-05,-0.0021381124705444404,-0.07719483526515278,-0.08239192884442918,-0.6828343291016391,-0.07722067076726954,-0.6024764597833587,-1.4077076616134545e-05,-0.0023418457796752453
0.3,580.0,0.6096285125119002,-0.4119984676061647,0.09638625166348144,0.2567131586334049,0.4245324777507358,0.4697746247962412,8.809686754721293,1.8819693679469014,0.10225669313934346,-0.004218392315497213,-1.918983587940016e-05,-2.3729723194113474e-05,-0.7628658237886105,-0.07416691029002755,-0.0011638131481558484,-6.208253097922602e-06,-0.5556366276448295,-0.6691348064728248,-0.0002742772806849124,-1.679678591248599e-06,-0.6105746350737647,-0.080579705318532,-0.001422606734860635,-0.37028812152088825,-0.4651252570035632,-0.43436490320621585,-1.6911744223685938e-05,-0.0020709540218753187,-0.07354868842674442,-0.07871011881958659,-0.6649142652161617,-0.0735667893549613,-0.584264295586733,-1.4294513952618549e-05,-0.0022700927190728794
0.3,590.0,0.6205472946189797,-0.399145436420499,0.1027870534796323,0.2668079869787068,0.43177770047664626,0.4832607890928252,8.73092040308348,1.8884964962442932,0.11120915043136222,-0.004082784354989073,-1.9639058960562252e-05,-2.3846102107597783e-05,-0.7443756305379187,-0.07072072602754266,-0.001118178825703693,-5.866423359922325e-06,-0.5426247913363662,-0.6568024503597234,-0.0002438311157885267,-1.6363134634022663e-06,-0.5975605758957242,-0.07692463031135591,-0.0013695219159226423,-0.3580884034021989,-0.4520978386972202,-0.4233326325502832,-1.7403811708205122e-05,-0.002005974255516018,-0.07008026243681507,-0.07520642786448659,-0.6472891295318056,-0.07009357371098134,-0.5664336263639481,-1.4496913335644356e-05,-0.0022006059488489933
0.3,600.0,0.6312855723428719,-0.38665494527608196,0.10931404588612861,0.2768927815324831,0.43895144637680855,0.4963942547779136,8.65341340077837,1.8947795102118048,0.12032525963480269,-0.003951328068171665,-2.0043794218828343e-05,-2.388554580626531e-05,-0.7261319094622646,-0.0674377971377058,-0.001074525528425763,-5.534775744553835e-06,-0.5298191812700558,-0.6446365322854172,-0.00021528716130541254,-1.5968334841957146e-06,-0.5847206277304798,-0.07343676001820967,-0.0013184440276819988,-0.34626406546488053,-0.43940164056481273,-0.4125622655377019,-1.7869253951399512e-05,-0.0019431048709686223,-0.06678095508749943,-0.07187179181506713,-0.6299648221444055,-0.0667920371169434,-0.5489876575448246,-1.4679747340134738e-05,-0.0021333138752370278
0.3,610.0,0.6418453933480323,-0.3745194471536801,0.11595341326941729,0.2869567818090956,0.44605179087727675,0.5091900024672823,8.577205171984836,1.9008355162266142,0.12957771444129515,-0.0038239291046571105,-2.0404206103617703e-05,-2.384837492784913e-05,-0.7081442176124499,-0.06431045350424595,-0.0010327686350031424,-5.2157339230317e-06,-0.5172208012448284,-0.6326347776456188,-0.0001885492008779847,-1.5598482226516653e-06,-0.5720559544738169,-0.07010850046192492,-0.0012692951696276233,-0.3348057612881704,-0.4270303423431811,-0.402048500461527,-1.830300160869465e-05,-0.0018822797902657033,-0.06364253117454344,-0.06869760405629766,-0.6129469257181005,-0.06365359616868266,-0.5319290692635873,-1.4839680794168174e-05,-0.0020681475831289316
0.3,620.0,0.6522289618261633,-0.3627315361116693,0.12269184055268034,0.29698998530223236,0.4530768488779394,0.5216623841345589,8.502342563387964,1.9066820627148255,0.138941168841864,-0.0037004929989904473,-2.072088105189826e-05,-2.3736379613187538e-05,-0.6904215735246353,-0.061331350841266515,-0.000992825916866642,-4.911153795436806e-06,-0.5048308532980272,-0.6207952611977342,-0.00016352429562419007,-1.5242460598804603e-06,-0.559568054892504,-0.06693258203520551,-0.001222001018084866,-0.3237043278382436,-0.41497780382208954,-0.39178624371956905,-1.870122926516382e-05,-0.0018234349784991832,-0.060657114972685396,-0.06567569547695151,-0.5962405698917603,-0.06067006071319148,-0.5152599192369304,-1.4974408732543644e-05,-0.002005040610498775
0.3,630.0,0.6624386375560234,-0.35128390175706514,0.12951660162606177,0.3069831801775785,0.46002484405278393,0.5338251085392248,8.428875869001208,1.9123367592438119,0.14839223913630056,-0.0035809251661635825,-2.099474722027484e-05,-2.3552499995689434e-05,-0.6729723441594933,-0.058493461976431106,-0.0009546176904180611,-4.622402780573234e-06,-0.492650614509008,-0.6091163627841426,-0.0001401228962449515,-1.4891563212539e-06,-0.547258632580797,-0.06390204763774135,-0.0011764905531668043,-0.31295075442907433,-0.40323801101369644,-0.38177056635454076,-1.906119632025423e-05,-0.0017665082978288312,-0.05781718175395672,-0.06279831486825632,-0.5798503286504586,-0.057833622875897564,-0.49898157698318374,-1.5082503218554082e-05,-0.0019439287538337575
0.3,640.0,0.6724769301547967,-0.34016929560381004,0.1364156211031498,0.31692795824208425,0.46689416016546215,0.5456912426052676,8.356855700016597,1.9178169713338564,0.1579094725438098,-0.0034651309517709007,-2.1227004812535318e-05,-2.330055044668432e-05,-0.6558041613077785,-0.05579006780394948,-0.0009180669267052178,-4.350431505514009e-06,-0.480681337013644,-0.5975967235104481,-0.00011825891279433021,-1.4539143634823119e-06,-0.535129486842677,-0.06101024128398189,-0.0011326958166309783,-0.30253616035374997,-0.39180503409601536,-0.3719966684446676,-1.9381097089124713e-05,-0.0017114393896528377,-0.05511554848655253,-0.06005810979791683,-0.5637801468525149,-0.05513684534478924,-0.4830946848626496,-1.5163272041374865e-05,-0.0018847499019681794
0.3,650.0,0.6823464897134411,-0.3293805074470366,0.14337751388778863,0.32681671197122114,0.4736833772526493,0.5572732236754515,8.286330578628634,1.9231395814402474,0.16747329071936115,-0.0033530157233500274,-2.1419066037214403e-05,-2.298498447017667e-05,-0.6389238640702233,-0.053214747951643694,-0.0008830993240196468,-4.09583794754227e-06,-0.4689241686511149,-0.5862352036488161,-9.784974795139359e-05,-1.4180299259553069e-06,-0.5231824227030425,-0.05825079709617401,-0.001090551698120988,-0.292451779696843,-0.38067299555053996,-0.36245985047808366,-1.9659922369795142e-05,-0.001658169580053885,-0.05254536385810652,-0.05744810799195571,-0.5480332919427522,-0.05257264907629058,-0.4675991415357959,-1.5216630817428681e-05,-0.0018274438952356861
0.3,660.0,0.6920500948373289,-0.3189103500169667,0.1503916065468314,0.3366426189465366,0.4803912952805097,0.5685828789230434,8.217345143296507,1.9283208068857134,0.17706591500399588,-0.003244484991257442,-2.1572503717277812e-05,-2.2610696573832004e-05,-0.6223374638768076,-0.05076137121714036,-0.0008496433485911964,-3.8589243186151364e-06,-0.4573800916405848,-0.5750308431151655,-7.881629920186451e-05,-1.3811588293274173e-06,-0.5114191780701917,-0.05561762862148073,-0.0010499957469102485,-0.28268895197023214,-0.36983604696519334,-0.35315549082441755,-1.9897333586792025e-05,-0.0016066418041543054,-0.05010009776532351,-0.05496169925489316,-0.5326123269742818,-0.050134300579442584,-0.45249410373468985,-1.5242988996452754e-05,-0.0017719524066999702
