========================================
ch3ar_W1_Energy_1_52.46385.out
0.1 atm
T,W1->R
490.0,1.76891e-25
500.0,1.15292e-24
510.0,6.97608e-24
520.0,3.93571e-23
530.0,2.07852e-22
540.0,1.03127e-21
550.0,4.82287e-21
560.0,2.1331e-20
570.0,8.9454e-20
580.0,3.5675e-19
590.0,1.35652e-18
600.0,4.92856e-18
610.0,1.71489e-17
620.0,5.72759e-17
630.0,1.83894e-16
640.0,5.6882e-16
650.0,1.69812e-15
660.0,4.89855e-15
670.0,1.36788e-14
680.0,3.70317e-14
690.0,9.72941e-14
700.0,2.48434e-13
800.0,7.70816e-10
900.0,3.70637e-07
1000.0,4.82157e-05
1100.0,0.00242307
1200.0,0.0596738
1300.0,0.849768
1400.0,7.87701
1500.0,51.8228
1600.0,258.309
1700.0,1025.43
1800.0,3369.41
1900.0,9448.92
2000.0,23182.8
2100.0,50744.4
2200.0,100772.0
2300.0,184172.0
2400.0,313263.0
2500.0,501248.0
2600.0,760717.0
2700.0,1103010.0
2800.0,1538830.0
2900.0,2075480.0
3000.0,2718440.0
========================================
ch3ar_W1_Energy_1_52.46385.out
4 atm
T,W1->R
300.0,2.70301e-51
310.0,3.78828e-49
320.0,3.9036e-47
330.0,3.04039e-45
340.0,1.83456e-43
350.0,8.76414e-42
360.0,3.37931e-40
370.0,1.07004e-38
380.0,2.8258e-37
390.0,6.30967e-36
400.0,1.20632e-34
410.0,1.99709e-33
420.0,2.89203e-32
430.0,3.69785e-31
440.0,4.20947e-30
450.0,4.29942e-29
460.0,3.96746e-28
470.0,3.32908e-27
480.0,2.55511e-26
490.0,1.80348e-25
500.0,1.17657e-24
510.0,7.12606e-24
520.0,4.02422e-23
530.0,2.12732e-22
540.0,1.0565e-21
550.0,4.94572e-21
560.0,2.18955e-20
570.0,9.19108e-20
580.0,3.66904e-19
590.0,1.39647e-18
600.0,5.07861e-18
610.0,1.7688e-17
620.0,5.91326e-17
630.0,1.90036e-16
640.0,5.88375e-16
650.0,1.75814e-15
660.0,5.07643e-15
670.0,1.41886e-14
680.0,3.8447e-14
690.0,1.01105e-13
700.0,2.58398e-13
800.0,8.08625e-10
900.0,3.91818e-07
1000.0,5.13212e-05
1100.0,0.00259486
1200.0,0.0642516
1300.0,0.919395
1400.0,8.55953
1500.0,56.5343
1600.0,282.798
1700.0,1126.3
1800.0,3711.84
1900.0,10437.7
2000.0,25673.1
2100.0,56326.0
2200.0,112097.0
2300.0,205268.0
2400.0,349771.0
2500.0,560551.0
2600.0,851953.0
2700.0,1236930.0
2800.0,1727620.0
2900.0,2332520.0
3000.0,3057980.0
========================================
ch3ar_W1_Energy_1_52.46385.out
0.1 atm
T,W1->P1
300.0,9.23516e-52
310.0,1.24939e-49
320.0,1.24161e-47
330.0,9.31329e-46
340.0,5.4094e-44
350.0,2.48456e-42
360.0,9.21441e-41
370.0,2.80299e-39
380.0,7.11025e-38
390.0,1.52519e-36
400.0,2.80042e-35
410.0,4.45756e-34
420.0,6.19727e-33
430.0,7.6226e-32
440.0,8.33533e-31
450.0,8.18456e-30
460.0,7.2701e-29
470.0,5.86693e-28
480.0,4.33098e-27
490.0,2.94277e-26
500.0,1.84998e-25
510.0,1.07925e-24
520.0,5.87525e-24
530.0,2.99842e-23
540.0,1.43567e-22
550.0,6.49933e-22
560.0,2.77469e-21
570.0,1.12796e-20
580.0,4.34446e-20
590.0,1.60251e-19
600.0,5.63157e-19
610.0,1.90045e-18
620.0,6.15984e-18
630.0,1.91499e-17
640.0,5.75485e-17
650.0,1.66955e-16
660.0,4.67063e-16
670.0,1.26725e-15
680.0,3.34195e-15
690.0,8.54128e-15
700.0,2.12071e-14
800.0,5.12231e-11
900.0,1.98507e-08
1000.0,2.13721e-06
1100.0,9.13206e-05
1200.0,0.0019434
1300.0,0.0243363
1400.0,0.201074
1500.0,1.18918
1600.0,5.3892
1700.0,19.6618
1800.0,59.4991
1900.0,155.085
2000.0,352.235
2100.0,725.399
2200.0,1375.37
2300.0,2359.52
2400.0,3844.14
2500.0,5742.79
2600.0,8342.1
2700.0,11978.6
2800.0,15581.9
2900.0,20416.9
3000.0,26825.5
========================================
ch3ar_W1_Energy_1_52.46385.out
0.5 atm
T,W1->P1
300.0,1.24586e-51
310.0,1.70982e-49
320.0,1.72307e-47
330.0,1.31063e-45
340.0,7.71711e-44
350.0,3.59263e-42
360.0,1.34997e-40
370.0,4.16063e-39
380.0,1.06896e-37
390.0,2.3219e-36
