Pressure (atm),Temperature (K),colrel_FactorOne_W4->P2,colrel_FactorOne_P1->P2,colrel_FactorOne_W4->P1
0.5,350.0,0.07048181602962689,0.008613841665650112,-0.43978225174915997
0.5,360.0,0.0778369573277692,0.008287210980020603,-0.44806186973700524
0.5,370.0,0.08636072713489736,0.007980305271770275,-0.4556319328163941
0.5,380.0,0.09587241571970614,0.007691415602879502,-0.4626673095380836
0.5,390.0,0.10622221128209686,0.007418255260385886,-0.4693082219131444
0.5,400.0,0.11730337534678692,0.007158580522779217,-0.4756455381947701
0.5,410.0,0.12904508212526303,0.006910505460314147,-0.4817247287568141
0.5,420.0,0.14139797116441644,0.0066725988195455435,-0.48755852800404537
0.5,430.0,0.1543199970536905,0.006443854367315963,-0.49314113002506327
0.5,440.0,0.16776610283836355,0.006223604132746727,-0.49846003874435746
0.5,450.0,0.18168252941900082,0.006011418512824685,-0.5035041828353483
0.5,460.0,0.19600513187501908,0.00580701663935621,-0.5082683850487602
0.5,470.0,0.21066052880005837,0.0056101965166723096,-0.5127549559053497
0.5,480.0,0.2255688861863146,0.005420786297724758,-0.5169733540528932
0.5,490.0,0.24064735599951367,0.005238614011827386,-0.5209387609494339
0.5,500.0,0.2558134799116718,0.005063491572949241,-0.5246702174007467
0.5,510.0,0.27098814037443086,0.00489520882909096,-0.5281887562326762
0.5,520.0,0.28609785684405264,0.00473353402365096,-0.5315157830753691
0.5,530.0,0.30107637700186995,0.004578217861614304,-0.5346718205129675
0.5,540.0,0.3158656083621047,0.0044289991862581195,-0.5376756387427678
0.5,550.0,0.3304159872264803,0.00428561095646142,-0.5405437406792357
0.5,560.0,0.3446864023651231,0.0041477857416122735,-0.5432901415864788
0.5,570.0,0.35864379114781053,0.004015260334304797,-0.5459263740463481
0.5,580.0,0.3722625145792106,0.0038877793368242214,-0.548461651233621
0.5,590.0,0.3855236008636727,0.0037650977334047933,-0.5509031298514174
0.5,600.0,0.39841392867685005,0.00364698255689045,-0.553256225077192
0.5,610.0,0.4109254036835702,0.003533213792530362,-0.5555249412398162
0.5,620.0,0.4230541662602466,0.0034235846779294404,-0.5577121923791577
0.5,630.0,0.4347998554068036,0.0033179015484504984,-0.5598200957155247
0.5,640.0,0.4461649435415593,0.003215983358843195,-0.5618502281760311
0.5,650.0,0.4571541490209532,0.003117660993169567,-0.5638038415405869
0.5,660.0,0.46777392754830655,0.003022776449630048,-0.5656820356820834
0.5,670.0,0.47803203969909985,0.0029311819687990927,-0.5674858920242488
0.5,680.0,0.48793718925897395,0.0028427391548011536,-0.5692165709891808
0.5,690.0,0.4974987256236591,0.002757318124259832,-0.5708753780917458
0.5,700.0,0.5067264028401806,0.002674796705672812,-0.5724638036623562
0.5,800.0,0.582796714754169,0.0019864313688921246,-0.5849357242694815
0.5,900.0,0.6354092315374223,0.0014906826708401173,-0.5929541538608811
0.5,1000.0,0.6712023923186341,0.0011287795373043838,-0.5986053466610612
0.5,1100.0,0.6949015915964301,0.0008611310244068856,-0.6029409794075806
0.5,1200.0,0.7098872412073559,0.0006609702241452529,-0.6063145361647594
0.5,1300.0,0.7185278322025955,0.0005099756501890845,-0.608833937110153
0.5,1400.0,0.7224488803091568,0.0003953316309673722,-0.6105852609859662
0.5,1500.0,0.7227618033107559,0.0003078712220883431,-0.6116898885572689
0.5,1600.0,0.7202396880820174,0.00024091872640770706,-0.6122941754592638
0.5,1700.0,0.7154395135211005,0.00018955110474191438,-0.6125456725582006
0.5,1800.0,0.7087812017457971,0.00015010759310375908,-0.612575238779111
0.5,1900.0,0.7005962574305034,0.00011985102486496279,-0.6124882719028865
0.5,2000.0,0.6911567492407853,9.672661176489134e-05,-0.6123629433886926
0.5,2100.0,0.6806923169001006,7.918655784923257e-05,-0.6122525355162589
0.5,2200.0,0.6694002014916495,6.60609493440676e-05,-0.6121896244080935
0.5,2300.0,0.6574513532168568,5.6462059645444016e-05,-0.6121906931083406
0.5,2400.0,0.6449943970261457,4.971317548066799e-05,-0.6122604181296577
0.5,2500.0,0.6321584521610747,4.529557447295716e-05,-0.6123953017434797
0.5,2600.0,0.6190553404198652,4.28089962664323e-05,-0.6125865693196282
