pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      4.46878    0.0187312
      4.34298    0.0227307
      4.21718    0.0275333
      4.09138    0.0332858
      3.96558    0.0401577
      3.83978    0.0483425
      3.71398    0.0580601
      3.58818    0.0695571
      3.46238    0.0831081
      3.33658    0.0990155
      3.21078     0.117608
      3.08498      0.13924
      2.95918     0.164279
      2.83337     0.193106
      2.70757     0.226091
      2.58177     0.263586
      2.45597     0.305891
      2.33017     0.353229
      2.20437     0.405705
      2.07857     0.463254
      1.95277     0.525579
      1.82697     0.592075
      1.70117     0.661731
      1.57537     0.733012
      1.44957     0.803706
      1.32377     0.870739
      1.19797     0.929911
      1.07217     0.975551
     0.946364            1
     0.820564      0.99292
     0.694763     0.940526
     0.568962     0.825946
     0.443162     0.635335
     0.317361      0.38148
      0.19156     0.144158
    0.0657595    0.0333737
   -0.0600412    0.0172121
    -0.185842    0.0103224
    -0.311643    0.0062538
    -0.437443   0.00382705
    -0.563244   0.00236047
    -0.689045    0.0014607
    -0.814845  0.000900755
    -0.940646  0.000549832
     -1.06645   0.00033071
     -1.19225  0.000195576
     -1.31805  0.000113637
     -1.44385  6.48529e-05
     -1.56965  3.63128e-05
     -1.69545  1.99399e-05
     -1.82125   1.0719e-05
     -1.94705  5.63067e-06
     -2.07285  2.88018e-06
     -2.19865  1.42928e-06
     -2.32445  6.85673e-07
     -2.45025  3.15973e-07
     -2.57606  1.38943e-07
     -2.70186  5.75763e-08
     -2.82766  2.21995e-08
     -2.95346  7.79592e-09
     -3.07926  2.40721e-09
     -3.20506  6.08782e-10
     -3.33086  1.02747e-10
     -3.45666 -3.72448e-13
     -3.58246    -7.17e-12
     -3.70826 -2.22056e-12
     -3.83406 -1.49495e-13

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
        12.52  3.24279e-16  6.14397e-19
      12.3942 -1.91352e-16 -3.58554e-19
      12.2684  1.63937e-15  3.03784e-18
      12.1426  3.06974e-16  5.62513e-19
      12.0168  -2.3023e-15 -4.17172e-18
       11.891 -4.03585e-15 -7.23078e-18
      11.7652 -7.31264e-16 -1.29539e-18
      11.6394  1.42697e-15  2.49916e-18
      11.5136 -3.00329e-15 -5.19998e-18
      11.3878  1.58243e-15  2.70849e-18
       11.262  1.10125e-15  1.86321e-18
      11.1362  4.31905e-15   7.2229e-18
      11.0104  4.65264e-15  7.69019e-18
      10.8846  8.06666e-15   1.3177e-17
      10.7588 -5.17951e-15 -8.36114e-18
       10.633 -5.46427e-15 -8.71627e-18
      10.5072 -2.67576e-15  -4.2173e-18
      10.3814  6.88679e-15  1.07241e-17
      10.2556 -1.62891e-15 -2.50586e-18
      10.1298 -1.47928e-15 -2.24796e-18
       10.004 -7.77364e-16  -1.1668e-18
      9.87821 -1.43786e-15 -2.13148e-18
      9.75241 -2.70691e-15 -3.96258e-18
      9.62661  7.28002e-15  1.05227e-17
      9.50081 -3.15504e-14 -4.50229e-17
      9.37501 -1.92625e-14 -2.71347e-17
      9.24921 -1.83544e-14 -2.55203e-17
      9.12341 -1.29809e-15 -1.78127e-18
      8.99761   3.2818e-15  4.44394e-18
      8.87181  3.12668e-15  4.17763e-18
      8.74601  1.90169e-14  2.50692e-17
      8.62021 -7.97804e-14 -1.03759e-16
      8.49441 -1.42702e-13 -1.83091e-16
      8.36861   3.7237e-14  4.71311e-17
      8.24281 -9.30224e-14 -1.16147e-16
        8.117  5.06771e-14  6.24182e-17
       7.9912  3.04423e-14  3.69875e-17
       7.8654  1.30069e-13  1.55895e-16
       7.7396  2.35557e-13  2.78508e-16
       7.6138  1.46866e-13  1.71299e-16
        7.488 -2.22306e-13 -2.55792e-16
       7.3622 -5.55804e-15 -6.30916e-18
       7.2364   2.7432e-15  3.07215e-18
       7.1106  3.23141e-13  3.57055e-16
       6.9848 -7.50396e-13 -8.18125e-16
        6.859 -4.35815e-13  -4.6886e-16
       6.7332  1.12043e-13   1.1895e-16
       6.6074 -4.86182e-13 -5.09364e-16
       6.4816  8.04417e-14  8.31697e-17
      6.35579 -3.79573e-13 -3.87279e-16
      6.22999  2.34427e-12  2.36025e-15
      6.10419  2.35205e-14  2.33659e-17
      5.97839  1.02476e-13  1.00436e-16
      5.85259 -1.17096e-13 -1.13208e-16
      5.72679 -1.56177e-12 -1.48917e-15
      5.60099 -1.73728e-12 -1.63341e-15
      5.47519 -1.60009e-12  -1.4831e-15
      5.34939  9.28726e-13  8.48421e-16
      5.22359  1.28307e-13  1.15496e-16
      5.09779  3.69398e-12  3.27573e-15
      4.97199  3.01923e-14  2.63704e-17
      4.84619  3.39442e-12  2.91948e-15
      4.72039 -4.19734e-12 -3.55426e-15
      4.59458  7.15661e-14   5.9655e-17
      4.46878  2.53939e-12  2.08346e-15
      4.34298  4.54645e-12  3.67144e-15
      4.21718  2.42042e-13   1.9239e-16
      4.09138  3.28018e-12  2.56666e-15
      3.96558  2.58972e-11  1.99526e-14
      3.83978   7.2542e-11  5.50531e-14
      3.71398  1.91654e-10  1.43358e-13
      3.58818  5.65266e-10  4.17126e-13
      3.46238  1.74073e-09  1.26877e-12
      3.33658  5.33523e-09  3.84679e-12
      3.21078  1.56418e-08  1.11759e-11
      3.08498  4.42007e-08  3.13552e-11
      2.95918  1.20906e-07  8.53388e-11
      2.83337  3.20968e-07  2.25954e-10
      2.70757  8.28901e-07  5.83571e-10
      2.58177  2.08336e-06  1.47135e-09
      2.45597  5.09867e-06  3.62475e-09
      2.33017  1.21772e-05  8.74932e-09
      2.20437   2.8463e-05  2.07642e-08
      2.07857  6.53341e-05  4.86538e-08
      1.95277  0.000147869  1.13118e-07
      1.82697  0.000330995  2.62054e-07
      1.70117  0.000734599  6.07288e-07
      1.57537   0.00161805  1.41175e-06
      1.44957   0.00353836  3.30103e-06
      1.32377   0.00768069  7.78589e-06
      1.19797    0.0165278   1.8575e-05
      1.07217    0.0351435  4.49286e-05
     0.946364    0.0734682  0.000110488
     0.820564     0.149581  0.000276827
     0.694763     0.292078    0.0007083
     0.568962     0.529659   0.00184478
     0.443162     0.835987   0.00482713
     0.317361            1    0.0122818
      0.19156     0.650362    0.0286544
    0.0657595    0.0632042    0.0584471
   -0.0600412            0      0.10763
    -0.185842            0      0.18792
    -0.311643            0     0.308651
    -0.437443            0     0.470863
    -0.563244            0     0.658789
    -0.689045            0     0.836439
    -0.814845            0     0.960239
    -0.940646            0            1
     -1.06645            0     0.953274
     -1.19225            0     0.842103
     -1.31805            0     0.698052
     -1.44385            0     0.548864
     -1.56965            0     0.412883
     -1.69545            0     0.298808
     -1.82125            0     0.208878
     -1.94705            0     0.141345
     -2.07285            0    0.0926886
     -2.19865            0    0.0588901
     -2.32445            0    0.0362039
     -2.45025            0    0.0214912
     -2.57606            0    0.0122779
     -2.70186            0   0.00672115
     -2.82766            0   0.00350356
     -2.95346            0   0.00172461
     -3.07926            0  0.000792399
     -3.20506            0  0.000334218
     -3.33086            0  0.000126165
     -3.45666            0   4.0885e-05
     -3.58246            0  1.05121e-05
     -3.70826            0  1.79888e-06
     -3.83406            0  8.85689e-08

pressure[atm]        = 1
temperature[K]       = 220
energy step[1/cm]    = 46
maximum energy[1/cm] = 4587

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      13.1147  1.16176e-08
      12.9832  1.48231e-08
      12.8517  1.89055e-08
      12.7202  2.41025e-08
      12.5886  3.07155e-08
      12.4571  3.91265e-08
      12.3256  4.98197e-08
      12.1941  6.34078e-08
      12.0626  8.06663e-08
      11.9311  1.02576e-07
      11.7995  1.30378e-07
       11.668  1.65637e-07
      11.5365  2.10333e-07
       11.405  2.66962e-07
      11.2735  3.38673e-07
      11.1419  4.29434e-07
      11.0104  5.44247e-07
      10.8789  6.89403e-07
      10.7474  8.72821e-07
      10.6159  1.10445e-06
      10.4843  1.39681e-06
      10.3528  1.76558e-06
      10.2213  2.23048e-06
      10.0898   2.8162e-06
      9.95827  3.55368e-06
      9.82675  4.48167e-06
      9.69523  5.64863e-06
      9.56371  7.11513e-06
      9.43219   8.9568e-06
      9.30067   1.1268e-05
      9.16916  1.41665e-05
      9.03764  1.77986e-05
      8.90612  2.23467e-05
       8.7746  2.80372e-05
      8.64308  3.51513e-05
      8.51156  4.40375e-05
      8.38004  5.51278e-05
      8.24852  6.89567e-05
        8.117  8.61848e-05
      7.98549  0.000107628
      7.85397  0.000134291
      7.72245  0.000167414
      7.59093   0.00020852
      7.45941   0.00025948
      7.32789   0.00032259
      7.19637  0.000400662
      7.06485  0.000497134
      6.93333  0.000616209
      6.80182  0.000763009
       6.6703  0.000943777
      6.53878   0.00116611
      6.40726   0.00143922
      6.27574   0.00177429
      6.14422   0.00218484
       6.0127   0.00268723
      5.88118   0.00330115
      5.74966   0.00405031
      5.61815   0.00496317
      5.48663   0.00607381
      5.35511   0.00742292
      5.22359   0.00905897
      5.09207    0.0110395
      4.96055    0.0134325
      4.82903    0.0163183
      4.69751    0.0197912
      4.56599    0.0239615
      4.43447    0.0289573
      4.30296    0.0349269
      4.17144     0.042041
      4.03992    0.0504945
       3.9084    0.0605084
      3.77688    0.0723303
      3.64536    0.0862343
      3.51384      0.10252
      3.38232     0.121511
       3.2508     0.143552
      3.11929     0.169001
      2.98777     0.198223
      2.85625     0.231574
      2.72473      0.26938
      2.59321     0.311916
      2.46169     0.359373
      2.33017     0.411819
      2.19865     0.469153
      2.06713     0.531042
      1.93562     0.596853
       1.8041     0.665565
      1.67258     0.735664
      1.54106     0.805016
      1.40954     0.870706
      1.27802     0.928828
       1.1465      0.97421
      1.01498            1
     0.883464     0.997082
     0.751945     0.953319
     0.620426      0.85323
     0.488907     0.681251
     0.357388     0.438782
     0.225869     0.185928
    0.0943505    0.0422589
   -0.0371684    0.0177751
    -0.168687    0.0105481
    -0.300206    0.0063208
    -0.431725   0.00382424
    -0.563244    0.0023301
    -0.694763   0.00142207
    -0.826282  0.000862592
    -0.957801  0.000516163
     -1.08932  0.000303324
     -1.22084  0.000174734
     -1.35236  9.86519e-05
     -1.48388  5.45674e-05
      -1.6154  2.95493e-05
     -1.74691  1.56524e-05
     -1.87843  8.09425e-06
     -2.00995  4.07695e-06
     -2.14147  1.99084e-06
     -2.27299  9.39424e-07
     -2.40451  4.25796e-07
     -2.53603   1.8423e-07
     -2.66755  7.52351e-08
     -2.79907  2.86232e-08
     -2.93058  9.96935e-09
      -3.0621  3.08454e-09
     -3.19362  8.04258e-10
     -3.32514  1.56198e-10
     -3.45666   1.4298e-11
     -3.58818 -3.11417e-12
      -3.7197 -1.26062e-12
     -3.85122 -5.55729e-14

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      13.1147  1.74442e-15  4.20909e-18
      12.9832  4.27624e-17  1.02025e-19
      12.8517 -1.45763e-15  -3.4385e-18
      12.7202    7.558e-16  1.76269e-18
      12.5886 -1.71882e-15 -3.96294e-18
      12.4571    2.355e-15  5.36742e-18
      12.3256 -3.09296e-15   -6.968e-18
      12.1941  -9.9211e-17 -2.20916e-19
      12.0626  4.36971e-15  9.61675e-18
      11.9311  2.01777e-15  4.38865e-18
      11.7995  1.83517e-15   3.9445e-18
       11.668  1.73447e-15  3.68397e-18
      11.5365 -8.58956e-15 -1.80271e-17
       11.405 -2.33157e-15 -4.83485e-18
      11.2735  1.88643e-15  3.86476e-18
      11.1419 -7.94247e-15 -1.60751e-17
      11.0104   3.1968e-16  6.39145e-19
      10.8789   5.8487e-15  1.15503e-17
      10.7474 -3.99472e-15 -7.79184e-18
      10.6159  2.16811e-15  4.17654e-18
      10.4843  1.59948e-14  3.04271e-17
      10.3528  6.65236e-15  1.24959e-17
      10.2213 -2.19288e-15 -4.06698e-18
      10.0898  3.92584e-14  7.18809e-17
      9.95827 -2.80635e-14 -5.07223e-17
      9.82675  9.24118e-15  1.64857e-17
      9.69523 -5.06646e-14 -8.91979e-17
      9.56371  9.44193e-15   1.6403e-17
      9.43219  1.83515e-14  3.14551e-17
      9.30067  6.04179e-14   1.0216e-16
      9.16916 -4.14749e-15 -6.91738e-18
      9.03764  -3.5631e-14 -5.86097e-17
      8.90612  3.54043e-14  5.74296e-17
