Pressure (atm),Temperature (K),B0_SymmetryFactor_1_W4->P2,B0_SymmetryFactor_1_P1->P2,B0_SymmetryFactor_1_W4->P1,B0_Energy_1_W4->P2,B0_Energy_1_P1->P2,B0_Energy_1_W4->P1,B0_Frequencies_1_W4->P2,B0_Frequencies_1_P1->P2,B0_Frequencies_1_W4->P1
0.1,370.0,-7.947621432466958e-06,-0.029196246672605064,-0.04271726295785924,-6.500882740365329e-07,-0.06500551935129038,-0.1411120119501148,-7.4312630024610965e-06,-0.0006024750176411376,-0.00013780907929316656
0.1,380.0,-9.007981761045787e-06,-0.028750630607622875,-0.042150434415101336,6.382037704367925e-06,-0.06202872236022705,-0.13553894088445168,-7.491985970216536e-06,-0.0006725768363002224,-0.00015500828086675422
0.1,390.0,-8.886064146404457e-06,-0.028314178026118384,-0.04157109715791399,9.798538633946773e-06,-0.05904115472447956,-0.12950060174994027,-6.745129003222666e-06,-0.0007454435323672222,-0.000171774398397644
0.1,400.0,-7.75449613283809e-06,-0.027895016412631594,-0.041009628793614465,9.402824127798745e-06,-0.0562161728134016,-0.12365050397224572,-5.426088505168308e-06,-0.0008212095732633849,-0.00018921300283818466
0.1,410.0,-5.948981568329666e-06,-0.02749759589240651,-0.04048526761986261,6.118443106753705e-06,-0.05365488023643309,-0.11841156143810479,-3.808413216746281e-06,-0.0009000462237960072,-0.00020799820475433998
0.1,420.0,-3.851017617326234e-06,-0.027123151858308988,-0.040006767787495276,1.35263273664514e-06,-0.05139422197883558,-0.1139865553902874,-2.1461673671587486e-06,-0.000982065900799917,-0.00022834328227755836
0.1,430.0,-1.8034722761633715e-06,-0.026770617276199497,-0.03957482736073541,-3.5037782531871443e-06,-0.04942452779930898,-0.11040668817375858,-6.403094790444258e-07,-0.00106728090094603,-0.0002501281762307978
0.1,440.0,-6.337380343813695e-08,-0.026437576214305928,-0.03918492467568048,-7.37721398198706e-06,-0.04770815462895684,-0.10758982643472675,5.746801515107833e-07,-0.001155601344019076,-0.0002730639101546355
0.1,450.0,1.2140527599817082e-06,-0.026121055919945832,-0.03882983283063411,-9.631625779527446e-06,-0.04619507374599812,-0.10539297111482976,1.4297898463833608e-06,-0.0012468557777525994,-0.00029683060196008
0.1,460.0,1.9696781337101306e-06,-0.025818090375643435,-0.038501521480749056,-1.0059471958970697e-05,-0.044834013181448217,-0.10365255828459695,1.9118411733829667e-06,-0.0013408209637307922,-0.0003211667093791897
0.1,470.0,2.2224443250990836e-06,-0.025526063851228197,-0.03819241344957386,-8.798146179808072e-06,-0.043579301774074396,-0.10221160360936367,2.0498767130474323e-06,-0.0014372517240652434,-0.00034591065674304363
0.1,480.0,2.0464422851305087e-06,-0.025242876795766218,-0.03789609003251286,-6.2164240695997165e-06,-0.042394244749099814,-0.10093541136736414,1.9008498255722928e-06,-0.0015359057403707388,-0.0003710063117106004
0.1,490.0,1.5481571138955076e-06,-0.024966985109872386,-0.03760758232549923,-2.801369293867281e-06,-0.04125203402956496,-0.09971855860334708,1.5366410090363473e-06,-0.0016365612306410485,-0.0003964860244441142
0.1,500.0,8.468337034549807e-07,-0.024697359525960368,-0.03732338401156195,9.369212037201817e-07,-0.04013510829928547,-0.09848589790574251,1.0334382665756676e-06,-0.0017390274111242596,-0.00042244313092569785
0.1,510.0,5.929549044268521e-08,-0.024433402224436934,-0.03704129859553849,4.5353680670495854e-06,-0.039033685293396334,-0.09718990816220091,4.638228600383591e-07,-0.0018431487513066694,-0.00044900254934980804
0.1,520.0,-7.105515290981074e-07,-0.024174847290228063,-0.03676020569628331,7.622072235091789e-06,-0.037943979794000625,-0.09580616585389687,-1.085392635900894e-07,-0.001948804494704204,-0.0004762947967782118
0.1,530.0,-1.3779559776849422e-06,-0.023921662294209424,-0.036479804240432734,9.937745452886168e-06,-0.03686643745273142,-0.09432817065761005,-6.319438828434871e-07,-0.0020559049749182654,-0.0005044360561098984
0.1,540.0,-1.8800527706747951e-06,-0.023673960949551036,-0.03620036843086281,1.1339303581203203e-05,-0.0358041717627633,-0.0927623090285663,-1.0678805532687395e-06,-0.0021643860856407535,-0.0005335150086560837
0.1,550.0,-2.1759436187993643e-06,-0.023431931502987714,-0.035922535924456475,1.1790870597037162e-05,-0.03476168974521446,-0.09112339712819983,-1.390911998980349e-06,-0.0022742029915618325,-0.0005635859543195652
0.1,560.0,-2.244944008979456e-06,-0.023195782002275026,-0.03564713625827904,1.1346986105106704e-05,-0.03374392519778573,-0.08943100318208638,-1.5876237572043725e-06,-0.0023853238743966818,-0.0005946671148082242
0.1,570.0,-2.083703738793879e-06,-0.022965701445301863,-0.03537506026646326,1.0131963878480607e-05,-0.03275555868151156,-0.08770659144432677,-1.655002096868969e-06,-0.00249772424015993,-0.0006267427913166996
