pressure[atm]        = 100
temperature[K]       = 200
energy step[1/cm]    = 14
maximum energy[1/cm] = 7362

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      9.28066  0.000138647
      9.24063  0.000149094
      9.20061  0.000160311
      9.16058  0.000172353
      9.12055  0.000185278
      9.08052   0.00019915
       9.0405  0.000214036
      9.00047  0.000230009
      8.96044  0.000247145
      8.92041  0.000265527
      8.88039  0.000285242
      8.84036  0.000306385
      8.80033  0.000329055
       8.7603  0.000353359
      8.72028  0.000379411
      8.68025  0.000407334
      8.64022  0.000437256
      8.60019  0.000469316
      8.56017  0.000503661
      8.52014  0.000540449
      8.48011  0.000579847
      8.44008  0.000622033
      8.40006  0.000667197
      8.36003  0.000715542
         8.32  0.000767282
      8.27997  0.000822645
      8.23995  0.000881876
      8.19992  0.000945233
      8.15989   0.00101299
      8.11986   0.00108544
      8.07984   0.00116289
      8.03981   0.00124568
      7.99978   0.00133415
      7.95975   0.00142867
      7.91973   0.00152963
       7.8797   0.00163746
      7.83967   0.00175259
      7.79964   0.00187549
      7.75962   0.00200666
      7.71959   0.00214662
      7.67956   0.00229592
      7.63953   0.00245516
      7.59951   0.00262494
      7.55948   0.00280593
      7.51945   0.00299882
      7.47942   0.00320433
       7.4394   0.00342324
      7.39937   0.00365635
      7.35934   0.00390452
      7.31931   0.00416865
      7.27929    0.0044497
      7.23926   0.00474865
      7.19923   0.00506655
       7.1592   0.00540451
      7.11918   0.00576368
      7.07915   0.00614529
      7.03912    0.0065506
      6.99909   0.00698094
      6.95907   0.00743773
      6.91904   0.00792243
      6.87901   0.00843657
      6.83898   0.00898175
      6.79896   0.00955966
      6.75893    0.0101721
       6.7189    0.0108207
      6.67887    0.0115076
      6.63885    0.0122347
      6.59882    0.0130041
      6.55879    0.0138179
      6.51876    0.0146783
      6.47874    0.0155877
      6.43871    0.0165485
      6.39868    0.0175632
      6.35865    0.0186344
      6.31863    0.0197648
       6.2786    0.0209572
      6.23857    0.0222144
      6.19854    0.0235393
      6.15852    0.0249352
      6.11849    0.0264051
      6.07846    0.0279523
      6.03843    0.0295801
      5.99841    0.0312919
      5.95838    0.0330914
      5.91835    0.0349821
      5.87832    0.0369678
       5.8383    0.0390522
      5.79827    0.0412392
      5.75824    0.0435329
      5.71821    0.0459372
      5.67819    0.0484564
      5.63816    0.0510945
      5.59813     0.053856
       5.5581    0.0567451
      5.51808    0.0597663
      5.47805     0.062924
      5.43802    0.0662228
      5.39799    0.0696671
      5.35797    0.0732617
      5.31794    0.0770113
      5.27791    0.0809203
      5.23788    0.0849937
      5.19786    0.0892361
      5.15783    0.0936523
       5.1178    0.0982469
      5.07777     0.103025
      5.03775     0.107991
      4.99772     0.113149
      4.95769     0.118505
      4.91766     0.124063
      4.87764     0.129827
      4.83761     0.135803
      4.79758     0.141994
      4.75755     0.148406
      4.71753     0.155041
       4.6775     0.161905
      4.63747     0.169002
      4.59744     0.176336
      4.55742      0.18391
      4.51739     0.191728
      4.47736     0.199793
      4.43733      0.20811
      4.39731      0.21668
      4.35728     0.225507
      4.31725     0.234594
      4.27722     0.243943
       4.2372     0.253555
      4.19717     0.263434
      4.15714     0.273579
      4.11711     0.283993
      4.07709     0.294676
      4.03706     0.305628
      3.99703      0.31685
        3.957     0.328341
      3.91698       0.3401
      3.87695     0.352125
      3.83692     0.364414
      3.79689     0.376965
      3.75687     0.389775
      3.71684     0.402838
      3.67681     0.416152
      3.63678      0.42971
      3.59676     0.443507
      3.55673     0.457535
       3.5167     0.471787
      3.47667     0.486255
      3.43665     0.500929
      3.39662     0.515798
      3.35659     0.530851
      3.31656     0.546074
      3.27654     0.561453
      3.23651     0.576973
      3.19648     0.592618
      3.15645     0.608371
      3.11643     0.624212
       3.0764     0.640123
      3.03637     0.656082
      2.99634     0.672068
      2.95632     0.688057
      2.91629     0.704023
      2.87626      0.71994
      2.83623      0.73578
      2.79621     0.751515
      2.75618     0.767114
      2.71615     0.782545
      2.67612     0.797772
       2.6361     0.812761
      2.59607     0.827478
      2.55604     0.841886
      2.51601     0.855948
      2.47599     0.869626
      2.43596     0.882881
      2.39593     0.895672
       2.3559     0.907958
      2.31588     0.919696
      2.27585     0.930842
      2.23582     0.941343
      2.19579     0.951147
      2.15577     0.960209
      2.11574     0.968482
      2.07571     0.975918
      2.03568     0.982465
      1.99566     0.988057
      1.95563     0.992645
       1.9156     0.996182
      1.87557     0.998621
      1.83555     0.999917
      1.79552            1
      1.75549     0.998809
      1.71546     0.996307
      1.67544      0.99246
      1.63541     0.987238
      1.59538     0.980619
      1.55535     0.972583
      1.51533     0.963117
       1.4753     0.952217
      1.43527     0.939882
      1.39524     0.926122
      1.35522     0.910953
      1.31519     0.894397
      1.27516     0.876485
      1.23513     0.857253
      1.19511     0.836741
      1.15508     0.814983
      1.11505     0.791954
      1.07502     0.767527
        1.035     0.741745
     0.994969     0.714673
     0.954942     0.686376
     0.914914     0.656891
     0.874887     0.626019
     0.834859     0.593695
     0.794832     0.560037
     0.754804     0.525186
     0.714777     0.489303
     0.674749     0.452573
     0.634722      0.41521
     0.594694      0.37745
     0.554667     0.339559
     0.514639     0.301831
     0.474612     0.264588
