    E, kcal/mol    D, mol/kcal         W1->P0
           14.8         332004    8.87453e+12
           14.9         335427    9.00667e+12
             15         339015    9.13542e+12
           15.1         342265    9.27435e+12
           15.2         345305    9.42011e+12
           15.3         348220    9.57052e+12
           15.4         351042    9.72476e+12
           15.5         354324     9.8675e+12
           15.6         357832    1.00051e+13
           15.7         361244    1.01466e+13
           15.8         364902    1.02823e+13
           15.9         368704    1.04151e+13
             16         372140    1.05596e+13
           16.1         375365    1.07113e+13
           16.2         378462    1.08681e+13
           16.3         381791    1.10196e+13
           16.4         385058    1.11744e+13
           16.5         388714    1.13192e+13
           16.6         391930    1.14781e+13
           16.7         395432    1.16302e+13
           16.8         399186    1.17761e+13
           16.9         403096    1.19188e+13
             17         406593    1.20751e+13
           17.1         410200    1.22294e+13
           17.2         414107    1.23762e+13
           17.3         417763    1.25319e+13
           17.4         421425    1.26887e+13
           17.5         425109    1.28462e+13
           17.6         428535     1.3013e+13
           17.7         432313    1.31704e+13
           17.8         436313    1.33224e+13
           17.9         440158    1.34805e+13
             18         444285    1.36312e+13
           18.1         448547     1.3779e+13
           18.2         452915    1.39249e+13
           18.3         456909    1.40835e+13
           18.4         460669    1.42506e+13
           18.5         464284    1.44236e+13
           18.6         467791    1.46013e+13
           18.7         471747    1.47663e+13
           18.8         475913     1.4926e+13
           18.9         479975    1.50901e+13
             19         484272    1.52482e+13
           19.1         488704    1.54031e+13
           19.2         492758    1.55712e+13
           19.3         496596    1.57474e+13
           19.4         500565    1.59207e+13
           19.5         504870    1.60845e+13
           19.6         508971    1.62559e+13
           19.7         513374     1.6419e+13
           19.8         517322    1.65977e+13
           19.9         521536    1.67691e+13
             20         525983    1.69341e+13
           20.1         530573    1.70957e+13
           20.2         534956     1.7265e+13
           20.3         539622    1.74264e+13
           20.4         544404     1.7585e+13
           20.5         548875    1.77549e+13
           20.6         553321    1.79266e+13
           20.7         557759    1.80997e+13
           20.8         561921    1.82828e+13
           20.9         566422     1.8456e+13
             21         571129    1.86236e+13
           21.1         575673    1.87975e+13
           21.2         580485    1.89638e+13
           21.3         585422     1.9127e+13
           21.4         590456    1.92881e+13
           21.5         595106    1.94629e+13
           21.6         599515    1.96467e+13
           21.7         604009    1.98288e+13
           21.8         608544    2.00107e+13
           21.9         613360    2.01845e+13
             22         618331    2.03544e+13
           22.1         623166    2.05299e+13
           22.2         628211    2.06996e+13
           22.3         633374    2.08667e+13
           22.4         638143    2.10479e+13
           22.5         642870    2.12317e+13
           22.6         647959    2.14048e+13
           22.7         653180    2.15747e+13
           22.8         658160    2.17539e+13
           22.9         663359     2.1927e+13
             23         668100    2.21164e+13
           23.1         673091    2.22988e+13
           23.2         678298    2.24753e+13
           23.3         683755    2.26447e+13
           23.4         689347    2.28108e+13
           23.5         694971    2.29771e+13
           23.6         700650    2.31428e+13
           23.7         705976    2.33214e+13
           23.8         711258    2.35026e+13
           23.9         716504    2.36862e+13
             24         721661     2.3874e+13
           24.1         727358    2.40451e+13
           24.2         733064     2.4217e+13
           24.3         738547    2.43976e+13
           24.4         744258    2.45718e+13
           24.5         750066    2.47439e+13
           24.6         755951    2.49147e+13
           24.7         761431       2.51e+13
           24.8         766795    2.52903e+13
           24.9         772556    2.54686e+13
             25         778115    2.56547e+13
           25.1         783893    2.58348e+13
           25.2         789792     2.6012e+13
           25.3         795527    2.61957e+13
           25.4         801448    2.63744e+13
           25.5         807470    2.65509e+13
           25.6         813073    2.67424e+13
           25.7         819221    2.69169e+13
           25.8         825369    2.70926e+13
           25.9         831581    2.72673e+13
             26         837536    2.74515e+13
           26.1         843634    2.76322e+13
           26.2         849277    2.78287e+13
           26.3         855154    2.80187e+13
           26.4         861230    2.82032e+13
           26.5         867549    2.83808e+13
           26.6         873981    2.85558e+13
           26.7         880436    2.87311e+13
           26.8         886936     2.8906e+13
           26.9         893071    2.90938e+13
             27         899158    2.92842e+13
           27.1         905238    2.94759e+13
           27.2         911729    2.96553e+13
           27.3         918442    2.98284e+13
           27.4         925106    3.00042e+13
           27.5         931512    3.01894e+13
           27.6         938119    3.03692e+13
