    E, kcal/mol    D, mol/kcal        W1v->W1        W1v->P1        W1v->P4        W1v->P5
           11.6    2.35219e+12    2.69099e+11    2.13431e+13    6.51118e+11    4.12718e+08
           11.7    2.44134e+12    2.69607e+11    2.14349e+13    6.52437e+11    4.26396e+08
           11.8    2.53352e+12      2.701e+11    2.15249e+13    6.53747e+11    4.40183e+08
           11.9    2.62882e+12     2.7067e+11    2.16131e+13    6.55049e+11    4.54298e+08
             12    2.72732e+12    2.71153e+11    2.16996e+13    6.56343e+11     4.6879e+08
           12.1    2.82915e+12    2.71625e+11    2.17847e+13    6.57627e+11     4.8359e+08
           12.2    2.93438e+12    2.72164e+11    2.18681e+13    6.58903e+11    4.98637e+08
           12.3    3.04312e+12    2.72616e+11      2.195e+13    6.60171e+11    5.13861e+08
           12.4    3.15548e+12    2.73115e+11    2.20302e+13     6.6143e+11    5.29191e+08
           12.5    3.27156e+12    2.73539e+11    2.21088e+13    6.62681e+11    5.44801e+08
           12.6    3.39148e+12    2.73946e+11    2.21859e+13    6.63924e+11     5.6079e+08
           12.7    3.51534e+12    2.74402e+11    2.22614e+13    6.65159e+11    5.77092e+08
           12.8    3.64326e+12    2.74793e+11    2.23354e+13    6.66386e+11     5.9364e+08
           12.9    3.77536e+12    2.75177e+11    2.24077e+13    6.67604e+11    6.10389e+08
             13    3.91176e+12    2.75666e+11    2.24784e+13    6.68815e+11    6.27267e+08
           13.1    4.05259e+12    2.76095e+11    2.25475e+13    6.70018e+11    6.44387e+08
           13.2    4.19797e+12    2.76465e+11     2.2615e+13    6.71213e+11    6.61868e+08
           13.3    4.34804e+12    2.76932e+11     2.2681e+13      6.724e+11    6.79674e+08
           13.4    4.50293e+12    2.77289e+11    2.27454e+13     6.7358e+11    6.97722e+08
           13.5    4.66278e+12    2.77632e+11    2.28081e+13    6.74752e+11    7.15977e+08
           13.6    4.82773e+12    2.77961e+11    2.28692e+13    6.75916e+11    7.34391e+08
           13.7    4.99792e+12    2.78278e+11    2.29288e+13    6.77073e+11    7.53028e+08
           13.8    5.17351e+12    2.78669e+11    2.29869e+13    6.78223e+11    7.71998e+08
           13.9    5.35464e+12    2.78975e+11    2.30435e+13    6.79365e+11    7.91305e+08
             14    5.54148e+12    2.79311e+11    2.30986e+13      6.805e+11    8.10865e+08
           14.1    5.73418e+12    2.79676e+11    2.31523e+13    6.81627e+11    8.30624e+08
           14.2    5.93291e+12    2.79963e+11    2.32044e+13    6.82748e+11    8.50559e+08
           14.3    6.13784e+12    2.80276e+11    2.32553e+13    6.83861e+11    8.70708e+08
           14.4    6.34913e+12     2.8058e+11    2.33049e+13    6.84968e+11    8.91161e+08
           14.5    6.56697e+12    2.80841e+11    2.33533e+13    6.86067e+11    9.11941e+08
           14.6    6.79153e+12    2.81123e+11    2.34004e+13    6.87159e+11    9.32991e+08
           14.7    7.02301e+12    2.81366e+11    2.34462e+13    6.88245e+11    9.54234e+08
           14.8    7.26159e+12    2.81625e+11    2.34908e+13    6.89323e+11    9.75659e+08
           14.9    7.50747e+12    2.81881e+11    2.35343e+13    6.90395e+11    9.97302e+08
             15    7.76084e+12    2.82104e+11    2.35767e+13     6.9146e+11    1.01923e+09
           15.1    8.02191e+12    2.82346e+11    2.36181e+13    6.92518e+11    1.04147e+09
           15.2    8.29089e+12    2.82562e+11    2.36584e+13     6.9357e+11    1.06399e+09
           15.3    8.56799e+12    2.82768e+11    2.36979e+13    6.94615e+11    1.08671e+09
           15.4    8.85344e+12    2.82988e+11    2.37363e+13    6.95654e+11    1.10962e+09
           15.5    9.14746e+12    2.83174e+11    2.37738e+13    6.96686e+11    1.13273e+09
           15.6    9.45027e+12    2.83344e+11    2.38102e+13    6.97712e+11    1.15613e+09
           15.7    9.76211e+12    2.83521e+11    2.38456e+13    6.98731e+11    1.17981e+09
           15.8    1.00832e+13    2.83663e+11    2.38799e+13    6.99745e+11    1.20378e+09
           15.9    1.04139e+13    2.83788e+11    2.39133e+13    7.00752e+11    1.22797e+09
             16    1.07543e+13    2.83923e+11    2.39457e+13    7.01752e+11    1.25233e+09
           16.1    1.11047e+13    2.84028e+11    2.39772e+13    7.02747e+11     1.2769e+09
           16.2    1.14655e+13    2.84126e+11    2.40078e+13    7.03736e+11    1.30174e+09
           16.3    1.18368e+13    2.84252e+11    2.40373e+13    7.04718e+11    1.32686e+09
           16.4    1.22189e+13    2.84354e+11    2.40659e+13    7.05695e+11    1.35224e+09
           16.5    1.26122e+13    2.84466e+11    2.40937e+13    7.06665e+11    1.37786e+09
           16.6    1.30169e+13    2.84561e+11    2.41205e+13     7.0763e+11    1.40365e+09
           16.7    1.34333e+13    2.84632e+11    2.41465e+13    7.08588e+11    1.42964e+09
           16.8    1.38617e+13    2.84713e+11    2.41716e+13    7.09541e+11     1.4559e+09
           16.9    1.43024e+13    2.84774e+11    2.41958e+13    7.10488e+11    1.48241e+09
             17    1.47558e+13     2.8483e+11    2.42191e+13     7.1143e+11    1.50919e+09
           17.1    1.52222e+13    2.84923e+11    2.42415e+13    7.12365e+11    1.53619e+09
           17.2    1.57019e+13    2.84973e+11    2.42631e+13    7.13295e+11    1.56339e+09
           17.3    1.61952e+13    2.85033e+11    2.42839e+13     7.1422e+11    1.59077e+09
           17.4    1.67025e+13    2.85114e+11    2.43037e+13    7.15139e+11     1.6184e+09
           17.5    1.72241e+13    2.85156e+11    2.43227e+13    7.16052e+11     1.6463e+09
           17.6    1.77605e+13    2.85204e+11    2.43409e+13     7.1696e+11    1.67443e+09
           17.7    1.83119e+13    2.85261e+11    2.43583e+13    7.17862e+11     1.7028e+09
           17.8    1.88788e+13     2.8529e+11    2.43749e+13    7.18759e+11    1.73136e+09
           17.9    1.94615e+13    2.85333e+11    2.43907e+13     7.1965e+11     1.7601e+09
             18    2.00605e+13    2.85358e+11    2.44057e+13    7.20536e+11    1.78907e+09
           18.1    2.06761e+13    2.85386e+11    2.44199e+13    7.21417e+11    1.81831e+09
           18.2    2.13088e+13     2.8543e+11    2.44334e+13    7.22293e+11    1.84778e+09
           18.3     2.1959e+13    2.85445e+11    2.44461e+13    7.23163e+11    1.87747e+09
           18.4    2.26272e+13    2.85467e+11    2.44581e+13    7.24028e+11    1.90736e+09
           18.5    2.33137e+13    2.85496e+11    2.44694e+13    7.24888e+11    1.93743e+09
           18.6     2.4019e+13    2.85506e+11      2.448e+13    7.25743e+11    1.96772e+09
           18.7    2.47436e+13    2.85519e+11    2.44899e+13    7.26593e+11    1.99826e+09
           18.8    2.54879e+13    2.85537e+11    2.44992e+13    7.27437e+11    2.02903e+09
           18.9    2.62525e+13    2.85532e+11    2.45077e+13    7.28277e+11    2.06002e+09
             19    2.70378e+13    2.85532e+11    2.45156e+13    7.29111e+11     2.0912e+09
           19.1    2.78444e+13    2.85521e+11    2.45228e+13    7.29941e+11    2.12256e+09
           19.2    2.86727e+13    2.85499e+11    2.45294e+13    7.30766e+11    2.15414e+09
           19.3    2.95233e+13    2.85487e+11    2.45353e+13    7.31586e+11    2.18595e+09
           19.4    3.03967e+13    2.85466e+11    2.45406e+13    7.32401e+11    2.21799e+09
           19.5    3.12935e+13    2.85442e+11    2.45453e+13    7.33211e+11    2.25025e+09
           19.6    3.22143e+13    2.85417e+11    2.45493e+13    7.34016e+11    2.28269e+09
           19.7    3.31595e+13    2.85383e+11    2.45528e+13    7.34817e+11    2.31531e+09
           19.8    3.41298e+13    2.85355e+11    2.45556e+13    7.35613e+11    2.34814e+09
           19.9    3.51258e+13     2.8531e+11    2.45578e+13    7.36404e+11    2.38119e+09
             20    3.61481e+13    2.85253e+11    2.45594e+13     7.3719e+11    2.41447e+09
    E, kcal/mol    D, mol/kcal        W2v->W1        W2v->W2        W2v->P2
              0     1.5922e+13    1.14885e+12    2.47646e+12    1.96874e+14
            0.1    1.63671e+13    1.14594e+12    2.46908e+12    1.96711e+14
            0.2    1.68236e+13     1.1431e+12    2.46176e+12    1.96546e+14
            0.3    1.72915e+13    1.14014e+12    2.45437e+12    1.96379e+14
            0.4    1.77713e+13    1.13723e+12    2.44704e+12     1.9621e+14
            0.5    1.82631e+13    1.13438e+12    2.43977e+12    1.96039e+14
            0.6    1.87672e+13    1.13155e+12    2.43253e+12    1.95867e+14
            0.7    1.92839e+13    1.12864e+12    2.42524e+12    1.95692e+14
            0.8    1.98135e+13    1.12575e+12    2.41798e+12    1.95516e+14
            0.9    2.03562e+13      1.123e+12    2.41085e+12    1.95339e+14
              1    2.09125e+13    1.12015e+12    2.40366e+12     1.9516e+14
            1.1    2.14825e+13    1.11727e+12    2.39645e+12    1.94979e+14
            1.2    2.20666e+13    1.11447e+12    2.38933e+12    1.94797e+14
            1.3     2.2665e+13    1.11173e+12    2.38228e+12    1.94613e+14
            1.4    2.32782e+13    1.10889e+12    2.37516e+12    1.94427e+14
            1.5    2.39064e+13    1.10608e+12    2.36809e+12     1.9424e+14
            1.6    2.45499e+13    1.10333e+12    2.36107e+12    1.94052e+14
            1.7    2.52092e+13     1.1006e+12    2.35411e+12    1.93862e+14
            1.8    2.58845e+13    1.09781e+12     2.3471e+12    1.93671e+14
            1.9    2.65761e+13    1.09502e+12    2.34012e+12    1.93479e+14
              2    2.72846e+13    1.09235e+12    2.33325e+12    1.93285e+14
