========================================
ch2o+oh_W0_Energy_1_0.0.out
0.1 atm
T,P0->P1
550.0,1.68086e-11
560.0,1.69445e-11
570.0,1.70858e-11
580.0,1.72323e-11
590.0,1.73837e-11
600.0,1.75397e-11
610.0,1.77004e-11
620.0,1.78654e-11
630.0,1.80348e-11
640.0,1.82084e-11
650.0,1.83862e-11
660.0,1.85682e-11
670.0,1.87539e-11
680.0,1.89432e-11
690.0,1.91359e-11
700.0,1.93319e-11
800.0,2.14543e-11
900.0,2.38143e-11
1000.0,2.63442e-11
1100.0,2.89902e-11
1200.0,3.17092e-11
1300.0,3.44645e-11
1400.0,3.72263e-11
1500.0,3.99706e-11
1600.0,4.26779e-11
1700.0,4.5333e-11
1800.0,4.79246e-11
1900.0,5.04441e-11
2000.0,5.28854e-11
2100.0,5.52446e-11
2200.0,5.75197e-11
2300.0,5.97096e-11
2400.0,6.18147e-11
2500.0,6.38362e-11
2600.0,6.57756e-11
2700.0,6.76352e-11
2800.0,6.94176e-11
2900.0,7.11256e-11
3000.0,7.27621e-11
========================================
ch2o+oh_W0_Energy_1_0.0.out
4 atm
T,P0->P1
200.0,2.108e-11
210.0,2.0302e-11
220.0,1.96235e-11
230.0,1.90309e-11
240.0,1.85124e-11
250.0,1.80588e-11
260.0,1.76628e-11
270.0,1.73178e-11
280.0,1.70181e-11
290.0,1.67587e-11
300.0,1.65348e-11
310.0,1.63431e-11
320.0,1.61808e-11
330.0,1.60452e-11
340.0,1.59335e-11
350.0,1.58437e-11
360.0,1.57735e-11
370.0,1.57215e-11
380.0,1.56863e-11
390.0,1.56667e-11
400.0,1.56673e-11
410.0,1.56754e-11
420.0,1.5696e-11
430.0,1.57283e-11
440.0,1.57717e-11
450.0,1.58254e-11
460.0,1.58888e-11
470.0,1.59611e-11
480.0,1.60418e-11
490.0,1.61305e-11
500.0,1.62267e-11
510.0,1.63303e-11
520.0,1.64407e-11
530.0,1.65579e-11
540.0,1.66816e-11
550.0,1.68114e-11
560.0,1.69471e-11
570.0,1.70882e-11
580.0,1.72345e-11
590.0,1.73857e-11
600.0,1.75417e-11
610.0,1.77023e-11
620.0,1.78672e-11
630.0,1.80365e-11
640.0,1.821e-11
650.0,1.83877e-11
660.0,1.85696e-11
670.0,1.87552e-11
680.0,1.89444e-11
690.0,1.9137e-11
700.0,1.9333e-11
800.0,2.14549e-11
900.0,2.38147e-11
1000.0,2.63444e-11
1100.0,2.89903e-11
1200.0,3.17093e-11
1300.0,3.44646e-11
1400.0,3.72264e-11
1500.0,3.99706e-11
1600.0,4.26779e-11
1700.0,4.5333e-11
1800.0,4.79246e-11
1900.0,5.04441e-11
2000.0,5.28854e-11
2100.0,5.52447e-11
2200.0,5.75197e-11
2300.0,5.97096e-11
2400.0,6.18147e-11
2500.0,6.38362e-11
2600.0,6.57756e-11
2700.0,6.76352e-11
2800.0,6.94177e-11
2900.0,7.11256e-11
3000.0,7.27621e-11
