    E, kcal/mol    D, mol/kcal          W1->R         W1->P1         W1->P2         W1->P3         W1->P4         W1->P5         W1->P6         W1->P7
        3.24507    5.07424e+12    6.31231e+07    2.53778e+07         502630     2.9399e+06        93022.9              0              0              0
        3.25936    5.08147e+12     6.3986e+07    2.55209e+07         507078    2.95919e+06        93740.8              0              0              0
        3.27366     5.0887e+12    6.48566e+07    2.56647e+07         511557    2.97858e+06        94463.4              0              0              0
        3.28795    5.09594e+12    6.57347e+07    2.58091e+07         516067    2.99807e+06        95190.7              0              0              0
        3.30225    5.10319e+12    6.66204e+07    2.59542e+07         520609    3.01767e+06        95922.7              0              0              0
        3.31655    5.11045e+12    6.75138e+07       2.61e+07         525181    3.03738e+06        96659.4              0              0              0
        3.33084    5.11771e+12    6.84149e+07    2.62464e+07         529785    3.05719e+06        97400.9              0              0              0
        3.34514    5.12499e+12    6.93238e+07    2.63934e+07         534421    3.07711e+06        98147.2              0              0              0
        3.35943    5.13228e+12    7.02405e+07    2.65411e+07         539089    3.09713e+06        98898.2              0              0              0
        3.37373    5.13958e+12    7.11651e+07    2.66894e+07         543789    3.11727e+06        99654.1              0              0              0
        3.38802    5.14688e+12    7.20978e+07    2.68384e+07         548521    3.13751e+06         100415              0              0              0
        3.40232     5.1542e+12    7.30386e+07     2.6988e+07         553285    3.15786e+06         101180              0              0              0
        3.41661    5.16153e+12    7.39876e+07    2.71384e+07         558083    3.17832e+06         101951              0              0              0
        3.43091    5.16886e+12    7.49448e+07    2.72893e+07         562913    3.19889e+06         102726              0              0              0
         3.4452     5.1762e+12    7.59103e+07     2.7441e+07         567776    3.21958e+06         103507              0              0              0
         3.4595    5.18356e+12    7.68842e+07    2.75934e+07         572673    3.24037e+06         104292              0              0              0
         3.4738    5.19092e+12    7.78665e+07    2.77464e+07         577603    3.26127e+06         105082              0              0              0
        3.48809     5.1983e+12    7.88573e+07    2.79001e+07         582566    3.28228e+06         105878              0              0              0
        3.50239    5.20568e+12    7.98564e+07    2.80545e+07         587564    3.30341e+06         106678              0              0              0
        3.51668    5.21307e+12    8.08641e+07    2.82097e+07         592596    3.32465e+06         107484              0              0              0
        3.53098    5.22047e+12    8.18802e+07    2.83655e+07         597662      3.346e+06         108294              0              0              0
        3.54527    5.22788e+12    8.29049e+07     2.8522e+07         602762    3.36746e+06         109110              0              0              0
        3.55957     5.2353e+12    8.39382e+07    2.86793e+07         607898    3.38904e+06         109931              0              0              0
        3.57386    5.24274e+12      8.498e+07    2.88373e+07         613068    3.41073e+06         110757              0              0              0
        3.58816    5.25018e+12    8.60304e+07     2.8996e+07         618274    3.43253e+06         111588              0              0              0
        3.60245    5.25763e+12    8.70895e+07    2.91555e+07         623515    3.45445e+06         112424              0              0              0
        3.61675    5.26509e+12    8.81573e+07    2.93157e+07         628791    3.47649e+06         113266              0              0              0
        3.63105    5.27256e+12    8.92337e+07    2.94766e+07         634103    3.49864e+06         114112              0              0              0
        3.64534    5.28003e+12    9.03189e+07    2.96383e+07         639452    3.52091e+06         114965              0              0              0
        3.65964    5.28752e+12    9.14129e+07    2.98007e+07         644837     3.5433e+06         115822              0              0              0
        3.67393    5.29502e+12    9.25157e+07    2.99639e+07         650258     3.5658e+06         116685              0              0              0
        3.68823    5.30253e+12    9.36273e+07    3.01278e+07         655716    3.58842e+06         117553              0              0              0
        3.70252    5.31005e+12    9.47478e+07    3.02925e+07         661210    3.61116e+06         118426              0              0              0
        3.71682    5.31758e+12    9.58771e+07    3.04579e+07         666742    3.63401e+06         119305              0              0              0
        3.73111    5.32511e+12    9.70154e+07    3.06241e+07         672311    3.65699e+06         120190              0              0              0
        3.74541    5.33266e+12    9.81627e+07    3.07911e+07         677918    3.68008e+06         121079              0              0              0
         3.7597    5.34022e+12    9.93191e+07    3.09588e+07         683563     3.7033e+06         121975              0              0              0
          3.774    5.34778e+12    1.00485e+08    3.11273e+07         689246    3.72664e+06         122875              0              0              0
         3.7883    5.35536e+12    1.01659e+08    3.12965e+07         694966    3.75009e+06         123782              0              0              0
        3.80259    5.36295e+12    1.02843e+08    3.14665e+07         700726    3.77367e+06         124694              0              0              0
        3.81689    5.37054e+12    1.04036e+08    3.16373e+07         706524    3.79737e+06         125611              0              0              0
        3.83118    5.37815e+12    1.05239e+08    3.18088e+07         712361    3.82119e+06         126534              0              0              0
        3.84548    5.38577e+12    1.06451e+08    3.19811e+07         718237    3.84514e+06         127463              0              0              0
        3.85977    5.39339e+12    1.07672e+08    3.21541e+07         724152    3.86921e+06         128397              0              0              0
        3.87407    5.40103e+12    1.08903e+08     3.2328e+07         730107     3.8934e+06         129337              0              0              0
        3.88836    5.40867e+12    1.10144e+08    3.25025e+07         736102    3.91772e+06         130283              0              0              0
        3.90266    5.41633e+12    1.11394e+08    3.26779e+07         742136    3.94216e+06         131234              0              0              0
        3.91695    5.42399e+12    1.12654e+08     3.2854e+07         748211    3.96673e+06         132192              0              0              0
        3.93125    5.43167e+12    1.13924e+08    3.30309e+07         754327    3.99142e+06         133155              0              0              0
        3.94555    5.43935e+12    1.15203e+08    3.32085e+07         760483    4.01624e+06         134124              0              0              0
        3.95984    5.44705e+12    1.16492e+08     3.3387e+07         766679    4.04118e+06         135098              0              0              0
        3.97414    5.45475e+12     1.1779e+08    3.35662e+07         772917    4.06626e+06         136079              0              0              0
        3.98843    5.46247e+12    1.19098e+08    3.37462e+07         779197    4.09146e+06         137065              0              0              0
