    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
            2.6     1.8743e+10     5.0703e+10    1.21288e+10    5.24256e+12
            2.8    1.92769e+10     5.2261e+10    1.28744e+10    5.26971e+12
              3    1.98246e+10    5.38493e+10    1.36523e+10    5.29671e+12
            3.2    2.03858e+10    5.54696e+10    1.44637e+10    5.32372e+12
            3.4    2.09608e+10    5.71227e+10    1.53096e+10    5.35077e+12
            3.6    2.15503e+10    5.88076e+10    1.61904e+10    5.37775e+12
            3.8     2.2155e+10    6.05234e+10    1.71068e+10    5.40455e+12
              4    2.27748e+10    6.22712e+10    1.80598e+10    5.43128e+12
            4.2    2.34097e+10    6.40526e+10    1.90506e+10    5.45803e+12
            4.4    2.40597e+10    6.58683e+10    2.00802e+10    5.48485e+12
            4.6     2.4726e+10    6.77166e+10     2.1149e+10    5.51157e+12
            4.8    2.54091e+10    6.95972e+10    2.22576e+10    5.53815e+12
              5    2.61091e+10    7.15108e+10     2.3407e+10    5.56464e+12
            5.2    2.68258e+10    7.34593e+10    2.45986e+10    5.59116e+12
            5.4    2.75597e+10    7.54425e+10    2.58331e+10    5.61767e+12
            5.6    2.83118e+10     7.7459e+10    2.71108e+10    5.64407e+12
            5.8    2.90825e+10    7.95087e+10    2.84325e+10    5.67032e+12
              6    2.98719e+10    8.15931e+10    2.97995e+10    5.69653e+12
            6.2    3.06796e+10    8.37137e+10    3.12131e+10    5.72279e+12
            6.4    3.15065e+10    8.58702e+10    3.26741e+10    5.74906e+12
            6.6    3.23535e+10    8.80608e+10    3.41826e+10     5.7752e+12
            6.8    3.32212e+10    9.02856e+10    3.57394e+10    5.80122e+12
              7    3.41094e+10    9.25461e+10    3.73459e+10     5.8272e+12
            7.2    3.50183e+10    9.48435e+10    3.90033e+10     5.8532e+12
            7.4    3.59486e+10     9.7177e+10    4.07122e+10    5.87916e+12
            7.6    3.69014e+10     9.9545e+10    4.24727e+10    5.90498e+12
            7.8    3.78769e+10    1.01948e+11    4.42858e+10    5.93069e+12
              8    3.88751e+10    1.04388e+11    4.61533e+10    5.95639e+12
            8.2    3.98959e+10    1.06867e+11    4.80763e+10    5.98214e+12
            8.4    4.09406e+10    1.09382e+11    5.00551e+10    6.00784e+12
            8.6    4.20101e+10    1.11933e+11    5.20899e+10     6.0334e+12
            8.8    4.31047e+10     1.1452e+11    5.41817e+10    6.05887e+12
              9    4.42242e+10    1.17145e+11    5.63322e+10    6.08434e+12
            9.2    4.53691e+10    1.19808e+11    5.85425e+10    6.10982e+12
            9.4    4.65406e+10    1.22508e+11    6.08124e+10    6.13521e+12
            9.6    4.77397e+10    1.25244e+11    6.31424e+10    6.16046e+12
            9.8    4.89663e+10    1.28017e+11    6.55339e+10    6.18564e+12
             10    5.02203e+10     1.3083e+11    6.79888e+10    6.21084e+12
           10.2    5.15023e+10    1.33682e+11    7.05077e+10    6.23604e+12
