pressure[bar]        = 10
temperature[K]       = 800
energy step[1/cm]    = 56
maximum energy[1/cm] = 24043

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      14.9446     0.646428
      14.7844     0.664189
      14.6243     0.681966
      14.4642     0.699723
      14.3041     0.717426
       14.144     0.735036
      13.9839     0.752513
      13.8238     0.769816
      13.6637     0.786902
      13.5036     0.803726
      13.3435     0.820243
      13.1833     0.836402
      13.0232     0.852155
      12.8631     0.867447
       12.703     0.882224
      12.5429     0.896428
      12.3828         0.91
      12.2227     0.922878
      12.0626     0.934999
      11.9025     0.946295
      11.7424     0.956701
      11.5822     0.966149
      11.4221     0.974571
       11.262     0.981901
      11.1019     0.988073
      10.9418     0.993025
      10.7817     0.996699
      10.6216      0.99904
      10.4615            1
      10.3014     0.999536
      10.1413     0.997611
      9.98114     0.994197
      9.82103     0.989271
      9.66092     0.982814
      9.50081     0.974817
       9.3407     0.965273
      9.18059     0.954179
      9.02048     0.941537
      8.86037      0.92735
      8.70026     0.911623
      8.54015     0.894363
      8.38004     0.875577
      8.21993     0.855274
      8.05982     0.833465
      7.89971     0.810168
       7.7396     0.785404
      7.57949     0.759206
      7.41938     0.731621
      7.25927     0.702711
      7.09916     0.672559
      6.93905      0.64127
      6.77894     0.608976
      6.61883      0.57583
      6.45872     0.542014
      6.29861     0.507733
       6.1385     0.473211
      5.97839     0.438694
      5.81828     0.404434
      5.65817     0.370694
      5.49806     0.337731
      5.33795     0.305797
      5.17784     0.275124
      5.01773     0.245924
      4.85762     0.218374
      4.69751     0.192619
       4.5374     0.168761
      4.37729     0.146859
      4.21718      0.12693
      4.05707     0.108954
      3.89696    0.0928767
      3.73685    0.0786159
      3.57674    0.0660667
      3.41663    0.0551101
      3.25652    0.0456164
      3.09641    0.0374513
       2.9363    0.0304831
      2.77619    0.0245831
      2.61608    0.0196283
      2.45597    0.0155033
      2.29586    0.0121019
      2.13575   0.00932415
      1.97564   0.00707878
      1.81553   0.00528378
      1.65542   0.00386653
      1.49531   0.00276538
       1.3352   0.00192688
      1.17509    0.0013032
      1.01498   0.00084948
     0.854873  0.000525942
     0.694763  0.000300204
     0.534653  0.000151074
     0.374543  6.12872e-05
     0.214433  1.56898e-05
     0.054323  6.18801e-07
     -0.2  1e-8
     -0.4  1e-9
     -0.6  1e-10

