========================================,
meqz_W1_Energy_1_0.0.out,
0.1 atm,
T,W2->P1
580,954.492
590,1274.31
600,1683.98
610,2204.25
620,2858.07
630,3674.15
640,4681.5
650,5916.73
660,7416.84
670,9239.53
680,11414
690,14007.4
700,17076.4
800,90861.7
900,312190
1000,788123
1100,1599360
1200,2785730
1300,4342770
1400,6265020
1500,8512320
1600,11034900
1700,13752600
1800,16636200
1900,19686900
2000,22856500
2100,26163100
2200,29498200
2300,32929600
2400,36297100
2500,39677200
2600,43306700
2700,46776000
2800,50195300
2900,53407500
3000,56667200
========================================,
meqz_W1_Energy_1_0.0.out,
3 atm,
T,W2->P2
200,2.88E-13
210,4.72E-12
220,5.87E-11
230,5.81E-10
240,4.74E-09
250,3.28E-08
260,1.91E-07
270,9.40E-07
280,4.19E-06
290,1.67E-05
300,5.74E-05
310,0.000189658
320,0.000551027
330,0.0015337
340,0.0040516
350,0.00981226
360,0.0230023
370,0.0498527
380,0.103557
390,0.210985
400,0.404057
410,0.752318
420,1.37639
430,2.4003
440,4.14018
450,6.91361
460,11.2617
470,17.9646
480,28.1114
490,43.1655
500,65.1349
510,96.7104
520,141.401
530,203.687
540,289.483
550,406.046
560,562.401
570,769.931
580,1041.94
590,1395.18
600,1849.05
610,2427.01
620,3155.57
630,4067.19
640,5195.91
650,6583.67
660,8273.81
670,10330.7
680,12792.7
690,15735.8
700,19226.9
800,104317
900,363992
1000,930566
1100,1907720
1200,3349450
1300,5255180
1400,7619060
1500,10392300
1600,13513500
1700,16894300
1800,20493500
1900,24306500
2000,28271600
2100,32410300
2200,36598300
2300,40922400
2400,45193800
2500,49499500
2600,54027200
2700,58419700
2800,62785700
2900,66944200
3000,71192700
========================================,
meqz_W1_Energy_1_0.0.out,
5.0 atm,
T,W2->P2
200,2.21E-13
210,4.71E-12
220,5.77E-11
230,5.83E-10
240,4.76E-09
250,3.30E-08
260,1.92E-07
270,9.47E-07
280,4.22E-06
290,1.69E-05
300,5.80E-05
310,0.000191851
320,0.000558402
330,0.00155708
340,0.00412049
350,0.0100009
360,0.0234936
370,0.0510575
380,0.106373
390,0.217314
400,0.417618
410,0.780276
