    E, kcal/mol    D, mol/kcal          W1->R         W1->P1         W1->P2         W1->P3         W1->P4         W1->P5         W1->P6         W1->P7
        1.48673    4.81738e+12     4.2155e+06    3.99335e+06         131788    1.09434e+06        29581.9              0              0              0
        1.50102    4.82427e+12    4.34698e+06     4.1546e+06         133219    1.10267e+06        29849.8              0              0              0
        1.51532    4.83117e+12    4.48108e+06    4.31723e+06         134664    1.11105e+06        30119.6              0              0              0
        1.52961    4.83809e+12     4.6178e+06    4.48113e+06         136122    1.11948e+06        30391.4              0              0              0
        1.54391    4.84501e+12    4.75717e+06    4.64621e+06         137593    1.12796e+06        30665.3              0              0              0
         1.5582    4.85194e+12    4.89919e+06    4.81237e+06         139079    1.13649e+06        30941.3              0              0              0
         1.5725    4.85888e+12    5.04383e+06    4.97951e+06         140578    1.14508e+06        31219.3              0              0              0
         1.5868    4.86582e+12     5.1911e+06    5.14754e+06         142091    1.15372e+06        31499.3              0              0              0
        1.60109    4.87278e+12    5.34097e+06    5.31639e+06         143619    1.16241e+06        31781.5              0              0              0
        1.61539    4.87975e+12    5.49344e+06    5.48596e+06         145161    1.17116e+06        32065.8              0              0              0
        1.62968    4.88672e+12    5.64848e+06    5.65617e+06         146717    1.17996e+06        32352.1              0              0              0
        1.64398    4.89371e+12    5.80609e+06    5.82698e+06         148287    1.18881e+06        32640.6              0              0              0
        1.65827     4.9007e+12    5.96623e+06     5.9983e+06         149873    1.19772e+06        32931.3              0              0              0
        1.67257    4.90771e+12    6.12889e+06    6.17009e+06         151473    1.20669e+06        33224.1              0              0              0
        1.68686    4.91472e+12    6.29405e+06    6.34229e+06         153088    1.21571e+06        33519.1              0              0              0
        1.70116    4.92174e+12    6.46178e+06    6.51485e+06         154718    1.22478e+06        33816.2              0              0              0
        1.71545    4.92877e+12    6.63214e+06    6.68771e+06         156364    1.23391e+06        34115.6              0              0              0
        1.72975    4.93581e+12     6.8052e+06    6.86085e+06         158025     1.2431e+06        34417.2              0              0              0
        1.74405    4.94286e+12    6.98103e+06    7.03421e+06         159701    1.25234e+06          34721              0              0              0
        1.75834    4.94992e+12    7.15973e+06    7.20775e+06         161393    1.26164e+06          35027              0              0              0
        1.77264    4.95698e+12    7.34136e+06    7.38143e+06         163101      1.271e+06        35335.3              0              0              0
        1.78693    4.96406e+12    7.52601e+06    7.55519e+06         164825    1.28041e+06        35645.9              0              0              0
        1.80123    4.97114e+12    7.71377e+06    7.72897e+06         166565    1.28988e+06        35958.8              0              0              0
        1.81552    4.97824e+12    7.90473e+06    7.90272e+06         168321    1.29941e+06        36273.9              0              0              0
        1.82982    4.98534e+12    8.09897e+06    8.07637e+06         170094      1.309e+06        36591.4              0              0              0
        1.84411    4.99246e+12    8.29653e+06    8.24989e+06         171883    1.31864e+06        36911.2              0              0              0
        1.85841    4.99958e+12    8.49744e+06    8.42321e+06         173689    1.32835e+06        37233.4              0              0              0
         1.8727    5.00671e+12    8.70173e+06    8.59629e+06         175511    1.33811e+06        37557.9              0              0              0
          1.887    5.01385e+12    8.90942e+06    8.76909e+06         177350    1.34793e+06        37884.8              0              0              0
         1.9013      5.021e+12    9.12055e+06    8.94156e+06         179207    1.35782e+06        38214.2              0              0              0
        1.91559    5.02816e+12    9.33514e+06    9.11366e+06         181080    1.36776e+06        38545.9              0              0              0
        1.92989    5.03533e+12    9.55323e+06    9.28536e+06         182971    1.37776e+06          38880              0              0              0
        1.94418    5.04251e+12    9.77483e+06    9.45665e+06         184880    1.38782e+06        39216.6              0              0              0
        1.95848     5.0497e+12    9.99999e+06    9.62749e+06         186805    1.39795e+06        39555.6              0              0              0
        1.97277     5.0569e+12    1.02287e+07    9.79788e+06         188749    1.40813e+06        39897.1              0              0              0
        1.98707     5.0641e+12    1.04611e+07    9.96778e+06         190710    1.41838e+06        40241.1              0              0              0
        2.00136    5.07132e+12    1.06971e+07    1.01372e+07         192690    1.42869e+06        40587.6              0              0              0
        2.01566    5.07854e+12    1.09369e+07    1.03061e+07         194687    1.43906e+06        40936.7              0              0              0
        2.02995    5.08578e+12    1.11804e+07    1.04744e+07         196702    1.44949e+06        41288.2              0              0              0
        2.04425    5.09302e+12    1.14278e+07    1.06423e+07         198736    1.45999e+06        41642.3              0              0              0
        2.05855    5.10028e+12     1.1679e+07    1.08095e+07         200788    1.47055e+06          41999              0              0              0
        2.07284    5.10754e+12    1.19342e+07    1.09762e+07         202859    1.48117e+06        42358.3              0              0              0
        2.08714    5.11481e+12    1.21933e+07    1.11423e+07         204948    1.49186e+06        42720.1              0              0              0
        2.10143     5.1221e+12    1.24565e+07    1.13078e+07         207056    1.50261e+06        43084.6              0              0              0
        2.11573    5.12939e+12    1.27238e+07    1.14726e+07         209182    1.51342e+06        43451.7              0              0              0
        2.13002    5.13669e+12    1.29953e+07    1.16368e+07         211328     1.5243e+06        43821.5              0              0              0
        2.14432      5.144e+12    1.32709e+07    1.18004e+07         213493    1.53525e+06        44193.9              0              0              0
        2.15861    5.15132e+12    1.35507e+07    1.19633e+07         215676    1.54626e+06          44569              0              0              0
        2.17291    5.15865e+12    1.38349e+07    1.21255e+07         217879    1.55734e+06        44946.9              0              0              0
         2.1872    5.16599e+12    1.41233e+07     1.2287e+07         220102    1.56848e+06        45327.4              0              0              0
         2.2015    5.17334e+12    1.44161e+07    1.24478e+07         222343    1.57969e+06        45710.7              0              0              0
         2.2158     5.1807e+12    1.47132e+07    1.26079e+07         224605    1.59096e+06        46096.7              0              0              0
        2.23009    5.18806e+12    1.50149e+07    1.27673e+07         226886     1.6023e+06        46485.5              0              0              0
        2.24439    5.19544e+12     1.5321e+07     1.2926e+07         229186    1.61371e+06        46877.1              0              0              0
        2.25868    5.20283e+12    1.56316e+07    1.30841e+07         231507    1.62519e+06        47271.4              0              0              0
        2.27298    5.21023e+12    1.59469e+07    1.32415e+07         233847    1.63674e+06        47668.6              0              0              0
        2.28727    5.21763e+12    1.62668e+07    1.33981e+07         236208    1.64835e+06        48068.7              0              0              0
        2.30157    5.22505e+12    1.65913e+07    1.35542e+07         238588    1.66004e+06        48471.6              0              0              0
        2.31586    5.23247e+12    1.69206e+07    1.37095e+07         240989    1.67179e+06        48877.3              0              0              0
        2.33016    5.23991e+12    1.72547e+07    1.38642e+07         243410    1.68361e+06          49286              0              0              0
        2.34445    5.24735e+12    1.75936e+07    1.40182e+07         245851     1.6955e+06        49697.6              0              0              0
        2.35875    5.25481e+12    1.79374e+07    1.41716e+07         248313    1.70746e+06          50112              0              0              0
        2.37305    5.26227e+12    1.82862e+07    1.43243e+07         250795    1.71949e+06        50529.5              0              0              0
        2.38734    5.26975e+12    1.86399e+07    1.44763e+07         253298    1.73159e+06        50949.9              0              0              0
        2.40164    5.27723e+12    1.89988e+07    1.46277e+07         255822    1.74377e+06        51373.2              0              0              0
        2.41593    5.28472e+12    1.93627e+07    1.47784e+07         258366    1.75601e+06        51799.6              0              0              0
        2.43023    5.29223e+12    1.97317e+07    1.49284e+07         260931    1.76833e+06          52229              0              0              0
        2.44452    5.29974e+12    2.01059e+07    1.50778e+07         263517    1.78072e+06        52661.4              0              0              0
        2.45882    5.30726e+12    2.04853e+07    1.52265e+07         266124    1.79318e+06        53096.8              0              0              0
        2.47311    5.31479e+12    2.08699e+07    1.53745e+07         268753    1.80571e+06        53535.3              0              0              0
        2.48741    5.32234e+12    2.12598e+07    1.55219e+07         271402    1.81832e+06        53976.9              0              0              0
         2.5017    5.32989e+12     2.1655e+07    1.56685e+07         274073      1.831e+06        54421.7              0              0              0
          2.516    5.33745e+12    2.20556e+07    1.58146e+07         276765    1.84376e+06        54869.5              0              0              0
         2.5303    5.34502e+12    2.24616e+07    1.59599e+07         279479    1.85659e+06        55320.5              0              0              0
        2.54459     5.3526e+12    2.28729e+07    1.61046e+07         282214    1.86949e+06        55774.6              0              0              0
        2.55889     5.3602e+12    2.32898e+07    1.62486e+07         284971    1.88247e+06        56231.9              0              0              0
        2.57318     5.3678e+12    2.37122e+07     1.6392e+07         287750    1.89552e+06        56692.4              0              0              0
        2.58748    5.37541e+12    2.41403e+07    1.65347e+07         290550    1.90865e+06        57156.1              0              0              0
        2.60177    5.38303e+12     2.4574e+07    1.66767e+07         293372    1.92185e+06          57623              0              0              0
        2.61607    5.39066e+12    2.50135e+07     1.6818e+07         296216    1.93514e+06        58093.2              0              0              0
        2.63036     5.3983e+12    2.54587e+07    1.69588e+07         299083    1.94849e+06        58566.7              0              0              0
        2.64466    5.40595e+12    2.59099e+07    1.70989e+07         301971    1.96193e+06        59043.4              0              0              0
        2.65895    5.41361e+12    2.63671e+07    1.72385e+07         304882    1.97544e+06        59523.5              0              0              0
        2.67325    5.42128e+12    2.68302e+07    1.73776e+07         307815    1.98903e+06        60006.8              0              0              0
        2.68755    5.42896e+12    2.72994e+07    1.75162e+07         310770     2.0027e+06        60493.5              0              0              0
        2.70184    5.43665e+12    2.77747e+07    1.76545e+07         313748    2.01645e+06        60983.6              0              0              0
        2.71614    5.44435e+12    2.82559e+07    1.77924e+07         316748    2.03027e+06        61477.1              0              0              0
        2.73043    5.45206e+12     2.8743e+07    1.79301e+07         319772    2.04418e+06        61973.9              0              0              0
        2.74473    5.45978e+12    2.92359e+07    1.80675e+07         322818    2.05816e+06        62474.2              0              0              0
        2.75902    5.46751e+12    2.97344e+07    1.82047e+07         325886    2.07223e+06        62977.9              0              0              0
        2.77332    5.47525e+12    3.02386e+07    1.83416e+07         328978    2.08637e+06          63485              0              0              0
        2.78761      5.483e+12    3.07483e+07    1.84781e+07         332093     2.1006e+06        63995.7              0              0              0
        2.80191    5.49076e+12    3.12633e+07    1.86139e+07         335231     2.1149e+06        64509.8              0              0              0
         2.8162    5.49853e+12    3.17837e+07     1.8749e+07         338393    2.12929e+06        65027.4              0              0              0
         2.8305    5.50631e+12    3.23093e+07     1.8883e+07         341577    2.14376e+06        65548.6              0              0              0
         2.8448     5.5141e+12    3.28401e+07    1.90159e+07         344786    2.15831e+06        66073.3              0              0              0
        2.85909     5.5219e+12    3.33765e+07    1.91474e+07         348018    2.17294e+06        66601.6              0              0              0
        2.87339    5.52972e+12    3.39184e+07    1.92773e+07         351273    2.18766e+06        67133.5              0              0              0
        2.88768    5.53754e+12    3.44661e+07    1.94055e+07         354552    2.20246e+06          67669              0              0              0
        2.90198    5.54537e+12    3.50196e+07    1.95318e+07         357856    2.21734e+06        68208.1              0              0              0
        2.91627    5.55321e+12    3.55792e+07    1.96562e+07         361183    2.23231e+06        68750.8              0              0              0
        2.93057    5.56106e+12     3.6145e+07    1.97789e+07         364534    2.24736e+06        69297.2              0              0              0
        2.94486    5.56892e+12    3.67172e+07    1.99003e+07         367910     2.2625e+06        69847.4              0              0              0
        2.95916    5.57679e+12    3.72959e+07    2.00205e+07         371310    2.27772e+06        70401.2              0              0              0
        2.97345    5.58467e+12    3.78812e+07    2.01399e+07         374734    2.29302e+06        70958.7              0              0              0
        2.98775    5.59257e+12    3.84731e+07    2.02586e+07         378183    2.30842e+06          71520              0              0              0
        3.00205    5.60047e+12    3.90716e+07     2.0377e+07         381657    2.32389e+06          72085              0              0              0
        3.01634    5.60838e+12    3.96765e+07    2.04952e+07         385155    2.33946e+06        72653.8              0              0              0
        3.03064     5.6163e+12    4.02878e+07    2.06135e+07         388679    2.35511e+06        73226.5              0              0              0
        3.04493    5.62423e+12    4.09054e+07    2.07321e+07         392227    2.37085e+06        73802.9              0              0              0
        3.05923    5.63218e+12    4.15291e+07    2.08512e+07         395801    2.38668e+06        74383.2              0              0              0
        3.07352    5.64013e+12    4.21589e+07    2.09708e+07         399400    2.40259e+06        74967.3              0              0              0
        3.08782    5.64809e+12    4.27946e+07    2.10909e+07         403024    2.41859e+06        75555.4              0              0              0
        3.10211    5.65607e+12    4.34363e+07    2.12115e+07         406674    2.43468e+06        76147.3              0              0              0
        3.11641    5.66405e+12    4.40836e+07    2.13326e+07         410350    2.45087e+06        76743.2              0              0              0
         3.1307    5.67205e+12    4.47368e+07    2.14543e+07         414052    2.46714e+06          77343              0              0              0
          3.145    5.68005e+12     4.5396e+07    2.15766e+07         417779     2.4835e+06        77946.7              0              0              0
         3.1593    5.68807e+12    4.60611e+07    2.16994e+07         421533    2.49995e+06        78554.4              0              0              0
        3.17359    5.69609e+12    4.67323e+07    2.18227e+07         425313    2.51649e+06        79166.2              0              0              0
        3.18789    5.70413e+12    4.74098e+07    2.19467e+07         429120    2.53312e+06        79781.9              0              0              0
        3.20218    5.71217e+12    4.80935e+07    2.20713e+07         432953    2.54984e+06        80401.7              0              0              0
        3.21648    5.72023e+12    4.87836e+07    2.21964e+07         436813    2.56666e+06        81025.6              0              0              0
        3.23077     5.7283e+12    4.94802e+07    2.23222e+07         440699    2.58356e+06        81653.5              0              0              0
        3.24507    5.73637e+12    5.01834e+07    2.24485e+07         444613    2.60056e+06        82285.6              0              0              0
        3.25936    5.74446e+12    5.08933e+07    2.25754e+07         448554    2.61765e+06        82921.8              0              0              0
        3.27366    5.75256e+12    5.16099e+07    2.27029e+07         452522    2.63484e+06        83562.1              0              0              0
        3.28795    5.76067e+12    5.23332e+07     2.2831e+07         456518    2.65212e+06        84206.5              0              0              0
        3.30225    5.76878e+12    5.30631e+07    2.29597e+07         460541    2.66949e+06        84855.2              0              0              0
        3.31655    5.77691e+12    5.37998e+07    2.30889e+07         464592    2.68696e+06        85508.1              0              0              0
        3.33084    5.78505e+12    5.45432e+07    2.32187e+07         468671    2.70452e+06        86165.1              0              0              0
        3.34514     5.7932e+12    5.52932e+07    2.33491e+07         472779    2.72218e+06        86826.5              0              0              0
        3.35943    5.80137e+12    5.60499e+07      2.348e+07         476914    2.73993e+06        87492.1              0              0              0
        3.37373    5.80954e+12    5.68133e+07    2.36116e+07         481079    2.75778e+06          88162              0              0              0
        3.38802    5.81772e+12    5.75834e+07    2.37437e+07         485271    2.77573e+06        88836.1              0              0              0
        3.40232    5.82591e+12    5.83601e+07    2.38764e+07         489493    2.79377e+06        89514.7              0              0              0
        3.41661    5.83411e+12    5.91435e+07    2.40097e+07         493744    2.81191e+06        90197.5              0              0              0
        3.43091    5.84233e+12    5.99337e+07    2.41436e+07         498024    2.83015e+06        90884.8              0              0              0
         3.4452    5.85055e+12    6.07308e+07    2.42781e+07         502333    2.84848e+06        91576.4              0              0              0
         3.4595    5.85879e+12    6.15347e+07    2.44132e+07         506672    2.86691e+06        92272.5              0              0              0
         3.4738    5.86703e+12    6.23457e+07    2.45489e+07         511041    2.88544e+06        92972.9              0              0              0
        3.48809    5.87529e+12    6.31637e+07    2.46853e+07         515439    2.90408e+06        93677.9              0              0              0
        3.50239    5.88355e+12    6.39888e+07    2.48222e+07         519868     2.9228e+06        94387.3              0              0              0
        3.51668    5.89183e+12    6.48211e+07    2.49598e+07         524327    2.94163e+06        95101.2              0              0              0
        3.53098    5.90012e+12    6.56606e+07     2.5098e+07         528816    2.96056e+06        95819.6              0              0              0
        3.54527    5.90842e+12    6.65075e+07    2.52369e+07         533336     2.9796e+06        96542.6              0              0              0
        3.55957    5.91673e+12    6.73617e+07    2.53764e+07         537887    2.99873e+06        97270.1              0              0              0
        3.57386    5.92504e+12    6.82233e+07    2.55165e+07         542469    3.01796e+06        98002.2              0              0              0
        3.58816    5.93338e+12    6.90923e+07    2.56573e+07         547082    3.03729e+06          98739              0              0              0
        3.60245    5.94172e+12    6.99688e+07    2.57987e+07         551727    3.05673e+06        99480.3              0              0              0
        3.61675    5.95007e+12    7.08527e+07    2.59408e+07         556404    3.07627e+06         100226              0              0              0
        3.63105    5.95843e+12     7.1744e+07    2.60835e+07         561112    3.09591e+06         100977              0              0              0
        3.64534     5.9668e+12    7.26429e+07     2.6227e+07         565852    3.11566e+06         101732              0              0              0
        3.65964    5.97519e+12    7.35493e+07     2.6371e+07         570624    3.13551e+06         102492              0              0              0
        3.67393    5.98358e+12    7.44632e+07    2.65158e+07         575429    3.15546e+06         103257              0              0              0
        3.68823    5.99199e+12    7.53847e+07    2.66612e+07         580267    3.17552e+06         104027              0              0              0
        3.70252     6.0004e+12    7.63138e+07    2.68073e+07         585137    3.19569e+06         104801              0              0              0
        3.71682    6.00883e+12    7.72506e+07     2.6954e+07         590040    3.21596e+06         105580              0              0              0
        3.73111    6.01727e+12     7.8195e+07    2.71015e+07         594977    3.23633e+06         106364              0              0              0
        3.74541    6.02572e+12    7.91471e+07    2.72496e+07         599946    3.25681e+06         107153              0              0              0
         3.7597    6.03418e+12    8.01068e+07    2.73984e+07         604950     3.2774e+06         107947              0              0              0
          3.774    6.04265e+12    8.10744e+07    2.75478e+07         609987     3.2981e+06         108746              0              0              0
         3.7883    6.05113e+12    8.20497e+07     2.7698e+07         615058     3.3189e+06         109549              0              0              0
        3.80259    6.05962e+12    8.30328e+07    2.78488e+07         620163    3.33981e+06         110358              0              0              0
        3.81689    6.06812e+12    8.40237e+07    2.80003e+07         625303    3.36083e+06         111171              0              0              0
        3.83118    6.07664e+12    8.50225e+07    2.81525e+07         630477    3.38196e+06         111989              0              0              0
        3.84548    6.08516e+12    8.60291e+07    2.83053e+07         635686     3.4032e+06         112813              0              0              0
        3.85977     6.0937e+12    8.70438e+07    2.84589e+07         640930    3.42455e+06         113641              0              0              0
        3.87407    6.10225e+12    8.80664e+07    2.86131e+07         646209      3.446e+06         114475              0              0              0
        3.88836     6.1108e+12    8.90972e+07     2.8768e+07         651524    3.46757e+06         115313              0              0              0
        3.90266    6.11937e+12     9.0136e+07    2.89236e+07         656874    3.48925e+06         116157              0              0              0
        3.91695    6.12795e+12    9.11831e+07    2.90798e+07         662259    3.51104e+06         117006              0              0              0
        3.93125    6.13654e+12    9.22384e+07    2.92368e+07         667681    3.53294e+06         117860              0              0              0
        3.94555    6.14515e+12     9.3302e+07    2.93944e+07         673139    3.55496e+06         118719              0              0              0
        3.95984    6.15376e+12    9.43739e+07    2.95528e+07         678633    3.57709e+06         119583              0              0              0
        3.97414    6.16238e+12    9.54543e+07    2.97118e+07         684163    3.59933e+06         120453              0              0              0
        3.98843    6.17102e+12    9.65431e+07    2.98715e+07         689730    3.62168e+06         121328              0              0              0
        4.00273    6.17966e+12    9.76404e+07     3.0032e+07         695334    3.64415e+06         122208              0              0              0
        4.01702    6.18832e+12    9.87461e+07    3.01931e+07         700976    3.66674e+06         123093              0              0              0
        4.03132    6.19699e+12    9.98603e+07     3.0355e+07         706654    3.68943e+06         123984              0              0              0
        4.04561    6.20567e+12    1.00983e+08    3.05175e+07         712370    3.71225e+06         124880              0              0              0
        4.05991    6.21436e+12    1.02114e+08    3.06808e+07         718124    3.73518e+06         125781              0              0              0
         4.0742    6.22306e+12    1.03254e+08    3.08449e+07         723915    3.75823e+06         126688              0              0              0
         4.0885    6.23177e+12    1.04402e+08    3.10096e+07         729745    3.78139e+06         127600              0              0              0
