    E, kcal/mol    D, mol/kcal         W1->P0
          102.5    4.60384e+07    6.44645e+13
            103    4.66832e+07    6.46714e+13
          103.5     4.7338e+07    6.48722e+13
            104    4.79974e+07    6.50744e+13
          104.5     4.8663e+07     6.5276e+13
            105    4.93382e+07    6.54724e+13
          105.5    5.00187e+07    6.56694e+13
            106    5.07032e+07    6.58689e+13
          106.5    5.13972e+07    6.60635e+13
            107    5.20974e+07    6.62576e+13
          107.5    5.28025e+07    6.64532e+13
            108    5.35192e+07    6.66416e+13
          108.5    5.42382e+07    6.68347e+13
            109    5.49653e+07    6.70252e+13
          109.5    5.57002e+07    6.72137e+13
            110    5.64416e+07    6.74017e+13
          110.5    5.71904e+07    6.75882e+13
            111    5.79479e+07    6.77717e+13
          111.5    5.87077e+07    6.79598e+13
            112    5.94771e+07     6.8144e+13
          112.5    6.02552e+07    6.83255e+13
            113    6.10377e+07     6.8509e+13
          113.5     6.1831e+07    6.86877e+13
            114    6.26291e+07    6.88681e+13
          114.5    6.34333e+07    6.90489e+13
            115    6.42469e+07    6.92266e+13
          115.5    6.50685e+07    6.94027e+13
            116    6.58951e+07    6.95804e+13
          116.5    6.67327e+07    6.97536e+13
            117    6.75756e+07    6.99281e+13
          117.5    6.84258e+07     7.0102e+13
            118    6.92857e+07    7.02728e+13
          118.5    7.01508e+07    7.04451e+13
            119    7.10244e+07    7.06157e+13
          119.5    7.19062e+07     7.0785e+13
            120    7.27944e+07    7.09547e+13
          120.5    7.36914e+07    7.11226e+13
            121    7.45984e+07    7.12876e+13
          121.5    7.55094e+07    7.14555e+13
            122    7.64309e+07    7.16199e+13
          122.5    7.73597e+07    7.17843e+13
            123    7.82951e+07    7.19491e+13
          123.5     7.9242e+07    7.21098e+13
            124    8.01954e+07    7.22712e+13
          124.5    8.11557e+07     7.2433e+13
            125    8.21262e+07     7.2592e+13
          125.5    8.31033e+07    7.27517e+13
            126    8.40877e+07    7.29113e+13
          126.5    8.50854e+07    7.30659e+13
            127    8.60866e+07    7.32239e+13
          127.5    8.70968e+07    7.33806e+13
            128    8.81175e+07    7.35347e+13
          128.5    8.91444e+07      7.369e+13
            129    9.01809e+07    7.38436e+13
          129.5    9.12269e+07    7.39956e+13
            130    9.22797e+07    7.41483e+13
          130.5    9.33417e+07    7.42998e+13
            131    9.44137e+07    7.44495e+13
          131.5    9.54912e+07     7.4601e+13
            132     9.6582e+07    7.47483e+13
          132.5    9.76791e+07    7.48968e+13
            133    9.87859e+07    7.50438e+13
          133.5    9.99018e+07      7.519e+13
            134    1.01025e+08    7.53365e+13
          134.5    1.02158e+08    7.54824e+13
            135    1.03301e+08    7.56264e+13
          135.5    1.04451e+08    7.57707e+13
            136    1.05612e+08     7.5914e+13
          136.5    1.06783e+08    7.60554e+13
            137    1.07958e+08    7.61995e+13
